; Candidate 469
; ADRP+ADD at VM 0xfffffff007f32530 (fileoff 0xf2e530): page=0x1ff12c000 add_imm=0xcff

0xfffffff007f324b0: 8182c63c  ldur	q1, [x20, #0x68]
0xfffffff007f324b4: 883e40f9  ldr	x8, [x20, #0x78]
0xfffffff007f324b8: 8282c43c  ldur	q2, [x20, #0x48]
0xfffffff007f324bc: 6206803d  str	q2, [x19, #0x10]
0xfffffff007f324c0: 8282c33c  ldur	q2, [x20, #0x38]
0xfffffff007f324c4: 6202803d  str	q2, [x19]
0xfffffff007f324c8: 682200f9  str	x8, [x19, #0x40]
0xfffffff007f324cc: 600601ad  stp	q0, q1, [x19, #0x20]
0xfffffff007f324d0: 7f1e00b9  str	wzr, [x19, #0x1c]
0xfffffff007f324d4: 68124079  ldrh	w8, [x19, #8]
0xfffffff007f324d8: 081d1832  orr	w8, w8, #0xff00
0xfffffff007f324dc: 68120079  strh	w8, [x19, #8]
0xfffffff007f324e0: 880a4139  ldrb	w8, [x20, #0x42]
0xfffffff007f324e4: 48002836  tbz	w8, #5, #0xfffffff007f324ec
0xfffffff007f324e8: 9f5200b9  str	wzr, [x20, #0x50]
0xfffffff007f324ec: 8802c139  ldrsb	w8, [x20, #0x40]
0xfffffff007f324f0: 68120079  strh	w8, [x19, #8]
0xfffffff007f324f4: 761200f9  str	x22, [x19, #0x20]
0xfffffff007f324f8: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff007f324fc: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff007f32500: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff007f32504: ff430191  add	sp, sp, #0x50
0xfffffff007f32508: ff0f5fd6  retab	
0xfffffff007f3250c: 36008052  mov	w22, #1
0xfffffff007f32510: df0200f1  cmp	x22, #0
0xfffffff007f32514: e3ffff17  b	#0xfffffff007f324a0
0xfffffff007f32518: e00302aa  mov	x0, x2
0xfffffff007f3251c: a9931594  bl	#0xfffffff0084973c0
0xfffffff007f32520: 6889ff90  adrp	x8, #0xfffffff00705e000
0xfffffff007f32524: 08012e91  add	x8, x8, #0xb80
0xfffffff007f32528: 890b8152  mov	w9, #0x85c
0xfffffff007f3252c: e82700a9  stp	x8, x9, [sp]
0xfffffff007f32530: 6089ff90  adrp	x0, #0xfffffff00705e000
0xfffffff007f32534: 00fc3391  add	x0, x0, #0xcff
0xfffffff007f32538: f5871594  bl	#0xfffffff00849450c
0xfffffff007f3253c: 6889ff90  adrp	x8, #0xfffffff00705e000
0xfffffff007f32540: 08012e91  add	x8, x8, #0xb80
0xfffffff007f32544: 89058152  mov	w9, #0x82c
0xfffffff007f32548: 04000014  b	#0xfffffff007f32558
0xfffffff007f3254c: 6889ff90  adrp	x8, #0xfffffff00705e000
0xfffffff007f32550: 08012e91  add	x8, x8, #0xb80
0xfffffff007f32554: 09028152  mov	w9, #0x810
0xfffffff007f32558: e82700a9  stp	x8, x9, [sp]
0xfffffff007f3255c: 6089ff90  adrp	x0, #0xfffffff00705e000
0xfffffff007f32560: 009c3491  add	x0, x0, #0xd27
0xfffffff007f32564: ea871594  bl	#0xfffffff00849450c
0xfffffff007f32568: 7f2303d5  pacibsp	
0xfffffff007f3256c: ff4301d1  sub	sp, sp, #0x50
0xfffffff007f32570: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff007f32574: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff007f32578: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff007f3257c: fd030191  add	x29, sp, #0x40
0xfffffff007f32580: f30301aa  mov	x19, x1
0xfffffff007f32584: f40300aa  mov	x20, x0
0xfffffff007f32588: e90300aa  mov	x9, x0
0xfffffff007f3258c: 288d43f8  ldr	x8, [x9, #0x38]!
0xfffffff007f32590: 080300b4  cbz	x8, #0xfffffff007f325f0
0xfffffff007f32594: ea0314aa  mov	x10, x20
0xfffffff007f32598: 508d42f8  ldr	x16, [x10, #0x28]!
0xfffffff007f3259c: f1030aaa  mov	x17, x10
0xfffffff007f325a0: 91a7f0f2  movk	x17, #0x853c, lsl #48
0xfffffff007f325a4: 301ac1da  autda	x16, x17
0xfffffff007f325a8: f10310aa  mov	x17, x16
0xfffffff007f325ac: f147c1da  xpacd	x17
