; Candidate 16708
; ADRP+ADD at VM 0xfffffff009f31154 (fileoff 0x2f2d154): page=0x1fd92b000 add_imm=0xda3

0xfffffff009f310d4: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff009f310d8: 48c9fef0  adrp	x8, #0xfffffff00785c000
0xfffffff009f310dc: 08550e91  add	x8, x8, #0x395
0xfffffff009f310e0: e80300f9  str	x8, [sp]
0xfffffff009f310e4: 40c9fef0  adrp	x0, #0xfffffff00785c000
0xfffffff009f310e8: 00e03591  add	x0, x0, #0xd78
0xfffffff009f310ec: d539fd97  bl	#0xfffffff009e7f840
0xfffffff009f310f0: 28008052  mov	w8, #1
0xfffffff009f310f4: c8ae0439  strb	w8, [x22, #0x12b]
0xfffffff009f310f8: f40316aa  mov	x20, x22
0xfffffff009f310fc: c06a40f9  ldr	x0, [x22, #0xd0]
0xfffffff009f31100: f2310094  bl	#0xfffffff009f3d8c8
0xfffffff009f31104: c8c64439  ldrb	w8, [x22, #0x131]
0xfffffff009f31108: 1f010071  cmp	w8, #0
0xfffffff009f3110c: e8079f1a  cset	w8, ne
0xfffffff009f31110: e9c740b9  ldr	w9, [sp, #0xc4]
0xfffffff009f31114: 2801080a  and	w8, w9, w8
0xfffffff009f31118: 68000036  tbz	w8, #0, #0xfffffff009f31124
0xfffffff009f3111c: 28008052  mov	w8, #1
0xfffffff009f31120: 11000014  b	#0xfffffff009f31164
0xfffffff009f31124: e98a40b9  ldr	w9, [x23, #0x88]
0xfffffff009f31128: ea9240b9  ldr	w10, [x23, #0x90]
0xfffffff009f3112c: f40316aa  mov	x20, x22
0xfffffff009f31130: c86640f9  ldr	x8, [x22, #0xc8]
0xfffffff009f31134: 0b8942f9  ldr	x11, [x8, #0x510]
0xfffffff009f31138: ea2707a9  stp	x10, x9, [sp, #0x70]
0xfffffff009f3113c: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff009f31140: 68d08052  mov	w8, #0x683
0xfffffff009f31144: e8af00a9  stp	x8, x11, [sp, #8]
0xfffffff009f31148: 48c9fef0  adrp	x8, #0xfffffff00785c000
0xfffffff009f3114c: 08550e91  add	x8, x8, #0x395
0xfffffff009f31150: e80300f9  str	x8, [sp]
0xfffffff009f31154: 40c9fef0  adrp	x0, #0xfffffff00785c000
0xfffffff009f31158: 008c3691  add	x0, x0, #0xda3
0xfffffff009f3115c: b939fd97  bl	#0xfffffff009e7f840
0xfffffff009f31160: c8c64439  ldrb	w8, [x22, #0x131]
0xfffffff009f31164: 1f010071  cmp	w8, #0
0xfffffff009f31168: e8179f1a  cset	w8, eq
0xfffffff009f3116c: e9c740b9  ldr	w9, [sp, #0xc4]
0xfffffff009f31170: 0801092a  orr	w8, w8, w9
0xfffffff009f31174: 082e0037  tbnz	w8, #0, #0xfffffff009f31734
0xfffffff009f31178: e00316aa  mov	x0, x22
0xfffffff009f3117c: 30f3ff97  bl	#0xfffffff009f2de3c
0xfffffff009f31180: c06240f9  ldr	x0, [x22, #0xc0]
0xfffffff009f31184: e10313aa  mov	x1, x19
0xfffffff009f31188: e23740f9  ldr	x2, [sp, #0x68]
0xfffffff009f3118c: 016e7897  bl	#0xfffffff007d4c990
0xfffffff009f31190: 35008052  mov	w21, #1
0xfffffff009f31194: f8031aaa  mov	x24, x26
0xfffffff009f31198: edfcff17  b	#0xfffffff009f3054c
0xfffffff009f3119c: 286340f9  ldr	x8, [x25, #0xc0]
0xfffffff009f311a0: 080940f9  ldr	x8, [x8, #0x10]
0xfffffff009f311a4: a98353f8  ldur	x9, [x29, #-0xc8]
0xfffffff009f311a8: 1f0109eb  cmp	x8, x9
0xfffffff009f311ac: c2010054  b.hs	#0xfffffff009f311e4
0xfffffff009f311b0: 2a6740f9  ldr	x10, [x25, #0xc8]
0xfffffff009f311b4: 4a8942f9  ldr	x10, [x10, #0x510]
0xfffffff009f311b8: ab0353f8  ldur	x11, [x29, #-0xd0]
0xfffffff009f311bc: e92f02a9  stp	x9, x11, [sp, #0x20]
0xfffffff009f311c0: ea2301a9  stp	x10, x8, [sp, #0x10]
0xfffffff009f311c4: e8528052  mov	w8, #0x297
0xfffffff009f311c8: e80700f9  str	x8, [sp, #8]
0xfffffff009f311cc: 48c9fed0  adrp	x8, #0xfffffff00785b000
0xfffffff009f311d0: 08052d91  add	x8, x8, #0xb41
