; Candidate 5089
; ADRP+ADD at VM 0xfffffff0087d80f8 (fileoff 0x17d40f8): page=0x1fea11000 add_imm=0xe80

0xfffffff0087d8078: f40300aa  mov	x20, x0
0xfffffff0087d807c: 4c700394  bl	#0xfffffff0088b41ac
0xfffffff0087d8080: f30300aa  mov	x19, x0
0xfffffff0087d8084: 00018052  mov	w0, #8
0xfffffff0087d8088: f28d0294  bl	#0xfffffff00887b850
0xfffffff0087d808c: d4010034  cbz	w20, #0xfffffff0087d80c4
0xfffffff0087d8090: f76303a9  stp	x23, x24, [sp, #0x30]
0xfffffff0087d8094: c851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087d8098: 08810391  add	x8, x8, #0xe0
0xfffffff0087d809c: e85b02a9  stp	x8, x22, [sp, #0x20]
0xfffffff0087d80a0: c851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087d80a4: 081d0291  add	x8, x8, #0x87
0xfffffff0087d80a8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d80ac: 280a8052  mov	w8, #0x51
0xfffffff0087d80b0: c051ff90  adrp	x0, #0xfffffff007210000
0xfffffff0087d80b4: 00a42d91  add	x0, x0, #0xb69
0xfffffff0087d80b8: f32300a9  stp	x19, x8, [sp]
0xfffffff0087d80bc: e97cd797  bl	#0xfffffff007db7460
0xfffffff0087d80c0: 16000014  b	#0xfffffff0087d8118
0xfffffff0087d80c4: 3a700394  bl	#0xfffffff0088b41ac
0xfffffff0087d80c8: f30300aa  mov	x19, x0
0xfffffff0087d80cc: 00018052  mov	w0, #8
0xfffffff0087d80d0: e08d0294  bl	#0xfffffff00887b850
0xfffffff0087d80d4: f76303a9  stp	x23, x24, [sp, #0x30]
0xfffffff0087d80d8: c851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087d80dc: 08810391  add	x8, x8, #0xe0
0xfffffff0087d80e0: e85b02a9  stp	x8, x22, [sp, #0x20]
0xfffffff0087d80e4: c851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087d80e8: 081d0291  add	x8, x8, #0x87
0xfffffff0087d80ec: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d80f0: 280a8052  mov	w8, #0x51
0xfffffff0087d80f4: f32300a9  stp	x19, x8, [sp]
0xfffffff0087d80f8: 8050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d80fc: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d8100: 8191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087d8104: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d8108: 0353fff0  adrp	x3, #0xfffffff00723b000
0xfffffff0087d810c: 63a82c91  add	x3, x3, #0xb2a
0xfffffff0087d8110: 02008052  mov	w2, #0
0xfffffff0087d8114: 076ced97  bl	#0xfffffff008333130
0xfffffff0087d8118: 191b40f9  ldr	x25, [x24, #0x30]
0xfffffff0087d811c: f90000b4  cbz	x25, #0xfffffff0087d8138
0xfffffff0087d8120: 1a3b40b9  ldr	w26, [x24, #0x38]
0xfffffff0087d8124: ba000034  cbz	w26, #0xfffffff0087d8138
0xfffffff0087d8128: 130080d2  mov	x19, #0
0xfffffff0087d812c: 150080d2  mov	x21, #0
0xfffffff0087d8130: 590600b5  cbnz	x25, #0xfffffff0087d81f8
0xfffffff0087d8134: 67000014  b	#0xfffffff0087d82d0
0xfffffff0087d8138: 132340f9  ldr	x19, [x24, #0x40]
0xfffffff0087d813c: 530c00b4  cbz	x19, #0xfffffff0087d82c4
0xfffffff0087d8140: 700240f9  ldr	x16, [x19]
0xfffffff0087d8144: f10313aa  mov	x17, x19
0xfffffff0087d8148: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0087d814c: 301ac1da  autda	x16, x17
0xfffffff0087d8150: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff0087d8154: e90310aa  mov	x9, x16
0xfffffff0087d8158: e00313aa  mov	x0, x19
0xfffffff0087d815c: 01008052  mov	w1, #0
0xfffffff0087d8160: f10309aa  mov	x17, x9
0xfffffff0087d8164: 71b6fef2  movk	x17, #0xf5b3, lsl #48
0xfffffff0087d8168: 11093fd7  blraa	x8, x17
0xfffffff0087d816c: 700240f9  ldr	x16, [x19]
0xfffffff0087d8170: f10313aa  mov	x17, x19
0xfffffff0087d8174: 31b4f9f2  movk	x17, #0xcda1, lsl #48
