; Candidate 6731
; ADRP+ADD at VM 0xfffffff00883d51c (fileoff 0x183951c): page=0x1fe9ac000 add_imm=0xe80

0xfffffff00883d49c: f60300aa  mov	x22, x0
0xfffffff00883d4a0: 43db0194  bl	#0xfffffff0088b41ac
0xfffffff00883d4a4: f50300aa  mov	x21, x0
0xfffffff00883d4a8: 00018052  mov	w0, #8
0xfffffff00883d4ac: e9f80094  bl	#0xfffffff00887b850
0xfffffff00883d4b0: d6010034  cbz	w22, #0xfffffff00883d4e8
0xfffffff00883d4b4: f3d302a9  stp	x19, x20, [sp, #0x28]
0xfffffff00883d4b8: 284ffff0  adrp	x8, #0xfffffff007224000
0xfffffff00883d4bc: 09752391  add	x9, x8, #0x8dd
0xfffffff00883d4c0: 284fffd0  adrp	x8, #0xfffffff007223000
0xfffffff00883d4c4: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00883d4c8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00883d4cc: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00883d4d0: 480a8052  mov	w8, #0x52
0xfffffff00883d4d4: a04eff90  adrp	x0, #0xfffffff007211000
0xfffffff00883d4d8: 004c1d91  add	x0, x0, #0x753
0xfffffff00883d4dc: f52300a9  stp	x21, x8, [sp]
0xfffffff00883d4e0: e0e7d597  bl	#0xfffffff007db7460
0xfffffff00883d4e4: 16000014  b	#0xfffffff00883d53c
0xfffffff00883d4e8: 31db0194  bl	#0xfffffff0088b41ac
0xfffffff00883d4ec: f50300aa  mov	x21, x0
0xfffffff00883d4f0: 00018052  mov	w0, #8
0xfffffff00883d4f4: d7f80094  bl	#0xfffffff00887b850
0xfffffff00883d4f8: f3d302a9  stp	x19, x20, [sp, #0x28]
0xfffffff00883d4fc: 284ffff0  adrp	x8, #0xfffffff007224000
0xfffffff00883d500: 09752391  add	x9, x8, #0x8dd
0xfffffff00883d504: 284fffd0  adrp	x8, #0xfffffff007223000
0xfffffff00883d508: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00883d50c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00883d510: 480a8052  mov	w8, #0x52
0xfffffff00883d514: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00883d518: f50300f9  str	x21, [sp]
0xfffffff00883d51c: 604dff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00883d520: 00003a91  add	x0, x0, #0xe80
0xfffffff00883d524: 418efff0  adrp	x1, #0xfffffff007a08000
0xfffffff00883d528: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00883d52c: 8350fff0  adrp	x3, #0xfffffff007250000
0xfffffff00883d530: 63b41591  add	x3, x3, #0x56d
0xfffffff00883d534: 02008052  mov	w2, #0
0xfffffff00883d538: fed6eb97  bl	#0xfffffff008333130
0xfffffff00883d53c: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff00883d540: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff00883d544: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff00883d548: ffc30191  add	sp, sp, #0x70
0xfffffff00883d54c: ff0f5fd6  retab	
0xfffffff00883d550: 7f2303d5  pacibsp	
0xfffffff00883d554: ffc301d1  sub	sp, sp, #0x70
0xfffffff00883d558: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff00883d55c: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff00883d560: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff00883d564: fd830191  add	x29, sp, #0x60
0xfffffff00883d568: f30300aa  mov	x19, x0
0xfffffff00883d56c: 600a8052  mov	w0, #0x53
0xfffffff00883d570: c1008052  mov	w1, #6
0xfffffff00883d574: 97f80094  bl	#0xfffffff00887b7d0
0xfffffff00883d578: 20050034  cbz	w0, #0xfffffff00883d61c
0xfffffff00883d57c: 600a8052  mov	w0, #0x53
0xfffffff00883d580: a6f80094  bl	#0xfffffff00887b818
0xfffffff00883d584: f50300aa  mov	x21, x0
0xfffffff00883d588: 09db0194  bl	#0xfffffff0088b41ac
0xfffffff00883d58c: f40300aa  mov	x20, x0
0xfffffff00883d590: c0008052  mov	w0, #6
0xfffffff00883d594: aff80094  bl	#0xfffffff00887b850
0xfffffff00883d598: b5010034  cbz	w21, #0xfffffff00883d5cc
