; Candidate 14584
; ADRP+ADD at VM 0xfffffff00985dfdc (fileoff 0x2859fdc): page=0x1fe3ff000 add_imm=0xe10

0xfffffff00985df5c: 006003d1  sub	x0, x0, #0xd8
0xfffffff00985df60: 4c52f717  b	#0xfffffff009632890
0xfffffff00985df64: 7f2303d5  pacibsp	
0xfffffff00985df68: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00985df6c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00985df70: fd430091  add	x29, sp, #0x10
0xfffffff00985df74: f30300aa  mov	x19, x0
0xfffffff00985df78: 4652f797  bl	#0xfffffff009632890
0xfffffff00985df7c: e01ffff0  adrp	x0, #0xfffffff007c5c000
0xfffffff00985df80: 00403891  add	x0, x0, #0xe10
0xfffffff00985df84: e10313aa  mov	x1, x19
0xfffffff00985df88: 02248052  mov	w2, #0x120
0xfffffff00985df8c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00985df90: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00985df94: ff2303d5  autibsp	
0xfffffff00985df98: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00985df9c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00985dfa4
0xfffffff00985dfa0: 208e38d4  brk	#0xc471
0xfffffff00985dfa4: be25aa17  b	#0xfffffff0082e769c
0xfffffff00985dfa8: 5f2403d5  bti	c
0xfffffff00985dfac: e20301aa  mov	x2, x1
0xfffffff00985dfb0: e10300aa  mov	x1, x0
0xfffffff00985dfb4: e01ffff0  adrp	x0, #0xfffffff007c5c000
0xfffffff00985dfb8: 00403891  add	x0, x0, #0xe10
0xfffffff00985dfbc: b825aa17  b	#0xfffffff0082e769c
0xfffffff00985dfc0: 7f2303d5  pacibsp	
0xfffffff00985dfc4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00985dfc8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00985dfcc: fd430091  add	x29, sp, #0x10
0xfffffff00985dfd0: 132002d1  sub	x19, x0, #0x88
0xfffffff00985dfd4: e00313aa  mov	x0, x19
0xfffffff00985dfd8: 2e52f797  bl	#0xfffffff009632890
0xfffffff00985dfdc: e01ffff0  adrp	x0, #0xfffffff007c5c000
0xfffffff00985dfe0: 00403891  add	x0, x0, #0xe10
0xfffffff00985dfe4: e10313aa  mov	x1, x19
0xfffffff00985dfe8: 02248052  mov	w2, #0x120
0xfffffff00985dfec: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00985dff0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00985dff4: ff2303d5  autibsp	
0xfffffff00985dff8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00985dffc: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00985e004
0xfffffff00985e000: 208e38d4  brk	#0xc471
0xfffffff00985e004: a625aa17  b	#0xfffffff0082e769c
0xfffffff00985e008: 7f2303d5  pacibsp	
0xfffffff00985e00c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00985e010: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00985e014: fd430091  add	x29, sp, #0x10
0xfffffff00985e018: 134002d1  sub	x19, x0, #0x90
0xfffffff00985e01c: e00313aa  mov	x0, x19
0xfffffff00985e020: 1c52f797  bl	#0xfffffff009632890
0xfffffff00985e024: e01fffd0  adrp	x0, #0xfffffff007c5c000
0xfffffff00985e028: 00403891  add	x0, x0, #0xe10
0xfffffff00985e02c: e10313aa  mov	x1, x19
0xfffffff00985e030: 02248052  mov	w2, #0x120
0xfffffff00985e034: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00985e038: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00985e03c: ff2303d5  autibsp	
0xfffffff00985e040: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00985e044: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00985e04c
0xfffffff00985e048: 208e38d4  brk	#0xc471
0xfffffff00985e04c: 9425aa17  b	#0xfffffff0082e769c
0xfffffff00985e050: 7f2303d5  pacibsp	
0xfffffff00985e054: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00985e058: fd7b01a9  stp	x29, x30, [sp, #0x10]
