; Candidate 6112
; ADRP+ADD at VM 0xfffffff008815664 (fileoff 0x1811664): page=0x1fe9d4000 add_imm=0xe80

0xfffffff0088155e4: 00050034  cbz	w0, #0xfffffff008815684
0xfffffff0088155e8: 800e8052  mov	w0, #0x74
0xfffffff0088155ec: 8b980194  bl	#0xfffffff00887b818
0xfffffff0088155f0: f70300aa  mov	x23, x0
0xfffffff0088155f4: ee7a0294  bl	#0xfffffff0088b41ac
0xfffffff0088155f8: f60300aa  mov	x22, x0
0xfffffff0088155fc: 00018052  mov	w0, #8
0xfffffff008815600: 94980194  bl	#0xfffffff00887b850
0xfffffff008815604: 97010034  cbz	w23, #0xfffffff008815634
0xfffffff008815608: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff00881560c: 4850ffb0  adrp	x8, #0xfffffff00721e000
0xfffffff008815610: 08951f91  add	x8, x8, #0x7e5
0xfffffff008815614: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008815618: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00881561c: 880e8052  mov	w8, #0x74
0xfffffff008815620: e04fffd0  adrp	x0, #0xfffffff007213000
0xfffffff008815624: 00b43791  add	x0, x0, #0xded
0xfffffff008815628: f62300a9  stp	x22, x8, [sp]
0xfffffff00881562c: 8d87d697  bl	#0xfffffff007db7460
0xfffffff008815630: 15000014  b	#0xfffffff008815684
0xfffffff008815634: de7a0294  bl	#0xfffffff0088b41ac
0xfffffff008815638: f60300aa  mov	x22, x0
0xfffffff00881563c: 00018052  mov	w0, #8
0xfffffff008815640: 84980194  bl	#0xfffffff00887b850
0xfffffff008815644: e80315aa  mov	x8, x21
0xfffffff008815648: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff00881564c: 4850ffb0  adrp	x8, #0xfffffff00721e000
0xfffffff008815650: 08951f91  add	x8, x8, #0x7e5
0xfffffff008815654: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008815658: 880e8052  mov	w8, #0x74
0xfffffff00881565c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008815660: f60300f9  str	x22, [sp]
0xfffffff008815664: a04eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008815668: 00003a91  add	x0, x0, #0xe80
0xfffffff00881566c: 818ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff008815670: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008815674: 8351fff0  adrp	x3, #0xfffffff007248000
0xfffffff008815678: 63d81791  add	x3, x3, #0x5f6
0xfffffff00881567c: 02008052  mov	w2, #0
0xfffffff008815680: ac76ec97  bl	#0xfffffff008333130
0xfffffff008815684: e00315aa  mov	x0, x21
0xfffffff008815688: fd7b4ca9  ldp	x29, x30, [sp, #0xc0]
0xfffffff00881568c: f44f4ba9  ldp	x20, x19, [sp, #0xb0]
0xfffffff008815690: f6574aa9  ldp	x22, x21, [sp, #0xa0]
0xfffffff008815694: f85f49a9  ldp	x24, x23, [sp, #0x90]
0xfffffff008815698: fa6748a9  ldp	x26, x25, [sp, #0x80]
0xfffffff00881569c: fc6f47a9  ldp	x28, x27, [sp, #0x70]
0xfffffff0088156a0: ff430391  add	sp, sp, #0xd0
0xfffffff0088156a4: ff0f5fd6  retab	
0xfffffff0088156a8: c17a0294  bl	#0xfffffff0088b41ac
0xfffffff0088156ac: f60300aa  mov	x22, x0
0xfffffff0088156b0: 80008052  mov	w0, #4
0xfffffff0088156b4: 67980194  bl	#0xfffffff00887b850
0xfffffff0088156b8: 681240f9  ldr	x8, [x19, #0x20]
0xfffffff0088156bc: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff0088156c0: 8ac640b9  ldr	w10, [x20, #0xc4]
0xfffffff0088156c4: ea2304a9  stp	x10, x8, [sp, #0x40]
0xfffffff0088156c8: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff0088156cc: 4850ffb0  adrp	x8, #0xfffffff00721e000
0xfffffff0088156d0: 08b92191  add	x8, x8, #0x86e
0xfffffff0088156d4: 29c68052  mov	w9, #0x631
0xfffffff0088156d8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088156dc: 4850ffb0  adrp	x8, #0xfffffff00721e000
0xfffffff0088156e0: 08951f91  add	x8, x8, #0x7e5
