; Candidate 8171
; ADRP+ADD at VM 0xfffffff0088997a4 (fileoff 0x18957a4): page=0x1fe950000 add_imm=0xe80

0xfffffff008899724: 480b8052  mov	w8, #0x5a
0xfffffff008899728: 234efff0  adrp	x3, #0xfffffff007260000
0xfffffff00889972c: 63080191  add	x3, x3, #0x42
0xfffffff008899730: f82300a9  stp	x24, x8, [sp]
0xfffffff008899734: 804aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008899738: 00003a91  add	x0, x0, #0xe80
0xfffffff00889973c: 618bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008899740: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008899744: 02008052  mov	w2, #0
0xfffffff008899748: 7a66ea97  bl	#0xfffffff008333130
0xfffffff00889974c: 007d8012  mov	w0, #-0x3e9
0xfffffff008899750: 1c000014  b	#0xfffffff0088997c0
0xfffffff008899754: 966a0094  bl	#0xfffffff0088b41ac
0xfffffff008899758: f80300aa  mov	x24, x0
0xfffffff00889975c: 80008052  mov	w0, #4
0xfffffff008899760: 3c88ff97  bl	#0xfffffff00887b850
0xfffffff008899764: f75b05a9  stp	x23, x22, [sp, #0x50]
0xfffffff008899768: f45704a9  stp	x20, x21, [sp, #0x40]
0xfffffff00889976c: a84cfff0  adrp	x8, #0xfffffff007230000
0xfffffff008899770: 08210091  add	x8, x8, #8
0xfffffff008899774: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff008899778: e8118052  mov	w8, #0x8f
0xfffffff00889977c: c94bff90  adrp	x9, #0xfffffff007211000
0xfffffff008899780: 29892c91  add	x9, x9, #0xb22
0xfffffff008899784: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008899788: a84cfff0  adrp	x8, #0xfffffff007230000
0xfffffff00889978c: 08050791  add	x8, x8, #0x1c1
0xfffffff008899790: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008899794: 880b8052  mov	w8, #0x5c
0xfffffff008899798: 234efff0  adrp	x3, #0xfffffff007260000
0xfffffff00889979c: 63040291  add	x3, x3, #0x81
0xfffffff0088997a0: f82300a9  stp	x24, x8, [sp]
0xfffffff0088997a4: 804aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088997a8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088997ac: 618bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088997b0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088997b4: 02008052  mov	w2, #0
0xfffffff0088997b8: 5e66ea97  bl	#0xfffffff008333130
0xfffffff0088997bc: 207d8012  mov	w0, #-0x3ea
0xfffffff0088997c0: 7f1200f9  str	xzr, [x19, #0x20]
0xfffffff0088997c4: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff0088997c8: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff0088997cc: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff0088997d0: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff0088997d4: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff0088997d8: ffc30291  add	sp, sp, #0xb0
0xfffffff0088997dc: ff0f5fd6  retab	
0xfffffff0088997e0: 7f2303d5  pacibsp	
0xfffffff0088997e4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0088997e8: fd030091  mov	x29, sp
0xfffffff0088997ec: 081040f9  ldr	x8, [x0, #0x20]
0xfffffff0088997f0: 090940b9  ldr	w9, [x8, #8]
0xfffffff0088997f4: 3f01016b  cmp	w9, w1
0xfffffff0088997f8: 4d010054  b.le	#0xfffffff008899820
0xfffffff0088997fc: 000c40f9  ldr	x0, [x0, #0x18]
0xfffffff008899800: 08c9218b  add	x8, x8, w1, sxtw #2
0xfffffff008899804: 020d40b9  ldr	w2, [x8, #0xc]
0xfffffff008899808: 41008052  mov	w1, #2
0xfffffff00889980c: c3008452  mov	w3, #0x2006
0xfffffff008899810: 8300a172  movk	w3, #0x804, lsl #16
0xfffffff008899814: 57aeff97  bl	#0xfffffff008885170
0xfffffff008899818: 00008052  mov	w0, #0
0xfffffff00889981c: 02000014  b	#0xfffffff008899824
0xfffffff008899820: 207d8012  mov	w0, #-0x3ea
