; Candidate 5997
; ADRP+ADD at VM 0xfffffff00880e070 (fileoff 0x180a070): page=0x1fea0d000 add_imm=0xec4

0xfffffff00880dff0: fc6f06a9  stp	x28, x27, [sp, #0x60]
0xfffffff00880dff4: fa6707a9  stp	x26, x25, [sp, #0x70]
0xfffffff00880dff8: f85f08a9  stp	x24, x23, [sp, #0x80]
0xfffffff00880dffc: f65709a9  stp	x22, x21, [sp, #0x90]
0xfffffff00880e000: f44f0aa9  stp	x20, x19, [sp, #0xa0]
0xfffffff00880e004: fd7b0ba9  stp	x29, x30, [sp, #0xb0]
0xfffffff00880e008: fdc30291  add	x29, sp, #0xb0
0xfffffff00880e00c: f80305aa  mov	x24, x5
0xfffffff00880e010: f70304aa  mov	x23, x4
0xfffffff00880e014: f60303aa  mov	x22, x3
0xfffffff00880e018: f50302aa  mov	x21, x2
0xfffffff00880e01c: f40301aa  mov	x20, x1
0xfffffff00880e020: f30300aa  mov	x19, x0
0xfffffff00880e024: 800e8052  mov	w0, #0x74
0xfffffff00880e028: e1008052  mov	w1, #7
0xfffffff00880e02c: e9b50194  bl	#0xfffffff00887b7d0
0xfffffff00880e030: 80020034  cbz	w0, #0xfffffff00880e080
0xfffffff00880e034: 800e8052  mov	w0, #0x74
0xfffffff00880e038: f8b50194  bl	#0xfffffff00887b818
0xfffffff00880e03c: fa0300aa  mov	x26, x0
0xfffffff00880e040: 5b980294  bl	#0xfffffff0088b41ac
0xfffffff00880e044: f90300aa  mov	x25, x0
0xfffffff00880e048: e0008052  mov	w0, #7
0xfffffff00880e04c: 01b60194  bl	#0xfffffff00887b850
0xfffffff00880e050: 3a080034  cbz	w26, #0xfffffff00880e154
0xfffffff00880e054: f76304a9  stp	x23, x24, [sp, #0x40]
0xfffffff00880e058: f55b03a9  stp	x21, x22, [sp, #0x30]
0xfffffff00880e05c: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff00880e060: 6850ffb0  adrp	x8, #0xfffffff00721b000
0xfffffff00880e064: 08c93b91  add	x8, x8, #0xef2
0xfffffff00880e068: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00880e06c: 880e8052  mov	w8, #0x74
0xfffffff00880e070: 6050ffb0  adrp	x0, #0xfffffff00721b000
0xfffffff00880e074: 00103b91  add	x0, x0, #0xec4
0xfffffff00880e078: f92300a9  stp	x25, x8, [sp]
0xfffffff00880e07c: f9a4d697  bl	#0xfffffff007db7460
0xfffffff00880e080: 730900b4  cbz	x19, #0xfffffff00880e1ac
0xfffffff00880e084: 540900b4  cbz	x20, #0xfffffff00880e1ac
0xfffffff00880e088: 350900b4  cbz	x21, #0xfffffff00880e1ac
0xfffffff00880e08c: 180900b4  cbz	x24, #0xfffffff00880e1ac
0xfffffff00880e090: 682a4491  add	x8, x19, #0x10a, lsl #12
0xfffffff00880e094: 08110b91  add	x8, x8, #0x2c4
0xfffffff00880e098: 69ba4391  add	x9, x19, #0xee, lsl #12
0xfffffff00880e09c: 3a913091  add	x26, x9, #0xc24
0xfffffff00880e0a0: 000140b9  ldr	w0, [x8]
0xfffffff00880e0a4: e10315aa  mov	x1, x21
0xfffffff00880e0a8: e20318aa  mov	x2, x24
0xfffffff00880e0ac: e6fdff97  bl	#0xfffffff00880d844
0xfffffff00880e0b0: f90300aa  mov	x25, x0
0xfffffff00880e0b4: 480340b9  ldr	w8, [x26]
0xfffffff00880e0b8: 1f050071  cmp	w8, #1
0xfffffff00880e0bc: 210b0054  b.ne	#0xfffffff00880e220
0xfffffff00880e0c0: 68ce4491  add	x8, x19, #0x133, lsl #12
0xfffffff00880e0c4: 08611891  add	x8, x8, #0x618
0xfffffff00880e0c8: 000140f9  ldr	x0, [x8]
0xfffffff00880e0cc: e10314aa  mov	x1, x20
0xfffffff00880e0d0: e20315aa  mov	x2, x21
0xfffffff00880e0d4: e30316aa  mov	x3, x22
0xfffffff00880e0d8: e40317aa  mov	x4, x23
0xfffffff00880e0dc: befeff97  bl	#0xfffffff00880dbd4
0xfffffff00880e0e0: fa0300aa  mov	x26, x0
0xfffffff00880e0e4: 20100034  cbz	w0, #0xfffffff00880e2e8
0xfffffff00880e0e8: 800e8052  mov	w0, #0x74
0xfffffff00880e0ec: 81008052  mov	w1, #4
