; Candidate 14759
; ADRP+ADD at VM 0xfffffff0098f67c0 (fileoff 0x28f27c0): page=0xa9f000 add_imm=0xd80

0xfffffff0098f6740: 2b710191  add	x11, x9, #0x5c
0xfffffff0098f6744: 0b8500f9  str	x11, [x8, #0x108]
0xfffffff0098f6748: 1f410439  strb	wzr, [x8, #0x110]
0xfffffff0098f674c: 0a1901b9  str	w10, [x8, #0x118]
0xfffffff0098f6750: 2a3d0091  add	x10, x9, #0xf
0xfffffff0098f6754: 0a9100f9  str	x10, [x8, #0x120]
0xfffffff0098f6758: 1fa10439  strb	wzr, [x8, #0x128]
0xfffffff0098f675c: 0a108052  mov	w10, #0x80
0xfffffff0098f6760: 0a3101b9  str	w10, [x8, #0x130]
0xfffffff0098f6764: 2bad0091  add	x11, x9, #0x2b
0xfffffff0098f6768: 0b9d00f9  str	x11, [x8, #0x138]
0xfffffff0098f676c: 1f010539  strb	wzr, [x8, #0x140]
0xfffffff0098f6770: 0a4901b9  str	w10, [x8, #0x148]
0xfffffff0098f6774: 09a900f9  str	x9, [x8, #0x150]
0xfffffff0098f6778: 1f610539  strb	wzr, [x8, #0x158]
0xfffffff0098f677c: 0a208052  mov	w10, #0x100
0xfffffff0098f6780: 0a6101b9  str	w10, [x8, #0x160]
0xfffffff0098f6784: 29050091  add	x9, x9, #1
0xfffffff0098f6788: 09b500f9  str	x9, [x8, #0x168]
0xfffffff0098f678c: 1fc10539  strb	wzr, [x8, #0x170]
0xfffffff0098f6790: 09808052  mov	w9, #0x400
0xfffffff0098f6794: 097901b9  str	w9, [x8, #0x178]
0xfffffff0098f6798: 090680d2  mov	x9, #0x30
0xfffffff0098f679c: 8901c0f2  movk	x9, #0xc, lsl #32
0xfffffff0098f67a0: 09c100f9  str	x9, [x8, #0x180]
0xfffffff0098f67a4: 1f210639  strb	wzr, [x8, #0x188]
0xfffffff0098f67a8: 09008152  mov	w9, #0x800
0xfffffff0098f67ac: 099101b9  str	w9, [x8, #0x190]
0xfffffff0098f67b0: e00313aa  mov	x0, x19
0xfffffff0098f67b4: a1caa897  bl	#0xfffffff008329238
0xfffffff0098f67b8: 08550090  adrp	x8, #0xfffffff00a396000
0xfffffff0098f67bc: 00b900f9  str	x0, [x8, #0x170]
0xfffffff0098f67c0: e05400f0  adrp	x0, #0xfffffff00a395000
0xfffffff0098f67c4: 00003691  add	x0, x0, #0xd80
0xfffffff0098f67c8: 41e7fe90  adrp	x1, #0xfffffff0075de000
0xfffffff0098f67cc: 21bc1991  add	x1, x1, #0x66f
0xfffffff0098f67d0: c21bfff0  adrp	x2, #0xfffffff007c71000
0xfffffff0098f67d4: 424842f9  ldr	x2, [x2, #0x490]
0xfffffff0098f67d8: 03058052  mov	w3, #0x28
0xfffffff0098f67dc: d7b4a797  bl	#0xfffffff0082e3b38
0xfffffff0098f67e0: 101cff90  adrp	x16, #0xfffffff007c76000
0xfffffff0098f67e4: 10222a91  add	x16, x16, #0xa88
0xfffffff0098f67e8: 10420091  add	x16, x16, #0x10
0xfffffff0098f67ec: f10300aa  mov	x17, x0
0xfffffff0098f67f0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0098f67f4: 300ac1da  pacda	x16, x17
0xfffffff0098f67f8: 100000f9  str	x16, [x0]
0xfffffff0098f67fc: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0098f6800: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0098f6804: ff0f5fd6  retab	
0xfffffff0098f6808: 7f2303d5  pacibsp	
0xfffffff0098f680c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0098f6810: fd030091  mov	x29, sp
0xfffffff0098f6814: e05400f0  adrp	x0, #0xfffffff00a395000
0xfffffff0098f6818: 00003691  add	x0, x0, #0xd80
0xfffffff0098f681c: b6b7a797  bl	#0xfffffff0082e46f4
0xfffffff0098f6820: e05400f0  adrp	x0, #0xfffffff00a395000
0xfffffff0098f6824: 00002f91  add	x0, x0, #0xbc0
0xfffffff0098f6828: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0098f682c: ff2303d5  autibsp	
0xfffffff0098f6830: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0098f6834: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0098f683c
0xfffffff0098f6838: 208e38d4  brk	#0xc471
0xfffffff0098f683c: aeb7a717  b	#0xfffffff0082e46f4
