; Candidate 4150
; ADRP+ADD at VM 0xfffffff008794578 (fileoff 0x1790578): page=0x1fe99d000 add_imm=0xd90

0xfffffff0087944f8: e92300a9  stp	x9, x8, [sp]
0xfffffff0087944fc: e04cffb0  adrp	x0, #0xfffffff007131000
0xfffffff008794500: 00403691  add	x0, x0, #0xd90
0xfffffff008794504: 4193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008794508: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879450c: 834dfff0  adrp	x3, #0xfffffff007147000
0xfffffff008794510: 63742d91  add	x3, x3, #0xb5d
0xfffffff008794514: 02008052  mov	w2, #0
0xfffffff008794518: 067bee97  bl	#0xfffffff008333130
0xfffffff00879451c: 2e000014  b	#0xfffffff0087945d4
0xfffffff008794520: 735d8052  mov	w19, #0x2eb
0xfffffff008794524: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008794528: 0a00a452  mov	w10, #0x20000000
0xfffffff00879452c: e82b01a9  stp	x8, x10, [sp, #0x10]
0xfffffff008794530: 284efff0  adrp	x8, #0xfffffff00715b000
0xfffffff008794534: 08090991  add	x8, x8, #0x242
0xfffffff008794538: e82700a9  stp	x8, x9, [sp]
0xfffffff00879453c: e04cffb0  adrp	x0, #0xfffffff007131000
0xfffffff008794540: 00403691  add	x0, x0, #0xd90
0xfffffff008794544: 4193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008794548: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879454c: 834dfff0  adrp	x3, #0xfffffff007147000
0xfffffff008794550: 63802e91  add	x3, x3, #0xba0
0xfffffff008794554: 02008052  mov	w2, #0
0xfffffff008794558: f67aee97  bl	#0xfffffff008333130
0xfffffff00879455c: 1e000014  b	#0xfffffff0087945d4
0xfffffff008794560: 735d8052  mov	w19, #0x2eb
0xfffffff008794564: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008794568: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff00879456c: 294efff0  adrp	x9, #0xfffffff00715b000
0xfffffff008794570: 29090991  add	x9, x9, #0x242
0xfffffff008794574: e90300f9  str	x9, [sp]
0xfffffff008794578: e04cffb0  adrp	x0, #0xfffffff007131000
0xfffffff00879457c: 00403691  add	x0, x0, #0xd90
0xfffffff008794580: 4193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008794584: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008794588: 834dfff0  adrp	x3, #0xfffffff007147000
0xfffffff00879458c: 63642f91  add	x3, x3, #0xbd9
0xfffffff008794590: 02008052  mov	w2, #0
0xfffffff008794594: e77aee97  bl	#0xfffffff008333130
0xfffffff008794598: 0f000014  b	#0xfffffff0087945d4
0xfffffff00879459c: 735d8052  mov	w19, #0x2eb
0xfffffff0087945a0: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff0087945a4: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff0087945a8: 284efff0  adrp	x8, #0xfffffff00715b000
0xfffffff0087945ac: 08090991  add	x8, x8, #0x242
0xfffffff0087945b0: e80300f9  str	x8, [sp]
0xfffffff0087945b4: e04cffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087945b8: 00403691  add	x0, x0, #0xd90
0xfffffff0087945bc: 4193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087945c0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087945c4: 834dfff0  adrp	x3, #0xfffffff007147000
0xfffffff0087945c8: 63a43091  add	x3, x3, #0xc29
0xfffffff0087945cc: 02008052  mov	w2, #0
0xfffffff0087945d0: d87aee97  bl	#0xfffffff008333130
0xfffffff0087945d4: e00313aa  mov	x0, x19
0xfffffff0087945d8: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0087945dc: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0087945e0: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff0087945e4: ff430191  add	sp, sp, #0x50
0xfffffff0087945e8: ff0f5fd6  retab	
0xfffffff0087945ec: a9b254f9  ldr	x9, [x21, #0x2960]
0xfffffff0087945f0: a90000b4  cbz	x9, #0xfffffff008794604
0xfffffff0087945f4: 889648b9  ldr	w8, [x20, #0x894]
