; Candidate 4064
; ADRP+ADD at VM 0xfffffff00878f2ec (fileoff 0x178b2ec): page=0x1fe9a2000 add_imm=0xd90

0xfffffff00878f26c: f10303aa  mov	x17, x3
0xfffffff00878f270: 1174f2f2  movk	x17, #0x93a0, lsl #48
0xfffffff00878f274: 110a1fd7  braa	x16, x17
0xfffffff00878f278: 7f2303d5  pacibsp	
0xfffffff00878f27c: ffc300d1  sub	sp, sp, #0x30
0xfffffff00878f280: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff00878f284: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00878f288: fd830091  add	x29, sp, #0x20
0xfffffff00878f28c: f30300aa  mov	x19, x0
0xfffffff00878f290: 81020034  cbz	w1, #0xfffffff00878f2e0
0xfffffff00878f294: 68926ab9  ldr	w8, [x19, #0x2a90]
0xfffffff00878f298: 1fa10671  cmp	w8, #0x1a8
0xfffffff00878f29c: 23020054  b.lo	#0xfffffff00878f2e0
0xfffffff00878f2a0: 888d8552  mov	w8, #0x2c6c
0xfffffff00878f2a4: 686a6838  ldrb	w8, [x19, x8]
0xfffffff00878f2a8: c8010034  cbz	w8, #0xfffffff00878f2e0
0xfffffff00878f2ac: 484efff0  adrp	x8, #0xfffffff00715a000
0xfffffff00878f2b0: 089d2591  add	x8, x8, #0x967
0xfffffff00878f2b4: 61070037  tbnz	w1, #0, #0xfffffff00878f3a0
0xfffffff00878f2b8: e80300f9  str	x8, [sp]
0xfffffff00878f2bc: 004dffd0  adrp	x0, #0xfffffff007131000
0xfffffff00878f2c0: 00403691  add	x0, x0, #0xd90
0xfffffff00878f2c4: 6193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00878f2c8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00878f2cc: a34dfff0  adrp	x3, #0xfffffff007146000
0xfffffff00878f2d0: 63080791  add	x3, x3, #0x1c2
0xfffffff00878f2d4: 02008052  mov	w2, #0
0xfffffff00878f2d8: 968fee97  bl	#0xfffffff008333130
0xfffffff00878f2dc: 0c000014  b	#0xfffffff00878f30c
0xfffffff00878f2e0: 484efff0  adrp	x8, #0xfffffff00715a000
0xfffffff00878f2e4: 089d2591  add	x8, x8, #0x967
0xfffffff00878f2e8: e80300f9  str	x8, [sp]
0xfffffff00878f2ec: 004dffd0  adrp	x0, #0xfffffff007131000
0xfffffff00878f2f0: 00403691  add	x0, x0, #0xd90
0xfffffff00878f2f4: 6193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00878f2f8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00878f2fc: a34dfff0  adrp	x3, #0xfffffff007146000
0xfffffff00878f300: 637c0791  add	x3, x3, #0x1df
0xfffffff00878f304: 02008052  mov	w2, #0
0xfffffff00878f308: 8a8fee97  bl	#0xfffffff008333130
0xfffffff00878f30c: 685e70b9  ldr	w8, [x19, #0x305c]
0xfffffff00878f310: 1f050071  cmp	w8, #1
0xfffffff00878f314: c1010054  b.ne	#0xfffffff00878f34c
0xfffffff00878f318: 684256f9  ldr	x8, [x19, #0x2c80]
0xfffffff00878f31c: 60e6cb3d  ldr	q0, [x19, #0x2f90]
0xfffffff00878f320: 61eacb3d  ldr	q1, [x19, #0x2fa0]
0xfffffff00878f324: 62eecb3d  ldr	q2, [x19, #0x2fb0]
0xfffffff00878f328: 69e257f9  ldr	x9, [x19, #0x2fc0]
0xfffffff00878f32c: 09c106f8  stur	x9, [x8, #0x6c]
0xfffffff00878f330: 02c1853c  stur	q2, [x8, #0x5c]
0xfffffff00878f334: 01c1843c  stur	q1, [x8, #0x4c]
0xfffffff00878f338: 00c1833c  stur	q0, [x8, #0x3c]
0xfffffff00878f33c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff00878f340: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff00878f344: ffc30091  add	sp, sp, #0x30
0xfffffff00878f348: ff0f5fd6  retab	
0xfffffff00878f34c: 60be41f9  ldr	x0, [x19, #0x378]
0xfffffff00878f350: 08f28552  mov	w8, #0x2f90
0xfffffff00878f354: 6202088b  add	x2, x19, x8
0xfffffff00878f358: 100040f9  ldr	x16, [x0]
0xfffffff00878f35c: f10300aa  mov	x17, x0
0xfffffff00878f360: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff00878f364: 301ac1da  autda	x16, x17
0xfffffff00878f368: 080e46f8  ldr	x8, [x16, #0x60]!
