; Candidate 3736
; ADRP+ADD at VM 0xfffffff008757574 (fileoff 0x1753574): page=0x1fe9da000 add_imm=0xd90

0xfffffff0087574f4: b5060091  add	x21, x21, #1
0xfffffff0087574f8: 9f0115eb  cmp	x12, x21
0xfffffff0087574fc: 41ebff54  b.ne	#0xfffffff008757264
0xfffffff008757500: e80240f9  ldr	x8, [x23]
0xfffffff008757504: 1f1102b9  str	wzr, [x8, #0x210]
0xfffffff008757508: e80240f9  ldr	x8, [x23]
0xfffffff00875750c: 1f1502b9  str	wzr, [x8, #0x214]
0xfffffff008757510: e80240f9  ldr	x8, [x23]
0xfffffff008757514: 1f1902b9  str	wzr, [x8, #0x218]
0xfffffff008757518: e80240f9  ldr	x8, [x23]
0xfffffff00875751c: 1f1d02b9  str	wzr, [x8, #0x21c]
0xfffffff008757520: 9c0a0034  cbz	w28, #0xfffffff008757670
0xfffffff008757524: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff008757528: 09008452  mov	w9, #0x2000
0xfffffff00875752c: 09696938  ldrb	w9, [x8, x9]
0xfffffff008757530: 89000034  cbz	w9, #0xfffffff008757540
0xfffffff008757534: 090d60b9  ldr	w9, [x8, #0x200c]
0xfffffff008757538: 0a1160b9  ldr	w10, [x8, #0x2010]
0xfffffff00875753c: 02000014  b	#0xfffffff008757544
0xfffffff008757540: 0a008052  mov	w10, #0
0xfffffff008757544: ee1340f9  ldr	x14, [sp, #0x20]
0xfffffff008757548: 0b7147f9  ldr	x11, [x8, #0xee0]
0xfffffff00875754c: 68b14629  ldp	w8, w12, [x11, #0x34]
0xfffffff008757550: 0901092b  adds	w9, w8, w9
0xfffffff008757554: ed379f1a  cset	w13, hs
0xfffffff008757558: 88010a2b  adds	w8, w12, w10
0xfffffff00875755c: 4a008052  mov	w10, #2
0xfffffff008757560: 4a218d1a  csel	w10, w10, w13, hs
0xfffffff008757564: aa010034  cbz	w10, #0xfffffff008757598
0xfffffff008757568: c84fff90  adrp	x8, #0xfffffff00714f000
0xfffffff00875756c: 08bd1991  add	x8, x8, #0x66f
0xfffffff008757570: e82b00a9  stp	x8, x10, [sp]
0xfffffff008757574: c04effd0  adrp	x0, #0xfffffff007131000
0xfffffff008757578: 00403691  add	x0, x0, #0xd90
0xfffffff00875757c: 2195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008757580: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008757584: 434fffd0  adrp	x3, #0xfffffff007141000
0xfffffff008757588: 63180d91  add	x3, x3, #0x346
0xfffffff00875758c: 02008052  mov	w2, #0
0xfffffff008757590: e86eef97  bl	#0xfffffff008333130
0xfffffff008757594: 95000014  b	#0xfffffff0087577e8
0xfffffff008757598: 6a0940f9  ldr	x10, [x11, #0x10]
0xfffffff00875759c: 4a4129ab  adds	x10, x10, w9, uxtw
0xfffffff0087575a0: 42120054  b.hs	#0xfffffff0087577e8
0xfffffff0087575a4: 6b1240f9  ldr	x11, [x19, #0x20]
0xfffffff0087575a8: 6c4d4839  ldrb	w12, [x11, #0x213]
0xfffffff0087575ac: 8a218a13  extr	w10, w12, w10, #8
0xfffffff0087575b0: 6a1102b9  str	w10, [x11, #0x210]
0xfffffff0087575b4: 6a0e40f9  ldr	x10, [x19, #0x18]
0xfffffff0087575b8: 4a7147f9  ldr	x10, [x10, #0xee0]
0xfffffff0087575bc: 4a0940f9  ldr	x10, [x10, #0x10]
0xfffffff0087575c0: 4a4128ab  adds	x10, x10, w8, uxtw
0xfffffff0087575c4: 22110054  b.hs	#0xfffffff0087577e8
0xfffffff0087575c8: 6b1240f9  ldr	x11, [x19, #0x20]
0xfffffff0087575cc: 6c5d4839  ldrb	w12, [x11, #0x217]
0xfffffff0087575d0: 8a218a13  extr	w10, w12, w10, #8
0xfffffff0087575d4: 6a1502b9  str	w10, [x11, #0x214]
0xfffffff0087575d8: 6a0e40f9  ldr	x10, [x19, #0x18]
0xfffffff0087575dc: 4a7147f9  ldr	x10, [x10, #0xee0]
0xfffffff0087575e0: 4a0940f9  ldr	x10, [x10, #0x10]
0xfffffff0087575e4: 490109ab  adds	x9, x10, x9
0xfffffff0087575e8: 02100054  b.hs	#0xfffffff0087577e8
0xfffffff0087575ec: 6a1240f9  ldr	x10, [x19, #0x20]
0xfffffff0087575f0: 4b1942b9  ldr	w11, [x10, #0x218]
