; Candidate 16501
; ADRP+ADD at VM 0xfffffff009ec7a6c (fileoff 0x2ec3a6c): page=0x1fd97b000 add_imm=0xd1d

0xfffffff009ec79ec: e82b00a9  stp	x8, x10, [sp]
0xfffffff009ec79f0: c0cbfef0  adrp	x0, #0xfffffff007842000
0xfffffff009ec79f4: 00983391  add	x0, x0, #0xce6
0xfffffff009ec79f8: b3dffe97  bl	#0xfffffff009e7f8c4
0xfffffff009ec79fc: fcb341f9  ldr	x28, [sp, #0x360]
0xfffffff009ec7a00: 086340f9  ldr	x8, [x24, #0xc0]
0xfffffff009ec7a04: 08e541f9  ldr	x8, [x8, #0x3c8]
0xfffffff009ec7a08: 080200b4  cbz	x8, #0xfffffff009ec7a48
0xfffffff009ec7a0c: 1f011ceb  cmp	x8, x28
0xfffffff009ec7a10: c1010054  b.ne	#0xfffffff009ec7a48
0xfffffff009ec7a14: c8378452  mov	w8, #0x21be
0xfffffff009ec7a18: 29008052  mov	w9, #1
0xfffffff009ec7a1c: 096b2838  strb	w9, [x24, x8]
0xfffffff009ec7a20: 083e8452  mov	w8, #0x21f0
0xfffffff009ec7a24: 0803088b  add	x8, x24, x8
0xfffffff009ec7a28: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009ec7a2c: e8cbfe90  adrp	x8, #0xfffffff007843000
0xfffffff009ec7a30: 08191591  add	x8, x8, #0x546
0xfffffff009ec7a34: a9048152  mov	w9, #0x825
0xfffffff009ec7a38: e82700a9  stp	x8, x9, [sp]
0xfffffff009ec7a3c: e0cbfe90  adrp	x0, #0xfffffff007843000
0xfffffff009ec7a40: 003c1491  add	x0, x0, #0x50f
0xfffffff009ec7a44: 8adffe97  bl	#0xfffffff009e7f86c
0xfffffff009ec7a48: bc0100b4  cbz	x28, #0xfffffff009ec7a7c
0xfffffff009ec7a4c: 083e8452  mov	w8, #0x21f0
0xfffffff009ec7a50: 0803088b  add	x8, x24, x8
0xfffffff009ec7a54: 6a558152  mov	w10, #0xaab
0xfffffff009ec7a58: c9cbfef0  adrp	x9, #0xfffffff007842000
0xfffffff009ec7a5c: 29e11e91  add	x9, x9, #0x7b8
0xfffffff009ec7a60: e92b00a9  stp	x9, x10, [sp]
0xfffffff009ec7a64: fc2300f9  str	x28, [sp, #0x40]
0xfffffff009ec7a68: e87301a9  stp	x8, x28, [sp, #0x10]
0xfffffff009ec7a6c: c0cbfef0  adrp	x0, #0xfffffff007842000
0xfffffff009ec7a70: 00743491  add	x0, x0, #0xd1d
0xfffffff009ec7a74: 7edffe97  bl	#0xfffffff009e7f86c
0xfffffff009ec7a78: 06000014  b	#0xfffffff009ec7a90
0xfffffff009ec7a7c: 086340f9  ldr	x8, [x24, #0xc0]
0xfffffff009ec7a80: 08e14039  ldrb	w8, [x8, #0x38]
0xfffffff009ec7a84: 48062837  tbnz	w8, #5, #0xfffffff009ec7b4c
0xfffffff009ec7a88: ff2300f9  str	xzr, [sp, #0x40]
0xfffffff009ec7a8c: bb000036  tbz	w27, #0, #0xfffffff009ec7aa0
0xfffffff009ec7a90: 7c2800b0  adrp	x28, #0xfffffff00a3d4000
0xfffffff009ec7a94: 9c232a91  add	x28, x28, #0xa88
0xfffffff009ec7a98: f80317aa  mov	x24, x23
0xfffffff009ec7a9c: 54fcff17  b	#0xfffffff009ec6bec
0xfffffff009ec7aa0: 1b008052  mov	w27, #0
0xfffffff009ec7aa4: 28008052  mov	w8, #1
0xfffffff009ec7aa8: e86b00b9  str	w8, [sp, #0x68]
0xfffffff009ec7aac: 7c2800b0  adrp	x28, #0xfffffff00a3d4000
0xfffffff009ec7ab0: 9c232a91  add	x28, x28, #0xa88
0xfffffff009ec7ab4: f80317aa  mov	x24, x23
0xfffffff009ec7ab8: a3fcff17  b	#0xfffffff009ec6d44
0xfffffff009ec7abc: 9a018052  mov	w26, #0xc
0xfffffff009ec7ac0: f80315aa  mov	x24, x21
0xfffffff009ec7ac4: e00319aa  mov	x0, x25
0xfffffff009ec7ac8: 5ebd0194  bl	#0xfffffff009f37040
0xfffffff009ec7acc: d9fdff17  b	#0xfffffff009ec7230
0xfffffff009ec7ad0: f50316aa  mov	x21, x22
0xfffffff009ec7ad4: c10e40f9  ldr	x1, [x22, #0x18]
0xfffffff009ec7ad8: f63740f9  ldr	x22, [sp, #0x68]
0xfffffff009ec7adc: e00316aa  mov	x0, x22
0xfffffff009ec7ae0: 02008052  mov	w2, #0
0xfffffff009ec7ae4: e30301aa  mov	x3, x1
0xfffffff009ec7ae8: 46117a97  bl	#0xfffffff007d4c000
