; Candidate 14932
; ADRP+ADD at VM 0xfffffff009a04ae4 (fileoff 0x2a00ae4): page=0x1fdbfc000 add_imm=0xd75

0xfffffff009a04a64: 954d00d0  adrp	x21, #0xfffffff00a3b6000
0xfffffff009a04a68: a8426e39  ldrb	w8, [x21, #0xb90]
0xfffffff009a04a6c: 28020036  tbz	w8, #0, #0xfffffff009a04ab0
0xfffffff009a04a70: d9239397  bl	#0xfffffff007ecd9d4
0xfffffff009a04a74: e0010035  cbnz	w0, #0xfffffff009a04ab0
0xfffffff009a04a78: 88660491  add	x8, x20, #0x119
0xfffffff009a04a7c: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff009a04a80: 29fd43d3  lsr	x9, x9, #3
0xfffffff009a04a84: eaf99ed2  mov	x10, #0xf7cf
0xfffffff009a04a88: 6a6abcf2  movk	x10, #0xe353, lsl #16
0xfffffff009a04a8c: aa74d3f2  movk	x10, #0x9ba5, lsl #32
0xfffffff009a04a90: 8a18e4f2  movk	x10, #0x20c4, lsl #48
0xfffffff009a04a94: 297dca9b  umulh	x9, x9, x10
0xfffffff009a04a98: 29fd44d3  lsr	x9, x9, #4
0xfffffff009a04a9c: e9db00a9  stp	x9, x22, [sp, #8]
0xfffffff009a04aa0: e80300f9  str	x8, [sp]
0xfffffff009a04aa4: e0dffe90  adrp	x0, #0xfffffff007600000
0xfffffff009a04aa8: 00d43591  add	x0, x0, #0xd75
0xfffffff009a04aac: 5d49a597  bl	#0xfffffff008357020
0xfffffff009a04ab0: a8426e39  ldrb	w8, [x21, #0xb90]
0xfffffff009a04ab4: e8010836  tbz	w8, #1, #0xfffffff009a04af0
0xfffffff009a04ab8: 88660491  add	x8, x20, #0x119
0xfffffff009a04abc: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff009a04ac0: 29fd43d3  lsr	x9, x9, #3
0xfffffff009a04ac4: eaf99ed2  mov	x10, #0xf7cf
0xfffffff009a04ac8: 6a6abcf2  movk	x10, #0xe353, lsl #16
0xfffffff009a04acc: aa74d3f2  movk	x10, #0x9ba5, lsl #32
0xfffffff009a04ad0: 8a18e4f2  movk	x10, #0x20c4, lsl #48
0xfffffff009a04ad4: 297dca9b  umulh	x9, x9, x10
0xfffffff009a04ad8: 29fd44d3  lsr	x9, x9, #4
0xfffffff009a04adc: e9db00a9  stp	x9, x22, [sp, #8]
0xfffffff009a04ae0: e80300f9  str	x8, [sp]
0xfffffff009a04ae4: e0dffe90  adrp	x0, #0xfffffff007600000
0xfffffff009a04ae8: 00d43591  add	x0, x0, #0xd75
0xfffffff009a04aec: 99aaa997  bl	#0xfffffff00846f550
0xfffffff009a04af0: 685e0011  add	w8, w19, #0x17
0xfffffff009a04af4: ff020071  cmp	w23, #0
0xfffffff009a04af8: 13019f1a  csel	w19, w8, wzr, eq
0xfffffff009a04afc: 13000014  b	#0xfffffff009a04b48
0xfffffff009a04b00: 08114079  ldrh	w8, [x8, #8]
0xfffffff009a04b04: 880000b4  cbz	x8, #0xfffffff009a04b14
0xfffffff009a04b08: 01310091  add	x1, x8, #0xc
0xfffffff009a04b0c: 0e2a0094  bl	#0xfffffff009a0f344
0xfffffff009a04b10: 6000a037  tbnz	w0, #0x14, #0xfffffff009a04b1c
0xfffffff009a04b14: 13008052  mov	w19, #0
0xfffffff009a04b18: 0c000014  b	#0xfffffff009a04b48
0xfffffff009a04b1c: 805640f9  ldr	x0, [x20, #0xa8]
0xfffffff009a04b20: 085040f9  ldr	x8, [x0, #0xa0]
0xfffffff009a04b24: 08114079  ldrh	w8, [x8, #8]
0xfffffff009a04b28: 01490091  add	x1, x8, #0x12
0xfffffff009a04b2c: 6a1f0094  bl	#0xfffffff009a0c8d4
0xfffffff009a04b30: f50300aa  mov	x21, x0
0xfffffff009a04b34: e00314aa  mov	x0, x20
0xfffffff009a04b38: e10315aa  mov	x1, x21
0xfffffff009a04b3c: d3fdff97  bl	#0xfffffff009a04288
0xfffffff009a04b40: bf021372  tst	w21, #0x2000
0xfffffff009a04b44: 73029f1a  csel	w19, w19, wzr, eq
0xfffffff009a04b48: e00313aa  mov	x0, x19
0xfffffff009a04b4c: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff009a04b50: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff009a04b54: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff009a04b58: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff009a04b5c: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff009a04b60: ff830291  add	sp, sp, #0xa0
