; Candidate 2810
; ADRP+ADD at VM 0xfffffff0086eaff4 (fileoff 0x16e6ff4): page=0x1fea47000 add_imm=0xd90

0xfffffff0086eaf74: 40010054  b.eq	#0xfffffff0086eaf9c
0xfffffff0086eaf78: f62300a9  stp	x22, x8, [sp]
0xfffffff0086eaf7c: 2052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086eaf80: 00403691  add	x0, x0, #0xd90
0xfffffff0086eaf84: 8198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086eaf88: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086eaf8c: 4352ffb0  adrp	x3, #0xfffffff007133000
0xfffffff0086eaf90: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0086eaf94: 02008052  mov	w2, #0
0xfffffff0086eaf98: 6620f197  bl	#0xfffffff008333130
0xfffffff0086eaf9c: 762a00b9  str	w22, [x19, #0x28]
0xfffffff0086eafa0: 7f1a00f9  str	xzr, [x19, #0x30]
0xfffffff0086eafa4: 7f3a00b9  str	wzr, [x19, #0x38]
0xfffffff0086eafa8: e00313aa  mov	x0, x19
0xfffffff0086eafac: 1ee5ff97  bl	#0xfffffff0086e4424
0xfffffff0086eafb0: 80080035  cbnz	w0, #0xfffffff0086eb0c0
0xfffffff0086eafb4: 692e40b9  ldr	w9, [x19, #0x2c]
0xfffffff0086eafb8: 28090072  ands	w8, w9, #7
0xfffffff0086eafbc: e0020054  b.eq	#0xfffffff0086eb018
0xfffffff0086eafc0: 6a2a40b9  ldr	w10, [x19, #0x28]
0xfffffff0086eafc4: eb03084b  neg	w11, w8
0xfffffff0086eafc8: 5625cb1a  lsr	w22, w10, w11
0xfffffff0086eafcc: 4a21c81a  lsl	w10, w10, w8
0xfffffff0086eafd0: 29711d12  and	w9, w9, #0xfffffff8
0xfffffff0086eafd4: 6a260529  stp	w10, w9, [x19, #0x28]
0xfffffff0086eafd8: 6ace5eb9  ldr	w10, [x19, #0x1ecc]
0xfffffff0086eafdc: 5f01176a  tst	w10, w23
0xfffffff0086eafe0: a0010054  b.eq	#0xfffffff0086eb014
0xfffffff0086eafe4: f62701a9  stp	x22, x9, [sp, #0x10]
0xfffffff0086eafe8: 2953ffd0  adrp	x9, #0xfffffff007150000
0xfffffff0086eafec: 29692a91  add	x9, x9, #0xa9a
0xfffffff0086eaff0: e82700a9  stp	x8, x9, [sp]
0xfffffff0086eaff4: 2052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086eaff8: 00403691  add	x0, x0, #0xd90
0xfffffff0086eaffc: 8198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086eb000: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086eb004: 4352ff90  adrp	x3, #0xfffffff007133000
0xfffffff0086eb008: 63d82d91  add	x3, x3, #0xb76
0xfffffff0086eb00c: 02008052  mov	w2, #0
0xfffffff0086eb010: 4820f197  bl	#0xfffffff008333130
0xfffffff0086eb014: 76050035  cbnz	w22, #0xfffffff0086eb0c0
0xfffffff0086eb018: 682a40f9  ldr	x8, [x19, #0x50]
0xfffffff0086eb01c: 09054079  ldrh	w9, [x8, #2]
0xfffffff0086eb020: 490e00b4  cbz	x9, #0xfffffff0086eb1e8
0xfffffff0086eb024: 6a2e40b9  ldr	w10, [x19, #0x2c]
0xfffffff0086eb028: 6b3241a9  ldp	x11, x12, [x19, #0x10]
0xfffffff0086eb02c: 6a0d4acb  sub	x10, x11, x10, lsr #3
0xfffffff0086eb030: 4901098b  add	x9, x10, x9
0xfffffff0086eb034: 692600f9  str	x9, [x19, #0x48]
0xfffffff0086eb038: 2a110091  add	x10, x9, #4
0xfffffff0086eb03c: 3f010ceb  cmp	x9, x12
0xfffffff0086eb040: 40914bfa  ccmp	x10, x11, #0, ls
0xfffffff0086eb044: c2040054  b.hs	#0xfffffff0086eb0dc
0xfffffff0086eb048: c8d98352  mov	w8, #0x1ece
0xfffffff0086eb04c: 686a6838  ldrb	w8, [x19, x8]
0xfffffff0086eb050: 88030036  tbz	w8, #0, #0xfffffff0086eb0c0
0xfffffff0086eb054: 2853ffb0  adrp	x8, #0xfffffff007150000
0xfffffff0086eb058: 08310c91  add	x8, x8, #0x30c
0xfffffff0086eb05c: e80300f9  str	x8, [sp]
0xfffffff0086eb060: 2052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086eb064: 00403691  add	x0, x0, #0xd90
0xfffffff0086eb068: 8198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086eb06c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086eb070: 4352ff90  adrp	x3, #0xfffffff007133000
