; Candidate 4761
; ADRP+ADD at VM 0xfffffff0087c4aec (fileoff 0x17c0aec): page=0x1fe96d000 add_imm=0xd90

0xfffffff0087c4a6c: 1f050071  cmp	w8, #1
0xfffffff0087c4a70: 61000054  b.ne	#0xfffffff0087c4a7c
0xfffffff0087c4a74: 00008052  mov	w0, #0
0xfffffff0087c4a78: 06000014  b	#0xfffffff0087c4a90
0xfffffff0087c4a7c: c14cfff0  adrp	x1, #0xfffffff00715f000
0xfffffff0087c4a80: 21301b91  add	x1, x1, #0x6cc
0xfffffff0087c4a84: e00314aa  mov	x0, x20
0xfffffff0087c4a88: 22008052  mov	w2, #1
0xfffffff0087c4a8c: 0ddaff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c4a90: 60460139  strb	w0, [x19, #0x51]
0xfffffff0087c4a94: 1f1c0072  tst	w0, #0xff
0xfffffff0087c4a98: 68008052  mov	w8, #3
0xfffffff0087c4a9c: 08059f1a  csinc	w8, w8, wzr, eq
0xfffffff0087c4aa0: 893240f9  ldr	x9, [x20, #0x60]
0xfffffff0087c4aa4: 28b901b9  str	w8, [x9, #0x1b8]
0xfffffff0087c4aa8: c14cfff0  adrp	x1, #0xfffffff00715f000
0xfffffff0087c4aac: 21601b91  add	x1, x1, #0x6d8
0xfffffff0087c4ab0: e00314aa  mov	x0, x20
0xfffffff0087c4ab4: 22008052  mov	w2, #1
0xfffffff0087c4ab8: 02daff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c4abc: a0020034  cbz	w0, #0xfffffff0087c4b10
0xfffffff0087c4ac0: c14cfff0  adrp	x1, #0xfffffff00715f000
0xfffffff0087c4ac4: 21dc1b91  add	x1, x1, #0x6f7
0xfffffff0087c4ac8: e00314aa  mov	x0, x20
0xfffffff0087c4acc: 02018052  mov	w2, #8
0xfffffff0087c4ad0: fcd9ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c4ad4: 605600b9  str	w0, [x19, #0x54]
0xfffffff0087c4ad8: 1f000471  cmp	w0, #0x100
0xfffffff0087c4adc: a3050054  b.lo	#0xfffffff0087c4b90
0xfffffff0087c4ae0: 684cff90  adrp	x8, #0xfffffff007150000
0xfffffff0087c4ae4: 08850e91  add	x8, x8, #0x3a1
0xfffffff0087c4ae8: e80300a9  stp	x8, x0, [sp]
0xfffffff0087c4aec: 604bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087c4af0: 00403691  add	x0, x0, #0xd90
0xfffffff0087c4af4: c191ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c4af8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c4afc: 434cffd0  adrp	x3, #0xfffffff00714e000
0xfffffff0087c4b00: 633c1d91  add	x3, x3, #0x74f
0xfffffff0087c4b04: 02008052  mov	w2, #0
0xfffffff0087c4b08: 8ab9ed97  bl	#0xfffffff008333130
0xfffffff0087c4b0c: b6000014  b	#0xfffffff0087c4de4
0xfffffff0087c4b10: 4004000f  movi	v0.2s, #2
0xfffffff0087c4b14: 604205fc  stur	d0, [x19, #0x54]
0xfffffff0087c4b18: 40008052  mov	w0, #2
0xfffffff0087c4b1c: 605e00b9  str	w0, [x19, #0x5c]
0xfffffff0087c4b20: 68464139  ldrb	w8, [x19, #0x51]
0xfffffff0087c4b24: e8050034  cbz	w8, #0xfffffff0087c4be0
0xfffffff0087c4b28: 614cff90  adrp	x1, #0xfffffff007150000
0xfffffff0087c4b2c: 21ac0d91  add	x1, x1, #0x36b
0xfffffff0087c4b30: e00314aa  mov	x0, x20
0xfffffff0087c4b34: 22008052  mov	w2, #1
0xfffffff0087c4b38: e2d9ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c4b3c: 606200b9  str	w0, [x19, #0x60]
0xfffffff0087c4b40: 2004000f  movi	v0.2s, #1
0xfffffff0087c4b44: 604206fc  stur	d0, [x19, #0x64]
0xfffffff0087c4b48: 7f6e00b9  str	wzr, [x19, #0x6c]
0xfffffff0087c4b4c: 7fc20139  strb	wzr, [x19, #0x70]
0xfffffff0087c4b50: a5000014  b	#0xfffffff0087c4de4
0xfffffff0087c4b54: c9948752  mov	w9, #0x3ca6
0xfffffff0087c4b58: 896a6938  ldrb	w9, [x20, x9]
0xfffffff0087c4b5c: 49140036  tbz	w9, #0, #0xfffffff0087c4de4
0xfffffff0087c4b60: 694cff90  adrp	x9, #0xfffffff007150000
0xfffffff0087c4b64: 29850e91  add	x9, x9, #0x3a1
0xfffffff0087c4b68: e92300a9  stp	x9, x8, [sp]
