; Candidate 5764
; ADRP+ADD at VM 0xfffffff0088034a0 (fileoff 0x17ff4a0): page=0x1fea16000 add_imm=0xdba

0xfffffff008803420: e10317aa  mov	x1, x23
0xfffffff008803424: 03048052  mov	w3, #0x20
0xfffffff008803428: 12c40294  bl	#0xfffffff0088b4470
0xfffffff00880342c: e00314aa  mov	x0, x20
0xfffffff008803430: e10315aa  mov	x1, x21
0xfffffff008803434: e7e00194  bl	#0xfffffff00887b7d0
0xfffffff008803438: 000c0034  cbz	w0, #0xfffffff0088035b8
0xfffffff00880343c: 682a4491  add	x8, x19, #0x10a, lsl #12
0xfffffff008803440: 18110891  add	x24, x8, #0x204
0xfffffff008803444: e00314aa  mov	x0, x20
0xfffffff008803448: f4e00194  bl	#0xfffffff00887b818
0xfffffff00880344c: 3603f837  tbnz	w22, #0x1f, #0xfffffff0088034b0
0xfffffff008803450: db021b12  and	w27, w22, #0x20
0xfffffff008803454: 1c000052  eor	w28, w0, #1
0xfffffff008803458: 55c30294  bl	#0xfffffff0088b41ac
0xfffffff00880345c: f70300aa  mov	x23, x0
0xfffffff008803460: e00315aa  mov	x0, x21
0xfffffff008803464: fbe00194  bl	#0xfffffff00887b850
0xfffffff008803468: 88175b2a  orr	w8, w28, w27, lsr #5
0xfffffff00880346c: 88040037  tbnz	w8, #0, #0xfffffff0088034fc
0xfffffff008803470: 68720191  add	x8, x19, #0x5c
0xfffffff008803474: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff008803478: 6c2a5c29  ldp	w12, w10, [x19, #0xe0]
0xfffffff00880347c: 6bde40b9  ldr	w11, [x19, #0xdc]
0xfffffff008803480: 4d8f46b9  ldr	w13, [x26, #0x68c]
0xfffffff008803484: 0e0340b9  ldr	w14, [x24]
0xfffffff008803488: ed3b05a9  stp	x13, x14, [sp, #0x50]
0xfffffff00880348c: ea3304a9  stp	x10, x12, [sp, #0x40]
0xfffffff008803490: e82f03a9  stp	x8, x11, [sp, #0x30]
0xfffffff008803494: f32702a9  stp	x19, x9, [sp, #0x20]
0xfffffff008803498: e8c30191  add	x8, sp, #0x70
0xfffffff00880349c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088034a0: a050ffd0  adrp	x0, #0xfffffff007219000
0xfffffff0088034a4: 00e83691  add	x0, x0, #0xdba
0xfffffff0088034a8: f75300a9  stp	x23, x20, [sp]
0xfffffff0088034ac: 12000014  b	#0xfffffff0088034f4
0xfffffff0088034b0: c0050034  cbz	w0, #0xfffffff008803568
0xfffffff0088034b4: e803164b  neg	w8, w22
0xfffffff0088034b8: 88052837  tbnz	w8, #5, #0xfffffff008803568
0xfffffff0088034bc: 68720191  add	x8, x19, #0x5c
0xfffffff0088034c0: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff0088034c4: 6c2a5c29  ldp	w12, w10, [x19, #0xe0]
0xfffffff0088034c8: 6bde40b9  ldr	w11, [x19, #0xdc]
0xfffffff0088034cc: 4d8f46b9  ldr	w13, [x26, #0x68c]
0xfffffff0088034d0: 0e0340b9  ldr	w14, [x24]
0xfffffff0088034d4: edbb03a9  stp	x13, x14, [sp, #0x38]
0xfffffff0088034d8: eab302a9  stp	x10, x12, [sp, #0x28]
0xfffffff0088034dc: e8af01a9  stp	x8, x11, [sp, #0x18]
0xfffffff0088034e0: f3a700a9  stp	x19, x9, [sp, #8]
0xfffffff0088034e4: e8c30191  add	x8, sp, #0x70
0xfffffff0088034e8: a050ffd0  adrp	x0, #0xfffffff007219000
0xfffffff0088034ec: 00cc3591  add	x0, x0, #0xd73
0xfffffff0088034f0: e80300f9  str	x8, [sp]
0xfffffff0088034f4: dbcfd697  bl	#0xfffffff007db7460
0xfffffff0088034f8: 30000014  b	#0xfffffff0088035b8
0xfffffff0088034fc: 7b720191  add	x27, x19, #0x5c
0xfffffff008803500: 2bc30294  bl	#0xfffffff0088b41ac
0xfffffff008803504: f70300aa  mov	x23, x0
0xfffffff008803508: e00315aa  mov	x0, x21
0xfffffff00880350c: d1e00194  bl	#0xfffffff00887b850
0xfffffff008803510: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff008803514: 6b265c29  ldp	w11, w9, [x19, #0xe0]
0xfffffff008803518: 6ade40b9  ldr	w10, [x19, #0xdc]
0xfffffff00880351c: 4c8f46b9  ldr	w12, [x26, #0x68c]
