; Candidate 14488
; ADRP+ADD at VM 0xfffffff0097f8620 (fileoff 0x27f4620): page=0xb9a000 add_imm=0xdd0

0xfffffff0097f85a0: e90310aa  mov	x9, x16
0xfffffff0097f85a4: 01008052  mov	w1, #0
0xfffffff0097f85a8: f10309aa  mov	x17, x9
0xfffffff0097f85ac: b140e0f2  movk	x17, #0x205, lsl #48
0xfffffff0097f85b0: 11093fd7  blraa	x8, x17
0xfffffff0097f85b4: 606e40f9  ldr	x0, [x19, #0xd8]
0xfffffff0097f85b8: 100040f9  ldr	x16, [x0]
0xfffffff0097f85bc: f10300aa  mov	x17, x0
0xfffffff0097f85c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097f85c4: 301ac1da  autda	x16, x17
0xfffffff0097f85c8: f10310aa  mov	x17, x16
0xfffffff0097f85cc: f147c1da  xpacd	x17
0xfffffff0097f85d0: 1f0211eb  cmp	x16, x17
0xfffffff0097f85d4: 40000054  b.eq	#0xfffffff0097f85dc
0xfffffff0097f85d8: 408e38d4  brk	#0xc472
0xfffffff0097f85dc: 08220b91  add	x8, x16, #0x2c8
0xfffffff0097f85e0: 096641f9  ldr	x9, [x16, #0x2c8]
0xfffffff0097f85e4: e10313aa  mov	x1, x19
0xfffffff0097f85e8: 02008052  mov	w2, #0
0xfffffff0097f85ec: f10308aa  mov	x17, x8
0xfffffff0097f85f0: f173ecf2  movk	x17, #0x639f, lsl #48
0xfffffff0097f85f4: 31093fd7  blraa	x9, x17
0xfffffff0097f85f8: 00008052  mov	w0, #0
0xfffffff0097f85fc: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0097f8600: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0097f8604: ffc30091  add	sp, sp, #0x30
0xfffffff0097f8608: ff0f5fd6  retab	
0xfffffff0097f860c: 5f2403d5  bti	c
0xfffffff0097f8610: 39b0ab17  b	#0xfffffff0082e46f4
0xfffffff0097f8614: 7f2303d5  pacibsp	
0xfffffff0097f8618: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0097f861c: fd030091  mov	x29, sp
0xfffffff0097f8620: c05c00d0  adrp	x0, #0xfffffff00a392000
0xfffffff0097f8624: 00403791  add	x0, x0, #0xdd0
0xfffffff0097f8628: e1edfe90  adrp	x1, #0xfffffff0075b4000
0xfffffff0097f862c: 21600191  add	x1, x1, #0x58
0xfffffff0097f8630: 8222ffb0  adrp	x2, #0xfffffff007c49000
0xfffffff0097f8634: 42d442f9  ldr	x2, [x2, #0x5a8]
0xfffffff0097f8638: 031d8052  mov	w3, #0xe8
0xfffffff0097f863c: 3fadab97  bl	#0xfffffff0082e3b38
0xfffffff0097f8640: 9022ffb0  adrp	x16, #0xfffffff007c49000
0xfffffff0097f8644: 10623091  add	x16, x16, #0xc18
0xfffffff0097f8648: 10420091  add	x16, x16, #0x10
0xfffffff0097f864c: f10300aa  mov	x17, x0
0xfffffff0097f8650: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097f8654: 300ac1da  pacda	x16, x17
0xfffffff0097f8658: 100000f9  str	x16, [x0]
0xfffffff0097f865c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0097f8660: ff0f5fd6  retab	
0xfffffff0097f8664: 5f2403d5  bti	c
0xfffffff0097f8668: c05c00d0  adrp	x0, #0xfffffff00a392000
0xfffffff0097f866c: 00403791  add	x0, x0, #0xdd0
0xfffffff0097f8670: 21b0ab17  b	#0xfffffff0082e46f4
0xfffffff0097f8674: 7f2303d5  pacibsp	
0xfffffff0097f8678: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0097f867c: fd030091  mov	x29, sp
0xfffffff0097f8680: e1edfe90  adrp	x1, #0xfffffff0075b4000
0xfffffff0097f8684: 21340a91  add	x1, x1, #0x28d
0xfffffff0097f8688: 8222ffb0  adrp	x2, #0xfffffff007c49000
0xfffffff0097f868c: 42e042f9  ldr	x2, [x2, #0x5c0]
0xfffffff0097f8690: 03128052  mov	w3, #0x90
0xfffffff0097f8694: 29adab97  bl	#0xfffffff0082e3b38
0xfffffff0097f8698: 9022ffd0  adrp	x16, #0xfffffff007c4a000
0xfffffff0097f869c: 10020b91  add	x16, x16, #0x2c0
