; Candidate 8656
; ADRP+ADD at VM 0xfffffff0088b9bf8 (fileoff 0x18b5bf8): page=0x1fe97c000 add_imm=0xde4

0xfffffff0088b9b78: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b9b7c: 618afff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b9b80: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b9b84: 634dff90  adrp	x3, #0xfffffff007265000
0xfffffff0088b9b88: 63e82d91  add	x3, x3, #0xb7a
0xfffffff0088b9b8c: 02008052  mov	w2, #0
0xfffffff0088b9b90: 68e5e997  bl	#0xfffffff008333130
0xfffffff0088b9b94: a81e40b9  ldr	w8, [x21, #0x1c]
0xfffffff0088b9b98: 1f050071  cmp	w8, #1
0xfffffff0088b9b9c: 61030054  b.ne	#0xfffffff0088b9c08
0xfffffff0088b9ba0: 9fe601b9  str	wzr, [x20, #0x1e4]
0xfffffff0088b9ba4: e00313aa  mov	x0, x19
0xfffffff0088b9ba8: 01008052  mov	w1, #0
0xfffffff0088b9bac: 91e4ff97  bl	#0xfffffff0088b2df0
0xfffffff0088b9bb0: f60300aa  mov	x22, x0
0xfffffff0088b9bb4: 400b0035  cbnz	w0, #0xfffffff0088b9d1c
0xfffffff0088b9bb8: a0088052  mov	w0, #0x45
0xfffffff0088b9bbc: e1008052  mov	w1, #7
0xfffffff0088b9bc0: 0407ff97  bl	#0xfffffff00887b7d0
0xfffffff0088b9bc4: e0090034  cbz	w0, #0xfffffff0088b9d00
0xfffffff0088b9bc8: a0088052  mov	w0, #0x45
0xfffffff0088b9bcc: 1307ff97  bl	#0xfffffff00887b818
0xfffffff0088b9bd0: f70300aa  mov	x23, x0
0xfffffff0088b9bd4: 76e9ff97  bl	#0xfffffff0088b41ac
0xfffffff0088b9bd8: f60300aa  mov	x22, x0
0xfffffff0088b9bdc: e0008052  mov	w0, #7
0xfffffff0088b9be0: 1c07ff97  bl	#0xfffffff00887b850
0xfffffff0088b9be4: f7060034  cbz	w23, #0xfffffff0088b9cc0
0xfffffff0088b9be8: 88e641b9  ldr	w8, [x20, #0x1e4]
0xfffffff0088b9bec: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b9bf0: a8088052  mov	w8, #0x45
0xfffffff0088b9bf4: f62300a9  stp	x22, x8, [sp]
0xfffffff0088b9bf8: e04bff90  adrp	x0, #0xfffffff007235000
0xfffffff0088b9bfc: 00903791  add	x0, x0, #0xde4
0xfffffff0088b9c00: 18f6d397  bl	#0xfffffff007db7460
0xfffffff0088b9c04: 3f000014  b	#0xfffffff0088b9d00
0xfffffff0088b9c08: 28008052  mov	w8, #1
0xfffffff0088b9c0c: 89018052  mov	w9, #0xc
0xfffffff0088b9c10: 1761099b  madd	x23, x8, x9, x24
0xfffffff0088b9c14: 68008052  mov	w8, #3
0xfffffff0088b9c18: e80200b9  str	w8, [x23]
0xfffffff0088b9c1c: e00313aa  mov	x0, x19
0xfffffff0088b9c20: 61008052  mov	w1, #3
0xfffffff0088b9c24: 73e4ff97  bl	#0xfffffff0088b2df0
0xfffffff0088b9c28: f60300aa  mov	x22, x0
0xfffffff0088b9c2c: 80070035  cbnz	w0, #0xfffffff0088b9d1c
0xfffffff0088b9c30: a0088052  mov	w0, #0x45
0xfffffff0088b9c34: e1008052  mov	w1, #7
0xfffffff0088b9c38: e606ff97  bl	#0xfffffff00887b7d0
0xfffffff0088b9c3c: 80ebff34  cbz	w0, #0xfffffff0088b99ac
0xfffffff0088b9c40: a0088052  mov	w0, #0x45
0xfffffff0088b9c44: f506ff97  bl	#0xfffffff00887b818
0xfffffff0088b9c48: f60300aa  mov	x22, x0
0xfffffff0088b9c4c: 58e9ff97  bl	#0xfffffff0088b41ac
0xfffffff0088b9c50: f50300aa  mov	x21, x0
0xfffffff0088b9c54: e0008052  mov	w0, #7
0xfffffff0088b9c58: fe06ff97  bl	#0xfffffff00887b850
0xfffffff0088b9c5c: 16010034  cbz	w22, #0xfffffff0088b9c7c
0xfffffff0088b9c60: e80240b9  ldr	w8, [x23]
0xfffffff0088b9c64: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b9c68: a8088052  mov	w8, #0x45
0xfffffff0088b9c6c: f52300a9  stp	x21, x8, [sp]
0xfffffff0088b9c70: e04bff90  adrp	x0, #0xfffffff007235000
0xfffffff0088b9c74: 00903791  add	x0, x0, #0xde4
