; Candidate 5866
; ADRP+ADD at VM 0xfffffff008809990 (fileoff 0x1805990): page=0x1fe9e0000 add_imm=0xe80

0xfffffff008809910: 08e12f91  add	x8, x8, #0xbf8
0xfffffff008809914: 298c8052  mov	w9, #0x461
0xfffffff008809918: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00880991c: 8850ffb0  adrp	x8, #0xfffffff00721a000
0xfffffff008809920: 085d2e91  add	x8, x8, #0xb97
0xfffffff008809924: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008809928: 880e8052  mov	w8, #0x74
0xfffffff00880992c: f32300a9  stp	x19, x8, [sp]
0xfffffff008809930: 004fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008809934: 00003a91  add	x0, x0, #0xe80
0xfffffff008809938: e18ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff00880993c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008809940: e351ff90  adrp	x3, #0xfffffff007245000
0xfffffff008809944: 63603091  add	x3, x3, #0xc18
0xfffffff008809948: 02008052  mov	w2, #0
0xfffffff00880994c: f9a5ec97  bl	#0xfffffff008333130
0xfffffff008809950: 18000014  b	#0xfffffff0088099b0
0xfffffff008809954: 16aa0294  bl	#0xfffffff0088b41ac
0xfffffff008809958: f40300aa  mov	x20, x0
0xfffffff00880995c: 80008052  mov	w0, #4
0xfffffff008809960: bcc70194  bl	#0xfffffff00887b850
0xfffffff008809964: 6ac640b9  ldr	w10, [x19, #0xc4]
0xfffffff008809968: 2850fff0  adrp	x8, #0xfffffff007210000
0xfffffff00880996c: 08b92791  add	x8, x8, #0x9ee
0xfffffff008809970: 29908052  mov	w9, #0x481
0xfffffff008809974: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff008809978: 8850ffb0  adrp	x8, #0xfffffff00721a000
0xfffffff00880997c: 085d2e91  add	x8, x8, #0xb97
0xfffffff008809980: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008809984: 880e8052  mov	w8, #0x74
0xfffffff008809988: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00880998c: f40300f9  str	x20, [sp]
0xfffffff008809990: 004fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008809994: 00003a91  add	x0, x0, #0xe80
0xfffffff008809998: e18ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff00880999c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088099a0: e351ff90  adrp	x3, #0xfffffff007245000
0xfffffff0088099a4: 63183391  add	x3, x3, #0xcc6
0xfffffff0088099a8: 02008052  mov	w2, #0
0xfffffff0088099ac: e1a5ec97  bl	#0xfffffff008333130
0xfffffff0088099b0: 007d8012  mov	w0, #-0x3e9
0xfffffff0088099b4: ff430e91  add	sp, sp, #0x390
0xfffffff0088099b8: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0088099bc: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0088099c0: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0088099c4: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff0088099c8: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff0088099cc: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff0088099d0: ff0f5fd6  retab	
0xfffffff0088099d4: f6a90294  bl	#0xfffffff0088b41ac
0xfffffff0088099d8: f40300aa  mov	x20, x0
0xfffffff0088099dc: 00018052  mov	w0, #8
0xfffffff0088099e0: 9cc70194  bl	#0xfffffff00887b850
0xfffffff0088099e4: 68c640b9  ldr	w8, [x19, #0xc4]
0xfffffff0088099e8: e9de46b9  ldr	w9, [x23, #0x6dc]
0xfffffff0088099ec: 6a2a41b9  ldr	w10, [x19, #0x128]
0xfffffff0088099f0: eb8342b9  ldr	w11, [sp, #0x280]
0xfffffff0088099f4: ec9342b9  ldr	w12, [sp, #0x290]
0xfffffff0088099f8: ed9742b9  ldr	w13, [sp, #0x294]
0xfffffff0088099fc: ee9b42b9  ldr	w14, [sp, #0x298]
0xfffffff008809a00: ef0b43b9  ldr	w15, [sp, #0x308]
0xfffffff008809a04: f01b43b9  ldr	w16, [sp, #0x318]
0xfffffff008809a08: f11f43b9  ldr	w17, [sp, #0x31c]
0xfffffff008809a0c: e12343b9  ldr	w1, [sp, #0x320]
