; Candidate 16077
; ADRP+ADD at VM 0xfffffff009e12640 (fileoff 0x2e0e640): page=0x1fdf1b000 add_imm=0xd38

0xfffffff009e125c0: 18319b9a  csel	x24, x8, x27, lo
0xfffffff009e125c4: b902178b  add	x25, x21, x23
0xfffffff009e125c8: ff3f00b9  str	wzr, [sp, #0x3c]
0xfffffff009e125cc: e00313aa  mov	x0, x19
0xfffffff009e125d0: 629e8497  bl	#0xfffffff007f39f58
0xfffffff009e125d4: fa0300aa  mov	x26, x0
0xfffffff009e125d8: e00313aa  mov	x0, x19
0xfffffff009e125dc: 109d8497  bl	#0xfffffff007f39a1c
0xfffffff009e125e0: fc0300a9  stp	x28, x0, [sp]
0xfffffff009e125e4: 00008052  mov	w0, #0
0xfffffff009e125e8: e10314aa  mov	x1, x20
0xfffffff009e125ec: e20319aa  mov	x2, x25
0xfffffff009e125f0: e30318aa  mov	x3, x24
0xfffffff009e125f4: e40317aa  mov	x4, x23
0xfffffff009e125f8: 45008052  mov	w5, #2
0xfffffff009e125fc: 06019052  mov	w6, #0x8008
0xfffffff009e12600: e7031aaa  mov	x7, x26
0xfffffff009e12604: a18a8497  bl	#0xfffffff007f35088
0xfffffff009e12608: 800e0035  cbnz	w0, #0xfffffff009e127d8
0xfffffff009e1260c: e83f80b9  ldrsw	x8, [sp, #0x3c]
0xfffffff009e12610: 09fd7f93  asr	x9, x8, #0x3f
0xfffffff009e12614: 080308eb  subs	x8, x24, x8
0xfffffff009e12618: e90309da  ngc	x9, x9
0xfffffff009e1261c: 49100037  tbnz	w9, #0, #0xfffffff009e12824
0xfffffff009e12620: 880000b4  cbz	x8, #0xfffffff009e12630
0xfffffff009e12624: f702088b  add	x23, x23, x8
0xfffffff009e12628: df0217eb  cmp	x22, x23
0xfffffff009e1262c: 6cfcff54  b.gt	#0xfffffff009e125b8
0xfffffff009e12630: e00314aa  mov	x0, x20
0xfffffff009e12634: 21008052  mov	w1, #1
0xfffffff009e12638: e20313aa  mov	x2, x19
0xfffffff009e1263c: 21fc8397  bl	#0xfffffff007f116c0
0xfffffff009e12640: c0f8fef0  adrp	x0, #0xfffffff007d2d000
0xfffffff009e12644: 00e03491  add	x0, x0, #0xd38
0xfffffff009e12648: ab0f9597  bl	#0xfffffff0083564f4
0xfffffff009e1264c: f30300aa  mov	x19, x0
0xfffffff009e12650: 1f7c00a9  stp	xzr, xzr, [x0]
0xfffffff009e12654: 28008052  mov	w8, #1
0xfffffff009e12658: 080000b9  str	w8, [x0]
0xfffffff009e1265c: 15d402a9  stp	x21, x21, [x0, #0x28]
0xfffffff009e12660: 1fd801a9  stp	xzr, x22, [x0, #0x18]
0xfffffff009e12664: 160800f9  str	x22, [x0, #0x10]
0xfffffff009e12668: 000080d2  mov	x0, #0
0xfffffff009e1266c: c5090094  bl	#0xfffffff009e14d80
0xfffffff009e12670: 762d00b0  adrp	x22, #0xfffffff00a3bf000
0xfffffff009e12674: d56e43f9  ldr	x21, [x22, #0x6d8]
0xfffffff009e12678: b4220091  add	x20, x21, #8
0xfffffff009e1267c: e00314aa  mov	x0, x20
0xfffffff009e12680: cc6c7e97  bl	#0xfffffff007dad9b0
0xfffffff009e12684: a8620091  add	x8, x21, #0x18
0xfffffff009e12688: 08fddf88  ldar	w8, [x8]
0xfffffff009e1268c: a8000034  cbz	w8, #0xfffffff009e126a0
0xfffffff009e12690: a10240f9  ldr	x1, [x21]
0xfffffff009e12694: e00315aa  mov	x0, x21
0xfffffff009e12698: 3ec8ff97  bl	#0xfffffff009e04790
0xfffffff009e1269c: bf0200f9  str	xzr, [x21]
0xfffffff009e126a0: e00314aa  mov	x0, x20
0xfffffff009e126a4: 56707e97  bl	#0xfffffff007dae7fc
0xfffffff009e126a8: ff1b00f9  str	xzr, [sp, #0x30]
0xfffffff009e126ac: ff3f00b9  str	wzr, [sp, #0x3c]
0xfffffff009e126b0: 14018052  mov	w20, #8
0xfffffff009e126b4: 68a642a9  ldp	x8, x9, [x19, #0x28]
0xfffffff009e126b8: 3f0108eb  cmp	x9, x8
0xfffffff009e126bc: 83070054  b.lo	#0xfffffff009e127ac
