; Candidate 16409
; ADRP+ADD at VM 0xfffffff009e969f8 (fileoff 0x2e929f8): page=0x1fd9a6000 add_imm=0xe29

0xfffffff009e96978: 280128b8  ldadd	w8, w8, [x9]
0xfffffff009e9697c: e82900d0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009e96980: 09058052  mov	w9, #0x28
0xfffffff009e96984: 090105f9  str	x9, [x8, #0xa00]
0xfffffff009e96988: a0a301d1  sub	x0, x29, #0x68
0xfffffff009e9698c: dd74fe97  bl	#0xfffffff009e33d00
0xfffffff009e96990: 88018052  mov	w8, #0xc
0xfffffff009e96994: a8c317b8  stur	w8, [x29, #-0x84]
0xfffffff009e96998: f8c340f9  ldr	x24, [sp, #0x180]
0xfffffff009e9699c: f97340f9  ldr	x25, [sp, #0xe0]
0xfffffff009e969a0: fbdf4ca9  ldp	x27, x23, [sp, #0xc8]
0xfffffff009e969a4: 690640f9  ldr	x9, [x19, #8]
0xfffffff009e969a8: e9a300f9  str	x9, [sp, #0x140]
0xfffffff009e969ac: f60308aa  mov	x22, x8
0xfffffff009e969b0: e00313aa  mov	x0, x19
0xfffffff009e969b4: 402c0194  bl	#0xfffffff009ee1ab4
0xfffffff009e969b8: 8aae43b9  ldr	w10, [x20, #0x3ac]
0xfffffff009e969bc: e97b40f9  ldr	x9, [sp, #0xf0]
0xfffffff009e969c0: f72705a9  stp	x23, x9, [sp, #0x50]
0xfffffff009e969c4: e84b40f9  ldr	x8, [sp, #0x90]
0xfffffff009e969c8: e82b04a9  stp	x8, x10, [sp, #0x40]
0xfffffff009e969cc: e05b03a9  stp	x0, x22, [sp, #0x30]
0xfffffff009e969d0: e8a340f9  ldr	x8, [sp, #0x140]
0xfffffff009e969d4: fa2302a9  stp	x26, x8, [sp, #0x20]
0xfffffff009e969d8: f6ff40b9  ldr	w22, [sp, #0xfc]
0xfffffff009e969dc: ea5f40f9  ldr	x10, [sp, #0xb8]
0xfffffff009e969e0: e89740f9  ldr	x8, [sp, #0x128]
0xfffffff009e969e4: e82b01a9  stp	x8, x10, [sp, #0x10]
0xfffffff009e969e8: 8ae78552  mov	w10, #0x2f3c
0xfffffff009e969ec: 28cdfed0  adrp	x8, #0xfffffff00783c000
0xfffffff009e969f0: 08813591  add	x8, x8, #0xd60
0xfffffff009e969f4: e82b00a9  stp	x8, x10, [sp]
0xfffffff009e969f8: 20cdfed0  adrp	x0, #0xfffffff00783c000
0xfffffff009e969fc: 00a43891  add	x0, x0, #0xe29
0xfffffff009e96a00: b1a3ff97  bl	#0xfffffff009e7f8c4
0xfffffff009e96a04: ebc740b9  ldr	w11, [sp, #0xc4]
0xfffffff009e96a08: e45f40f9  ldr	x4, [sp, #0xb8]
0xfffffff009e96a0c: 6b791d12  and	w11, w11, #0xfffffffb
0xfffffff009e96a10: cb071037  tbnz	w11, #2, #0xfffffff009e96b08
0xfffffff009e96a14: cb150036  tbz	w11, #0, #0xfffffff009e96ccc
0xfffffff009e96a18: a8c357b8  ldur	w8, [x29, #-0x84]
0xfffffff009e96a1c: 1f710071  cmp	w8, #0x1c
0xfffffff009e96a20: 20420054  b.eq	#0xfffffff009e97264
0xfffffff009e96a24: ebc700b9  str	w11, [sp, #0xc4]
0xfffffff009e96a28: e84b40f9  ldr	x8, [sp, #0x90]
0xfffffff009e96a2c: ff2300a9  stp	xzr, x8, [sp]
0xfffffff009e96a30: a2e303d1  sub	x2, x29, #0xf8
0xfffffff009e96a34: a70303d1  sub	x7, x29, #0xc0
0xfffffff009e96a38: e00314aa  mov	x0, x20
0xfffffff009e96a3c: e10313aa  mov	x1, x19
0xfffffff009e96a40: e3031aaa  mov	x3, x26
0xfffffff009e96a44: 45008052  mov	w5, #2
0xfffffff009e96a48: e69b40f9  ldr	x6, [sp, #0x130]
0xfffffff009e96a4c: e1a10194  bl	#0xfffffff009eff1d0
0xfffffff009e96a50: a0c317b8  stur	w0, [x29, #-0x84]
0xfffffff009e96a54: a0040034  cbz	w0, #0xfffffff009e96ae8
0xfffffff009e96a58: e80300aa  mov	x8, x0
0xfffffff009e96a5c: 690640f9  ldr	x9, [x19, #8]
0xfffffff009e96a60: e9a300f9  str	x9, [sp, #0x140]
0xfffffff009e96a64: e00313aa  mov	x0, x19
0xfffffff009e96a68: f60308aa  mov	x22, x8
0xfffffff009e96a6c: 122c0194  bl	#0xfffffff009ee1ab4
0xfffffff009e96a70: a8cdfe90  adrp	x8, #0xfffffff00784a000
0xfffffff009e96a74: 089d0691  add	x8, x8, #0x1a7
