; Candidate 16027
; ADRP+ADD at VM 0xfffffff009e050b8 (fileoff 0x2e010b8): page=0x1fda14000 add_imm=0xdf6

0xfffffff009e05038: f50301aa  mov	x21, x1
0xfffffff009e0503c: f60300aa  mov	x22, x0
0xfffffff009e05040: 3acc8497  bl	#0xfffffff007f38128
0xfffffff009e05044: f70300aa  mov	x23, x0
0xfffffff009e05048: ff7f01a9  stp	xzr, xzr, [sp, #0x10]
0xfffffff009e0504c: e2630091  add	x2, sp, #0x18
0xfffffff009e05050: e00316aa  mov	x0, x22
0xfffffff009e05054: e10318aa  mov	x1, x24
0xfffffff009e05058: e30317aa  mov	x3, x23
0xfffffff009e0505c: ea1f8497  bl	#0xfffffff007f0d004
0xfffffff009e05060: 1f080071  cmp	w0, #2
0xfffffff009e05064: 01020054  b.ne	#0xfffffff009e050a4
0xfffffff009e05068: c8024039  ldrb	w8, [x22]
0xfffffff009e0506c: 28020034  cbz	w8, #0xfffffff009e050b0
0xfffffff009e05070: e00316aa  mov	x0, x22
0xfffffff009e05074: 63617d97  bl	#0xfffffff007d5d600
0xfffffff009e05078: 000200b4  cbz	x0, #0xfffffff009e050b8
0xfffffff009e0507c: e80300aa  mov	x8, x0
0xfffffff009e05080: a0d0fe90  adrp	x0, #0xfffffff007819000
0xfffffff009e05084: 00d83791  add	x0, x0, #0xdf6
0xfffffff009e05088: d902088b  add	x25, x22, x8
0xfffffff009e0508c: 29f35f38  ldurb	w9, [x25, #-1]
0xfffffff009e05090: 3fbd0071  cmp	w9, #0x2f
0xfffffff009e05094: 80010054  b.eq	#0xfffffff009e050c4
0xfffffff009e05098: 080500f1  subs	x8, x8, #1
0xfffffff009e0509c: 61ffff54  b.ne	#0xfffffff009e05088
0xfffffff009e050a0: 19000014  b	#0xfffffff009e05104
0xfffffff009e050a4: f80300aa  mov	x24, x0
0xfffffff009e050a8: 160080d2  mov	x22, #0
0xfffffff009e050ac: 1b000014  b	#0xfffffff009e05118
0xfffffff009e050b0: 58008052  mov	w24, #2
0xfffffff009e050b4: 1a000014  b	#0xfffffff009e0511c
0xfffffff009e050b8: a0d0fe90  adrp	x0, #0xfffffff007819000
0xfffffff009e050bc: 00d83791  add	x0, x0, #0xdf6
0xfffffff009e050c0: 11000014  b	#0xfffffff009e05104
0xfffffff009e050c4: 1f0500f1  cmp	x8, #1
0xfffffff009e050c8: 80010054  b.eq	#0xfffffff009e050f8
0xfffffff009e050cc: 3ff31f38  sturb	wzr, [x25, #-1]
0xfffffff009e050d0: e2630091  add	x2, sp, #0x18
0xfffffff009e050d4: e00316aa  mov	x0, x22
0xfffffff009e050d8: 01008052  mov	w1, #0
0xfffffff009e050dc: e30317aa  mov	x3, x23
0xfffffff009e050e0: c91f8497  bl	#0xfffffff007f0d004
0xfffffff009e050e4: f80300aa  mov	x24, x0
0xfffffff009e050e8: e8058052  mov	w8, #0x2f
0xfffffff009e050ec: 28f31f38  sturb	w8, [x25, #-1]
0xfffffff009e050f0: f60319aa  mov	x22, x25
0xfffffff009e050f4: 09000014  b	#0xfffffff009e05118
0xfffffff009e050f8: d6060091  add	x22, x22, #1
0xfffffff009e050fc: c0d0fed0  adrp	x0, #0xfffffff00781f000
0xfffffff009e05100: 00083291  add	x0, x0, #0xc82
0xfffffff009e05104: e2630091  add	x2, sp, #0x18
0xfffffff009e05108: 01008052  mov	w1, #0
0xfffffff009e0510c: e30317aa  mov	x3, x23
0xfffffff009e05110: bd1f8497  bl	#0xfffffff007f0d004
0xfffffff009e05114: f80300aa  mov	x24, x0
0xfffffff009e05118: d8010034  cbz	w24, #0xfffffff009e05150
0xfffffff009e0511c: e00f40f9  ldr	x0, [sp, #0x18]
0xfffffff009e05120: 400000b4  cbz	x0, #0xfffffff009e05128
0xfffffff009e05124: 7f118497  bl	#0xfffffff007f09720
0xfffffff009e05128: e00b40f9  ldr	x0, [sp, #0x10]
0xfffffff009e0512c: 153f0094  bl	#0xfffffff009e14d80
0xfffffff009e05130: e00318aa  mov	x0, x24
0xfffffff009e05134: fd7b46a9  ldp	x29, x30, [sp, #0x60]
