; Candidate 14335
; ADRP+ADD at VM 0xfffffff0097674b4 (fileoff 0x27634b4): page=0xc24000 add_imm=0xea8

0xfffffff009767434: c00100b5  cbnz	x0, #0xfffffff00976746c
0xfffffff009767438: 700240f9  ldr	x16, [x19]
0xfffffff00976743c: f10313aa  mov	x17, x19
0xfffffff009767440: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009767444: 301ac1da  autda	x16, x17
0xfffffff009767448: 113d80d2  mov	x17, #0x1e8
0xfffffff00976744c: 1002118b  add	x16, x16, x17
0xfffffff009767450: 080240f9  ldr	x8, [x16]
0xfffffff009767454: e90310aa  mov	x9, x16
0xfffffff009767458: e00313aa  mov	x0, x19
0xfffffff00976745c: 010080d2  mov	x1, #0
0xfffffff009767460: f10309aa  mov	x17, x9
0xfffffff009767464: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009767468: 11093fd7  blraa	x8, x17
0xfffffff00976746c: e00313aa  mov	x0, x19
0xfffffff009767470: 7b05fd97  bl	#0xfffffff0096a8a5c
0xfffffff009767474: e00313aa  mov	x0, x19
0xfffffff009767478: 7905fd97  bl	#0xfffffff0096a8a5c
0xfffffff00976747c: c00100b5  cbnz	x0, #0xfffffff0097674b4
0xfffffff009767480: 700240f9  ldr	x16, [x19]
0xfffffff009767484: f10313aa  mov	x17, x19
0xfffffff009767488: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976748c: 301ac1da  autda	x16, x17
0xfffffff009767490: 114380d2  mov	x17, #0x218
0xfffffff009767494: 1002118b  add	x16, x16, x17
0xfffffff009767498: 080240f9  ldr	x8, [x16]
0xfffffff00976749c: e90310aa  mov	x9, x16
0xfffffff0097674a0: e00313aa  mov	x0, x19
0xfffffff0097674a4: 010080d2  mov	x1, #0
0xfffffff0097674a8: f10309aa  mov	x17, x9
0xfffffff0097674ac: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff0097674b0: 11093fd7  blraa	x8, x17
0xfffffff0097674b4: 20610090  adrp	x0, #0xfffffff00a38b000
0xfffffff0097674b8: 00a03a91  add	x0, x0, #0xea8
0xfffffff0097674bc: 27f5ad97  bl	#0xfffffff0082e4958
0xfffffff0097674c0: f60300aa  mov	x22, x0
0xfffffff0097674c4: e00313aa  mov	x0, x19
0xfffffff0097674c8: 6505fd97  bl	#0xfffffff0096a8a5c
0xfffffff0097674cc: f70300aa  mov	x23, x0
0xfffffff0097674d0: e00100b5  cbnz	x0, #0xfffffff00976750c
0xfffffff0097674d4: 700240f9  ldr	x16, [x19]
0xfffffff0097674d8: f10313aa  mov	x17, x19
0xfffffff0097674dc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097674e0: 301ac1da  autda	x16, x17
0xfffffff0097674e4: 113d80d2  mov	x17, #0x1e8
0xfffffff0097674e8: 1002118b  add	x16, x16, x17
0xfffffff0097674ec: 080240f9  ldr	x8, [x16]
0xfffffff0097674f0: e90310aa  mov	x9, x16
0xfffffff0097674f4: e00313aa  mov	x0, x19
0xfffffff0097674f8: 010080d2  mov	x1, #0
0xfffffff0097674fc: f10309aa  mov	x17, x9
0xfffffff009767500: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009767504: 11093fd7  blraa	x8, x17
0xfffffff009767508: f70300aa  mov	x23, x0
0xfffffff00976750c: e00313aa  mov	x0, x19
0xfffffff009767510: 5305fd97  bl	#0xfffffff0096a8a5c
0xfffffff009767514: 34f1fed0  adrp	x20, #0xfffffff00758d000
0xfffffff009767518: 94c63491  add	x20, x20, #0xd31
0xfffffff00976751c: 38f1fed0  adrp	x24, #0xfffffff00758d000
0xfffffff009767520: 18cb3491  add	x24, x24, #0xd32
0xfffffff009767524: 1f0000f1  cmp	x0, #0
0xfffffff009767528: 1903949a  csel	x25, x24, x20, eq
0xfffffff00976752c: e00313aa  mov	x0, x19
0xfffffff009767530: 4b05fd97  bl	#0xfffffff0096a8a5c
