; Candidate 10833
; ADRP+ADD at VM 0xfffffff008de8c04 (fileoff 0x1de4c04): page=0x1fe5dc000 add_imm=0xe15

0xfffffff008de8b84: 4a553291  add	x10, x10, #0xc95
0xfffffff008de8b88: 2b000014  b	#0xfffffff008de8c34
0xfffffff008de8b8c: a84f8052  mov	w8, #0x27d
0xfffffff008de8b90: c92effd0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de8b94: 29e92e91  add	x9, x9, #0xbba
0xfffffff008de8b98: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de8b9c: e82eff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de8ba0: 08493991  add	x8, x8, #0xe52
0xfffffff008de8ba4: ca2effd0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de8ba8: 4aad3291  add	x10, x10, #0xcab
0xfffffff008de8bac: 22000014  b	#0xfffffff008de8c34
0xfffffff008de8bb0: c84f8052  mov	w8, #0x27e
0xfffffff008de8bb4: c92effd0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de8bb8: 29e92e91  add	x9, x9, #0xbba
0xfffffff008de8bbc: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de8bc0: e82eff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de8bc4: 08493991  add	x8, x8, #0xe52
0xfffffff008de8bc8: ca2effd0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de8bcc: 4a713091  add	x10, x10, #0xc1c
0xfffffff008de8bd0: 19000014  b	#0xfffffff008de8c34
0xfffffff008de8bd4: f90300aa  mov	x25, x0
0xfffffff008de8bd8: 287f4093  sxtw	x8, w25
0xfffffff008de8bdc: 49508052  mov	w9, #0x282
0xfffffff008de8be0: ca2effd0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de8be4: 4ae92e91  add	x10, x10, #0xbba
0xfffffff008de8be8: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008de8bec: e92eff90  adrp	x9, #0xfffffff0073c4000
0xfffffff008de8bf0: 29493991  add	x9, x9, #0xe52
0xfffffff008de8bf4: eb2eff90  adrp	x11, #0xfffffff0073c4000
0xfffffff008de8bf8: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de8bfc: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008de8c00: eb0300f9  str	x11, [sp]
0xfffffff008de8c04: e02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de8c08: 00543891  add	x0, x0, #0xe15
0xfffffff008de8c0c: 05b9d597  bl	#0xfffffff008357020
0xfffffff008de8c10: bcffff17  b	#0xfffffff008de8b00
0xfffffff008de8c14: 68508052  mov	w8, #0x283
0xfffffff008de8c18: c92effd0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de8c1c: 29e92e91  add	x9, x9, #0xbba
0xfffffff008de8c20: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de8c24: e82eff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de8c28: 08493991  add	x8, x8, #0xe52
0xfffffff008de8c2c: ca2effd0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de8c30: 4ad53291  add	x10, x10, #0xcb5
0xfffffff008de8c34: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008de8c38: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008de8c3c: e02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de8c40: 00543891  add	x0, x0, #0xe15
0xfffffff008de8c44: f7b8d597  bl	#0xfffffff008357020
0xfffffff008de8c48: 59008012  mov	w25, #-3
0xfffffff008de8c4c: adffff17  b	#0xfffffff008de8b00
0xfffffff008de8c50: 287f4093  sxtw	x8, w25
0xfffffff008de8c54: a9548052  mov	w9, #0x2a5
0xfffffff008de8c58: ca2effd0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de8c5c: 4ae92e91  add	x10, x10, #0xbba
0xfffffff008de8c60: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008de8c64: e92eff90  adrp	x9, #0xfffffff0073c4000
0xfffffff008de8c68: 29493991  add	x9, x9, #0xe52
0xfffffff008de8c6c: eb2eff90  adrp	x11, #0xfffffff0073c4000
0xfffffff008de8c70: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de8c74: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008de8c78: eb0300f9  str	x11, [sp]
0xfffffff008de8c7c: e02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de8c80: 00543891  add	x0, x0, #0xe15
