; Candidate 9023
; ADRP+ADD at VM 0xfffffff00898c840 (fileoff 0x1988840): page=0x1fe8f7000 add_imm=0xd6f

0xfffffff00898c7c0: 4a993691  add	x10, x10, #0xda6
0xfffffff00898c7c4: a447fff0  adrp	x4, #0xfffffff007283000
0xfffffff00898c7c8: 84bc3591  add	x4, x4, #0xd6f
0xfffffff00898c7cc: e02b00a9  stp	x0, x10, [sp]
0xfffffff00898c7d0: e00316aa  mov	x0, x22
0xfffffff00898c7d4: 41008052  mov	w1, #2
0xfffffff00898c7d8: e20317aa  mov	x2, x23
0xfffffff00898c7dc: 03008052  mov	w3, #0
0xfffffff00898c7e0: f10308aa  mov	x17, x8
0xfffffff00898c7e4: 312ae3f2  movk	x17, #0x1951, lsl #48
0xfffffff00898c7e8: 31093fd7  blraa	x9, x17
0xfffffff00898c7ec: 18000014  b	#0xfffffff00898c84c
0xfffffff00898c7f0: 68324239  ldrb	w8, [x19, #0x8c]
0xfffffff00898c7f4: c8020034  cbz	w8, #0xfffffff00898c84c
0xfffffff00898c7f8: 700240f9  ldr	x16, [x19]
0xfffffff00898c7fc: f10313aa  mov	x17, x19
0xfffffff00898c800: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00898c804: 301ac1da  autda	x16, x17
0xfffffff00898c808: 113d80d2  mov	x17, #0x1e8
0xfffffff00898c80c: 1002118b  add	x16, x16, x17
0xfffffff00898c810: 080240f9  ldr	x8, [x16]
0xfffffff00898c814: e90310aa  mov	x9, x16
0xfffffff00898c818: e00313aa  mov	x0, x19
0xfffffff00898c81c: 010080d2  mov	x1, #0
0xfffffff00898c820: f10309aa  mov	x17, x9
0xfffffff00898c824: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00898c828: 11093fd7  blraa	x8, x17
0xfffffff00898c82c: e803142a  mov	w8, w20
0xfffffff00898c830: a947fff0  adrp	x9, #0xfffffff007283000
0xfffffff00898c834: 29993691  add	x9, x9, #0xda6
0xfffffff00898c838: f52301a9  stp	x21, x8, [sp, #0x10]
0xfffffff00898c83c: e02700a9  stp	x0, x9, [sp]
0xfffffff00898c840: a047fff0  adrp	x0, #0xfffffff007283000
0xfffffff00898c844: 00bc3591  add	x0, x0, #0xd6f
0xfffffff00898c848: f629e797  bl	#0xfffffff008357020
0xfffffff00898c84c: 686240f9  ldr	x8, [x19, #0xc0]
0xfffffff00898c850: 1f0115eb  cmp	x8, x21
0xfffffff00898c854: 01020054  b.ne	#0xfffffff00898c894
0xfffffff00898c858: 748e0c38  strb	w20, [x19, #0xc8]!
0xfffffff00898c85c: 60025ef8  ldur	x0, [x19, #-0x20]
0xfffffff00898c860: 100040f9  ldr	x16, [x0]
0xfffffff00898c864: f10300aa  mov	x17, x0
0xfffffff00898c868: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00898c86c: 301ac1da  autda	x16, x17
0xfffffff00898c870: 112180d2  mov	x17, #0x108
0xfffffff00898c874: 1002118b  add	x16, x16, x17
0xfffffff00898c878: 080240f9  ldr	x8, [x16]
0xfffffff00898c87c: e90310aa  mov	x9, x16
0xfffffff00898c880: e10313aa  mov	x1, x19
0xfffffff00898c884: 02008052  mov	w2, #0
0xfffffff00898c888: f10309aa  mov	x17, x9
0xfffffff00898c88c: 916dfef2  movk	x17, #0xf36c, lsl #48
0xfffffff00898c890: 11093fd7  blraa	x8, x17
0xfffffff00898c894: 00008052  mov	w0, #0
0xfffffff00898c898: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00898c89c: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00898c8a0: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00898c8a4: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff00898c8a8: ff830191  add	sp, sp, #0x60
0xfffffff00898c8ac: ff0f5fd6  retab	
0xfffffff00898c8b0: 7f2303d5  pacibsp	
0xfffffff00898c8b4: ff8301d1  sub	sp, sp, #0x60
0xfffffff00898c8b8: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff00898c8bc: f65703a9  stp	x22, x21, [sp, #0x30]
