; Candidate 7158
; ADRP+ADD at VM 0xfffffff00885bc34 (fileoff 0x1857c34): page=0x1fe98e000 add_imm=0xe80

0xfffffff00885bbb4: fd7b50a9  ldp	x29, x30, [sp, #0x100]
0xfffffff00885bbb8: f44f4fa9  ldp	x20, x19, [sp, #0xf0]
0xfffffff00885bbbc: f6574ea9  ldp	x22, x21, [sp, #0xe0]
0xfffffff00885bbc0: f85f4da9  ldp	x24, x23, [sp, #0xd0]
0xfffffff00885bbc4: fa674ca9  ldp	x26, x25, [sp, #0xc0]
0xfffffff00885bbc8: fc6f4ba9  ldp	x28, x27, [sp, #0xb0]
0xfffffff00885bbcc: ff430491  add	sp, sp, #0x110
0xfffffff00885bbd0: ff0f5fd6  retab	
0xfffffff00885bbd4: 76610194  bl	#0xfffffff0088b41ac
0xfffffff00885bbd8: f70300aa  mov	x23, x0
0xfffffff00885bbdc: 80008052  mov	w0, #4
0xfffffff00885bbe0: 1c7f0094  bl	#0xfffffff00887b850
0xfffffff00885bbe4: e80316aa  mov	x8, x22
0xfffffff00885bbe8: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff00885bbec: 4ac740b9  ldr	w10, [x26, #0xc4]
0xfffffff00885bbf0: 8b1a40b9  ldr	w11, [x20, #0x18]
0xfffffff00885bbf4: eb2305a9  stp	x11, x8, [sp, #0x50]
0xfffffff00885bbf8: e92b04a9  stp	x9, x10, [sp, #0x40]
0xfffffff00885bbfc: a84dffb0  adrp	x8, #0xfffffff007210000
0xfffffff00885bc00: 08b92791  add	x8, x8, #0x9ee
0xfffffff00885bc04: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00885bc08: 28878152  mov	w8, #0xc39
0xfffffff00885bc0c: 494eff90  adrp	x9, #0xfffffff007223000
0xfffffff00885bc10: 29312891  add	x9, x9, #0xa0c
0xfffffff00885bc14: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00885bc18: 684eff90  adrp	x8, #0xfffffff007227000
0xfffffff00885bc1c: 08811191  add	x8, x8, #0x460
0xfffffff00885bc20: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00885bc24: 880c8052  mov	w8, #0x64
0xfffffff00885bc28: c34fffb0  adrp	x3, #0xfffffff007254000
0xfffffff00885bc2c: 63843b91  add	x3, x3, #0xee1
0xfffffff00885bc30: f72300a9  stp	x23, x8, [sp]
0xfffffff00885bc34: 604cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00885bc38: 00003a91  add	x0, x0, #0xe80
0xfffffff00885bc3c: 618dffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00885bc40: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00885bc44: 02008052  mov	w2, #0
0xfffffff00885bc48: 3a5deb97  bl	#0xfffffff008333130
0xfffffff00885bc4c: a5ffff17  b	#0xfffffff00885bae0
0xfffffff00885bc50: 7f2303d5  pacibsp	
0xfffffff00885bc54: ff0304d1  sub	sp, sp, #0x100
0xfffffff00885bc58: fa670ba9  stp	x26, x25, [sp, #0xb0]
0xfffffff00885bc5c: f85f0ca9  stp	x24, x23, [sp, #0xc0]
0xfffffff00885bc60: f6570da9  stp	x22, x21, [sp, #0xd0]
0xfffffff00885bc64: f44f0ea9  stp	x20, x19, [sp, #0xe0]
0xfffffff00885bc68: fd7b0fa9  stp	x29, x30, [sp, #0xf0]
0xfffffff00885bc6c: fdc30391  add	x29, sp, #0xf0
0xfffffff00885bc70: f50302aa  mov	x21, x2
0xfffffff00885bc74: f40301aa  mov	x20, x1
0xfffffff00885bc78: f30300aa  mov	x19, x0
0xfffffff00885bc7c: bf831bf8  stur	xzr, [x29, #-0x48]
0xfffffff00885bc80: 800c8052  mov	w0, #0x64
0xfffffff00885bc84: 01018052  mov	w1, #8
0xfffffff00885bc88: d27e0094  bl	#0xfffffff00887b7d0
0xfffffff00885bc8c: e0020034  cbz	w0, #0xfffffff00885bce8
0xfffffff00885bc90: 800c8052  mov	w0, #0x64
0xfffffff00885bc94: e17e0094  bl	#0xfffffff00887b818
0xfffffff00885bc98: f70300aa  mov	x23, x0
0xfffffff00885bc9c: 44610194  bl	#0xfffffff0088b41ac
0xfffffff00885bca0: f60300aa  mov	x22, x0
0xfffffff00885bca4: 00018052  mov	w0, #8
0xfffffff00885bca8: ea7e0094  bl	#0xfffffff00887b850
0xfffffff00885bcac: 37020034  cbz	w23, #0xfffffff00885bcf0
0xfffffff00885bcb0: 684240b9  ldr	w8, [x19, #0x40]
