; Candidate 1498
; ADRP+ADD at VM 0xfffffff008449244 (fileoff 0x1445244): page=0x1fec5e000 add_imm=0xcf3

0xfffffff0084491c4: 0f000014  b	#0xfffffff008449200
0xfffffff0084491c8: a8124039  ldrb	w8, [x21, #4]
0xfffffff0084491cc: a9164039  ldrb	w9, [x21, #5]
0xfffffff0084491d0: aa1a4039  ldrb	w10, [x21, #6]
0xfffffff0084491d4: ab1e4039  ldrb	w11, [x21, #7]
0xfffffff0084491d8: ac224039  ldrb	w12, [x21, #8]
0xfffffff0084491dc: ad0240b9  ldr	w13, [x21]
0xfffffff0084491e0: ebb302a9  stp	x11, x12, [sp, #0x28]
0xfffffff0084491e4: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff0084491e8: eda300a9  stp	x13, x8, [sp, #8]
0xfffffff0084491ec: e862ffd0  adrp	x8, #0xfffffff0070a7000
0xfffffff0084491f0: 08013391  add	x8, x8, #0xcc0
0xfffffff0084491f4: e00300f9  str	x0, [sp]
0xfffffff0084491f8: e00308aa  mov	x0, x8
0xfffffff0084491fc: 8937fc97  bl	#0xfffffff008357020
0xfffffff008449200: 68a242b9  ldr	w8, [x19, #0x2a0]
0xfffffff008449204: 1f01176b  cmp	w8, w23
0xfffffff008449208: 40020054  b.eq	#0xfffffff008449250
0xfffffff00844920c: 89eb00d0  adrp	x9, #0xfffffff00a1bb000
0xfffffff008449210: 29894c39  ldrb	w9, [x9, #0x322]
0xfffffff008449214: 69010837  tbnz	w9, #1, #0xfffffff008449240
0xfffffff008449218: e80300f9  str	x8, [sp]
0xfffffff00844921c: 005efff0  adrp	x0, #0xfffffff00700c000
0xfffffff008449220: 00000091  add	x0, x0, #0
0xfffffff008449224: 81ee00b0  adrp	x1, #0xfffffff00a21a000
0xfffffff008449228: 21502f91  add	x1, x1, #0xbd4
0xfffffff00844922c: 0364ffd0  adrp	x3, #0xfffffff0070cb000
0xfffffff008449230: 63f03491  add	x3, x3, #0xd3c
0xfffffff008449234: 02008052  mov	w2, #0
0xfffffff008449238: bea7fb97  bl	#0xfffffff008333130
0xfffffff00844923c: 05000014  b	#0xfffffff008449250
0xfffffff008449240: e80300f9  str	x8, [sp]
0xfffffff008449244: e062ffd0  adrp	x0, #0xfffffff0070a7000
0xfffffff008449248: 00cc3391  add	x0, x0, #0xcf3
0xfffffff00844924c: 7537fc97  bl	#0xfffffff008357020
0xfffffff008449250: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff008449254: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff008449258: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff00844925c: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff008449260: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff008449264: fc6f44a9  ldp	x28, x27, [sp, #0x40]
0xfffffff008449268: ff830291  add	sp, sp, #0xa0
0xfffffff00844926c: ff0f5fd6  retab	
0xfffffff008449270: 7f2303d5  pacibsp	
0xfffffff008449274: ff4301d1  sub	sp, sp, #0x50
0xfffffff008449278: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff00844927c: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff008449280: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008449284: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008449288: fd030191  add	x29, sp, #0x40
0xfffffff00844928c: f40301aa  mov	x20, x1
0xfffffff008449290: f30300aa  mov	x19, x0
0xfffffff008449294: 88eb00d0  adrp	x8, #0xfffffff00a1bb000
0xfffffff008449298: 179141f9  ldr	x23, [x8, #0x320]
0xfffffff00844929c: 08a04139  ldrb	w8, [x0, #0x68]
0xfffffff0084492a0: a8020034  cbz	w8, #0xfffffff0084492f4
0xfffffff0084492a4: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0084492a8: 105941b9  ldr	w16, [x8, #0x158]
0xfffffff0084492ac: 1f120071  cmp	w16, #4
0xfffffff0084492b0: 88020054  b.hi	#0xfffffff008449300
0xfffffff0084492b4: e862ffb0  adrp	x8, #0xfffffff0070a6000
0xfffffff0084492b8: 08b12791  add	x8, x8, #0x9ec
0xfffffff0084492bc: f562ffb0  adrp	x21, #0xfffffff0070a6000
0xfffffff0084492c0: b58a2791  add	x21, x21, #0x9e2
