; Candidate 13004
; ADRP+ADD at VM 0xfffffff0091b1cdc (fileoff 0x21adcdc): page=0x1165000 add_imm=0xe90

0xfffffff0091b1c5c: e50316aa  mov	x5, x22
0xfffffff0091b1c60: 26008052  mov	w6, #1
0xfffffff0091b1c64: f3b1ff97  bl	#0xfffffff00919e430
0xfffffff0091b1c68: e00316aa  mov	x0, x22
0xfffffff0091b1c6c: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0091b1c70: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0091b1c74: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff0091b1c78: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff0091b1c7c: ff0f5fd6  retab	
0xfffffff0091b1c80: 16008052  mov	w22, #0
0xfffffff0091b1c84: d4ffff17  b	#0xfffffff0091b1bd4
0xfffffff0091b1c88: 5f2403d5  bti	c
0xfffffff0091b1c8c: 3f0c0071  cmp	w1, #3
0xfffffff0091b1c90: c8000054  b.hi	#0xfffffff0091b1ca8
0xfffffff0091b1c94: 284effd0  adrp	x8, #0xfffffff007b77000
0xfffffff0091b1c98: 08c11791  add	x8, x8, #0x5f0
0xfffffff0091b1c9c: 09038052  mov	w9, #0x18
0xfffffff0091b1ca0: 2320a99b  umaddl	x3, w1, w9, x8
0xfffffff0091b1ca4: 046c40f9  ldr	x4, [x0, #0xd8]
0xfffffff0091b1ca8: c84dffd0  adrp	x8, #0xfffffff007b6b000
0xfffffff0091b1cac: 08c140f9  ldr	x8, [x8, #0x180]
0xfffffff0091b1cb0: 06411591  add	x6, x8, #0x550
0xfffffff0091b1cb4: 10a942f9  ldr	x16, [x8, #0x550]
0xfffffff0091b1cb8: e50300aa  mov	x5, x0
0xfffffff0091b1cbc: f10306aa  mov	x17, x6
0xfffffff0091b1cc0: 516af6f2  movk	x17, #0xb352, lsl #48
0xfffffff0091b1cc4: 110a1fd7  braa	x16, x17
0xfffffff0091b1cc8: 5f2403d5  bti	c
0xfffffff0091b1ccc: 8acac417  b	#0xfffffff0082e46f4
0xfffffff0091b1cd0: 7f2303d5  pacibsp	
0xfffffff0091b1cd4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0091b1cd8: fd030091  mov	x29, sp
0xfffffff0091b1cdc: 208b00b0  adrp	x0, #0xfffffff00a316000
0xfffffff0091b1ce0: 00403a91  add	x0, x0, #0xe90
0xfffffff0091b1ce4: 2117fff0  adrp	x1, #0xfffffff007498000
0xfffffff0091b1ce8: 21201d91  add	x1, x1, #0x748
0xfffffff0091b1cec: c24dffd0  adrp	x2, #0xfffffff007b6b000
0xfffffff0091b1cf0: 425440f9  ldr	x2, [x2, #0xa8]
0xfffffff0091b1cf4: 031f8052  mov	w3, #0xf8
0xfffffff0091b1cf8: 90c7c497  bl	#0xfffffff0082e3b38
0xfffffff0091b1cfc: 304effd0  adrp	x16, #0xfffffff007b77000
0xfffffff0091b1d00: 10a21591  add	x16, x16, #0x568
0xfffffff0091b1d04: 10420091  add	x16, x16, #0x10
0xfffffff0091b1d08: f10300aa  mov	x17, x0
0xfffffff0091b1d0c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091b1d10: 300ac1da  pacda	x16, x17
0xfffffff0091b1d14: 100000f9  str	x16, [x0]
0xfffffff0091b1d18: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0091b1d1c: ff0f5fd6  retab	
0xfffffff0091b1d20: 5f2403d5  bti	c
0xfffffff0091b1d24: 208b00b0  adrp	x0, #0xfffffff00a316000
0xfffffff0091b1d28: 00403a91  add	x0, x0, #0xe90
0xfffffff0091b1d2c: 72cac417  b	#0xfffffff0082e46f4
0xfffffff0091b1d30: 7f2303d5  pacibsp	
0xfffffff0091b1d34: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0091b1d38: fd030091  mov	x29, sp
0xfffffff0091b1d3c: 2117fff0  adrp	x1, #0xfffffff007498000
0xfffffff0091b1d40: 21b02091  add	x1, x1, #0x82c
0xfffffff0091b1d44: c24dffd0  adrp	x2, #0xfffffff007b6b000
0xfffffff0091b1d48: 42a440f9  ldr	x2, [x2, #0x148]
0xfffffff0091b1d4c: 03038052  mov	w3, #0x18
0xfffffff0091b1d50: 7ac7c497  bl	#0xfffffff0082e3b38
0xfffffff0091b1d54: 304effd0  adrp	x16, #0xfffffff007b77000
0xfffffff0091b1d58: 10c21b91  add	x16, x16, #0x6f0
