; Candidate 12583
; ADRP+ADD at VM 0xfffffff0090c131c (fileoff 0x20bd31c): page=0x1fe398000 add_imm=0xe24

0xfffffff0090c129c: 5c1dff90  adrp	x28, #0xfffffff007469000
0xfffffff0090c12a0: 9c8f1591  add	x28, x28, #0x563
0xfffffff0090c12a4: 34020034  cbz	w20, #0xfffffff0090c12e8
0xfffffff0090c12a8: 150200b4  cbz	x21, #0xfffffff0090c12e8
0xfffffff0090c12ac: e01cffb0  adrp	x0, #0xfffffff00745e000
0xfffffff0090c12b0: 00fc2391  add	x0, x0, #0x8ff
0xfffffff0090c12b4: 231dffd0  adrp	x3, #0xfffffff007467000
0xfffffff0090c12b8: 63683f91  add	x3, x3, #0xfda
0xfffffff0090c12bc: 451dff90  adrp	x5, #0xfffffff007469000
0xfffffff0090c12c0: a58c1591  add	x5, x5, #0x563
0xfffffff0090c12c4: e10315aa  mov	x1, x21
0xfffffff0090c12c8: e20313aa  mov	x2, x19
0xfffffff0090c12cc: 24e48052  mov	w4, #0x721
0xfffffff0090c12d0: cf6cff97  bl	#0xfffffff00909c60c
0xfffffff0090c12d4: e00315aa  mov	x0, x21
0xfffffff0090c12d8: e10313aa  mov	x1, x19
0xfffffff0090c12dc: 756cff97  bl	#0xfffffff00909c4b0
0xfffffff0090c12e0: c8088052  mov	w8, #0x46
0xfffffff0090c12e4: 05000014  b	#0xfffffff0090c12f8
0xfffffff0090c12e8: 9f020071  cmp	w20, #0
0xfffffff0090c12ec: c8088052  mov	w8, #0x46
0xfffffff0090c12f0: 49018052  mov	w9, #0xa
0xfffffff0090c12f4: 2801881a  csel	w8, w9, w8, eq
0xfffffff0090c12f8: 49034039  ldrb	w9, [x26]
0xfffffff0090c12fc: 1f01096b  cmp	w8, w9
0xfffffff0090c1300: 43010054  b.lo	#0xfffffff0090c1328
0xfffffff0090c1304: e80314aa  mov	x8, x20
0xfffffff0090c1308: 087d4093  sxtw	x8, w8
0xfffffff0090c130c: e91cff90  adrp	x9, #0xfffffff00745d000
0xfffffff0090c1310: 29413c91  add	x9, x9, #0xf10
0xfffffff0090c1314: e97300a9  stp	x9, x28, [sp]
0xfffffff0090c1318: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090c131c: c01cff90  adrp	x0, #0xfffffff007459000
0xfffffff0090c1320: 00903891  add	x0, x0, #0xe24
0xfffffff0090c1324: 3f57ca97  bl	#0xfffffff008357020
0xfffffff0090c1328: 34150035  cbnz	w20, #0xfffffff0090c15cc
0xfffffff0090c132c: 48018052  mov	w8, #0xa
0xfffffff0090c1330: 49034039  ldrb	w9, [x26]
0xfffffff0090c1334: 1f01096b  cmp	w8, w9
0xfffffff0090c1338: 83010054  b.lo	#0xfffffff0090c1368
0xfffffff0090c133c: e80314aa  mov	x8, x20
0xfffffff0090c1340: 087d4093  sxtw	x8, w8
0xfffffff0090c1344: 491dff90  adrp	x9, #0xfffffff007469000
0xfffffff0090c1348: 29e50d91  add	x9, x9, #0x379
0xfffffff0090c134c: ea1cff90  adrp	x10, #0xfffffff00745d000
0xfffffff0090c1350: 4a413c91  add	x10, x10, #0xf10
0xfffffff0090c1354: ea2700a9  stp	x10, x9, [sp]
0xfffffff0090c1358: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090c135c: c01cff90  adrp	x0, #0xfffffff007459000
0xfffffff0090c1360: 00903891  add	x0, x0, #0xe24
0xfffffff0090c1364: 2f57ca97  bl	#0xfffffff008357020
0xfffffff0090c1368: e00314aa  mov	x0, x20
0xfffffff0090c136c: fd7b4ca9  ldp	x29, x30, [sp, #0xc0]
0xfffffff0090c1370: f44f4ba9  ldp	x20, x19, [sp, #0xb0]
0xfffffff0090c1374: f6574aa9  ldp	x22, x21, [sp, #0xa0]
0xfffffff0090c1378: f85f49a9  ldp	x24, x23, [sp, #0x90]
0xfffffff0090c137c: fa6748a9  ldp	x26, x25, [sp, #0x80]
0xfffffff0090c1380: fc6f47a9  ldp	x28, x27, [sp, #0x70]
0xfffffff0090c1384: ff430391  add	sp, sp, #0xd0
0xfffffff0090c1388: ff0f5fd6  retab	
0xfffffff0090c138c: 88eb8052  mov	w8, #0x75c
0xfffffff0090c1390: 291dffd0  adrp	x9, #0xfffffff007467000
0xfffffff0090c1394: 29693f91  add	x9, x9, #0xfda
0xfffffff0090c1398: e81300f9  str	x8, [sp, #0x20]
