; Candidate 937
; ADRP+ADD at VM 0xfffffff00810d2d0 (fileoff 0x11092d0): page=0x1fef6d000 add_imm=0xdd3

0xfffffff00810d250: 1901188b  add	x25, x8, x24
0xfffffff00810d254: 28108052  mov	w8, #0x81
0xfffffff00810d258: 28030079  strh	w8, [x25]
0xfffffff00810d25c: e80701f0  adrp	x8, #0xfffffff00a20c000
0xfffffff00810d260: 08c13891  add	x8, x8, #0xe30
0xfffffff00810d264: 090d42f9  ldr	x9, [x8, #0x418]
0xfffffff00810d268: 29050091  add	x9, x9, #1
0xfffffff00810d26c: 090d02f9  str	x9, [x8, #0x418]
0xfffffff00810d270: 090140f9  ldr	x9, [x8]
0xfffffff00810d274: 29050091  add	x9, x9, #1
0xfffffff00810d278: 090100f9  str	x9, [x8]
0xfffffff00810d27c: a17e4093  sxtw	x1, w21
0xfffffff00810d280: e00316aa  mov	x0, x22
0xfffffff00810d284: 27f8ff97  bl	#0xfffffff00810b320
0xfffffff00810d288: 79feff17  b	#0xfffffff00810cc6c
0xfffffff00810d28c: e0031baa  mov	x0, x27
0xfffffff00810d290: e1031caa  mov	x1, x28
0xfffffff00810d294: 347df297  bl	#0xfffffff007dac764
0xfffffff00810d298: c0fcff17  b	#0xfffffff00810c598
0xfffffff00810d29c: e07bffb0  adrp	x0, #0xfffffff00708a000
0xfffffff00810d2a0: 00cc1d91  add	x0, x0, #0x773
0xfffffff00810d2a4: 617bffd0  adrp	x1, #0xfffffff00707b000
0xfffffff00810d2a8: 21ec2a91  add	x1, x1, #0xabb
0xfffffff00810d2ac: a2be8052  mov	w2, #0x5f5
0xfffffff00810d2b0: 59490e94  bl	#0xfffffff00849f814
0xfffffff00810d2b4: 485a8052  mov	w8, #0x2d2
0xfffffff00810d2b8: 697bffb0  adrp	x9, #0xfffffff00707a000
0xfffffff00810d2bc: 292d3791  add	x9, x9, #0xdcb
0xfffffff00810d2c0: 6a7bffb0  adrp	x10, #0xfffffff00707a000
0xfffffff00810d2c4: 4a093891  add	x10, x10, #0xe02
0xfffffff00810d2c8: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff00810d2cc: ea0300f9  str	x10, [sp]
0xfffffff00810d2d0: 607bffb0  adrp	x0, #0xfffffff00707a000
0xfffffff00810d2d4: 004c3791  add	x0, x0, #0xdd3
0xfffffff00810d2d8: 8d1c0e94  bl	#0xfffffff00849450c
0xfffffff00810d2dc: 70010000  udf	#0x170
0xfffffff00810d2e0: e8010000  udf	#0x1e8
0xfffffff00810d2e4: 2c020000  udf	#0x22c
0xfffffff00810d2e8: 64020000  udf	#0x264
0xfffffff00810d2ec: 8c000000  udf	#0x8c
0xfffffff00810d2f0: 8c000000  udf	#0x8c
0xfffffff00810d2f4: 8c000000  udf	#0x8c
0xfffffff00810d2f8: 8c000000  udf	#0x8c
0xfffffff00810d2fc: 8c000000  udf	#0x8c
0xfffffff00810d300: 8c000000  udf	#0x8c
0xfffffff00810d304: 8c000000  udf	#0x8c
0xfffffff00810d308: 8c000000  udf	#0x8c
0xfffffff00810d30c: 8c000000  udf	#0x8c
0xfffffff00810d310: 8c000000  udf	#0x8c
0xfffffff00810d314: 8c000000  udf	#0x8c
0xfffffff00810d318: 8c000000  udf	#0x8c
0xfffffff00810d31c: 8c000000  udf	#0x8c
0xfffffff00810d320: 8c000000  udf	#0x8c
0xfffffff00810d324: 8c000000  udf	#0x8c
0xfffffff00810d328: 8c000000  udf	#0x8c
0xfffffff00810d32c: 8c000000  udf	#0x8c
0xfffffff00810d330: 8c000000  udf	#0x8c
0xfffffff00810d334: 8c000000  udf	#0x8c
0xfffffff00810d338: 8c000000  udf	#0x8c
0xfffffff00810d33c: 8c000000  udf	#0x8c
0xfffffff00810d340: 8c000000  udf	#0x8c
0xfffffff00810d344: 8c000000  udf	#0x8c
0xfffffff00810d348: 8c000000  udf	#0x8c
0xfffffff00810d34c: 8c000000  udf	#0x8c
