; Candidate 14270
; ADRP+ADD at VM 0xfffffff00975c41c (fileoff 0x275841c): page=0xc2f000 add_imm=0xea8

0xfffffff00975c39c: c00100b5  cbnz	x0, #0xfffffff00975c3d4
0xfffffff00975c3a0: 900240f9  ldr	x16, [x20]
0xfffffff00975c3a4: f10314aa  mov	x17, x20
0xfffffff00975c3a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00975c3ac: 301ac1da  autda	x16, x17
0xfffffff00975c3b0: 113d80d2  mov	x17, #0x1e8
0xfffffff00975c3b4: 1002118b  add	x16, x16, x17
0xfffffff00975c3b8: 080240f9  ldr	x8, [x16]
0xfffffff00975c3bc: e90310aa  mov	x9, x16
0xfffffff00975c3c0: e00314aa  mov	x0, x20
0xfffffff00975c3c4: 010080d2  mov	x1, #0
0xfffffff00975c3c8: f10309aa  mov	x17, x9
0xfffffff00975c3cc: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00975c3d0: 11093fd7  blraa	x8, x17
0xfffffff00975c3d4: e00314aa  mov	x0, x20
0xfffffff00975c3d8: a131fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975c3dc: e00314aa  mov	x0, x20
0xfffffff00975c3e0: 9f31fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975c3e4: c00100b5  cbnz	x0, #0xfffffff00975c41c
0xfffffff00975c3e8: 900240f9  ldr	x16, [x20]
0xfffffff00975c3ec: f10314aa  mov	x17, x20
0xfffffff00975c3f0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00975c3f4: 301ac1da  autda	x16, x17
0xfffffff00975c3f8: 114380d2  mov	x17, #0x218
0xfffffff00975c3fc: 1002118b  add	x16, x16, x17
0xfffffff00975c400: 080240f9  ldr	x8, [x16]
0xfffffff00975c404: e90310aa  mov	x9, x16
0xfffffff00975c408: e00314aa  mov	x0, x20
0xfffffff00975c40c: 010080d2  mov	x1, #0
0xfffffff00975c410: f10309aa  mov	x17, x9
0xfffffff00975c414: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff00975c418: 11093fd7  blraa	x8, x17
0xfffffff00975c41c: 606100f0  adrp	x0, #0xfffffff00a38b000
0xfffffff00975c420: 00a03a91  add	x0, x0, #0xea8
0xfffffff00975c424: 4d21ae97  bl	#0xfffffff0082e4958
0xfffffff00975c428: f60300aa  mov	x22, x0
0xfffffff00975c42c: e00314aa  mov	x0, x20
0xfffffff00975c430: 8b31fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975c434: f70300aa  mov	x23, x0
0xfffffff00975c438: e00100b5  cbnz	x0, #0xfffffff00975c474
0xfffffff00975c43c: 900240f9  ldr	x16, [x20]
0xfffffff00975c440: f10314aa  mov	x17, x20
0xfffffff00975c444: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00975c448: 301ac1da  autda	x16, x17
0xfffffff00975c44c: 113d80d2  mov	x17, #0x1e8
0xfffffff00975c450: 1002118b  add	x16, x16, x17
0xfffffff00975c454: 080240f9  ldr	x8, [x16]
0xfffffff00975c458: e90310aa  mov	x9, x16
0xfffffff00975c45c: e00314aa  mov	x0, x20
0xfffffff00975c460: 010080d2  mov	x1, #0
0xfffffff00975c464: f10309aa  mov	x17, x9
0xfffffff00975c468: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00975c46c: 11093fd7  blraa	x8, x17
0xfffffff00975c470: f70300aa  mov	x23, x0
0xfffffff00975c474: e00314aa  mov	x0, x20
0xfffffff00975c478: 7931fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975c47c: 98f1feb0  adrp	x24, #0xfffffff00758d000
0xfffffff00975c480: 18c73491  add	x24, x24, #0xd31
0xfffffff00975c484: 88f1feb0  adrp	x8, #0xfffffff00758d000
0xfffffff00975c488: 08c93491  add	x8, x8, #0xd32
0xfffffff00975c48c: 1f0000f1  cmp	x0, #0
0xfffffff00975c490: 1901989a  csel	x25, x8, x24, eq
0xfffffff00975c494: e00314aa  mov	x0, x20
0xfffffff00975c498: 7131fd97  bl	#0xfffffff0096a8a5c
