; Candidate 15178
; ADRP+ADD at VM 0xfffffff009b0f9ec (fileoff 0x2b0b9ec): page=0x1fdb0b000 add_imm=0xe2e

0xfffffff009b0f96c: e01f8052  mov	w0, #0xff
0xfffffff009b0f970: e10313aa  mov	x1, x19
0xfffffff009b0f974: 08b6a297  bl	#0xfffffff0083bd194
0xfffffff009b0f978: 609e00f9  str	x0, [x19, #0x138]
0xfffffff009b0f97c: 400500b4  cbz	x0, #0xfffffff009b0fa24
0xfffffff009b0f980: c80dffd0  adrp	x8, #0xfffffff007cc9000
0xfffffff009b0f984: 08c12691  add	x8, x8, #0x9b0
0xfffffff009b0f988: 09211791  add	x9, x8, #0x5c8
0xfffffff009b0f98c: 08e542f9  ldr	x8, [x8, #0x5c8]
0xfffffff009b0f990: e00313aa  mov	x0, x19
0xfffffff009b0f994: e10314aa  mov	x1, x20
0xfffffff009b0f998: 02008052  mov	w2, #0
0xfffffff009b0f99c: f10309aa  mov	x17, x9
0xfffffff009b0f9a0: b12ee9f2  movk	x17, #0x4975, lsl #48
0xfffffff009b0f9a4: 11093fd7  blraa	x8, x17
0xfffffff009b0f9a8: f40300aa  mov	x20, x0
0xfffffff009b0f9ac: 60d8fed0  adrp	x0, #0xfffffff00761d000
0xfffffff009b0f9b0: 00041191  add	x0, x0, #0x441
0xfffffff009b0f9b4: 604600f9  str	x0, [x19, #0x88]
0xfffffff009b0f9b8: 8a5da097  bl	#0xfffffff008326fe0
0xfffffff009b0f9bc: 604a00f9  str	x0, [x19, #0x90]
0xfffffff009b0f9c0: 600100b4  cbz	x0, #0xfffffff009b0f9ec
0xfffffff009b0f9c4: 100040f9  ldr	x16, [x0]
0xfffffff009b0f9c8: f10300aa  mov	x17, x0
0xfffffff009b0f9cc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b0f9d0: 301ac1da  autda	x16, x17
0xfffffff009b0f9d4: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff009b0f9d8: e90310aa  mov	x9, x16
0xfffffff009b0f9dc: f10309aa  mov	x17, x9
0xfffffff009b0f9e0: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff009b0f9e4: 11093fd7  blraa	x8, x17
0xfffffff009b0f9e8: 604600f9  str	x0, [x19, #0x88]
0xfffffff009b0f9ec: 40d8fef0  adrp	x0, #0xfffffff00761a000
0xfffffff009b0f9f0: 00b83891  add	x0, x0, #0xe2e
0xfffffff009b0f9f4: a15300d1  sub	x1, x29, #0x14
0xfffffff009b0f9f8: 82008052  mov	w2, #4
0xfffffff009b0f9fc: 6f75a597  bl	#0xfffffff00846cfb8
0xfffffff009b0fa00: 40040034  cbz	w0, #0xfffffff009b0fa88
0xfffffff009b0fa04: a8c35eb8  ldur	w8, [x29, #-0x14]
0xfffffff009b0fa08: 09210853  ubfx	w9, w8, #8, #1
0xfffffff009b0fa0c: 69a20539  strb	w9, [x19, #0x168]
0xfffffff009b0fa10: 09250953  ubfx	w9, w8, #9, #1
0xfffffff009b0fa14: 69a60539  strb	w9, [x19, #0x169]
0xfffffff009b0fa18: 08290a53  ubfx	w8, w8, #0xa, #1
0xfffffff009b0fa1c: 68aa0539  strb	w8, [x19, #0x16a]
0xfffffff009b0fa20: 1c000014  b	#0xfffffff009b0fa90
0xfffffff009b0fa24: 4a078052  mov	w10, #0x3a
0xfffffff009b0fa28: 68d8fed0  adrp	x8, #0xfffffff00761d000
0xfffffff009b0fa2c: 08790f91  add	x8, x8, #0x3de
0xfffffff009b0fa30: 49d8fef0  adrp	x9, #0xfffffff00761a000
0xfffffff009b0fa34: 29813691  add	x9, x9, #0xda0
0xfffffff009b0fa38: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff009b0fa3c: e90300f9  str	x9, [sp]
0xfffffff009b0fa40: 53d8fed0  adrp	x19, #0xfffffff007619000
0xfffffff009b0fa44: 73022f91  add	x19, x19, #0xbc0
0xfffffff009b0fa48: d40dff90  adrp	x20, #0xfffffff007cc7000
0xfffffff009b0fa4c: 945644f9  ldr	x20, [x20, #0x8a8]
0xfffffff009b0fa50: a3d8fe90  adrp	x3, #0xfffffff007623000
0xfffffff009b0fa54: 63883c91  add	x3, x3, #0xf22
0xfffffff009b0fa58: e00313aa  mov	x0, x19
0xfffffff009b0fa5c: e10314aa  mov	x1, x20
0xfffffff009b0fa60: 02008052  mov	w2, #0
0xfffffff009b0fa64: b38da097  bl	#0xfffffff008333130
0xfffffff009b0fa68: a3d8fe90  adrp	x3, #0xfffffff007623000
