; Candidate 8925
; ADRP+ADD at VM 0xfffffff0088ef1ec (fileoff 0x18eb1ec): page=0x1fe97f000 add_imm=0xd98

0xfffffff0088ef16c: 63040054  b.lo	#0xfffffff0088ef1f8
0xfffffff0088ef170: 2afd60d3  lsr	x10, x9, #0x20
0xfffffff0088ef174: 2a0400b5  cbnz	x10, #0xfffffff0088ef1f8
0xfffffff0088ef178: 3f717df2  tst	x9, #0xfffffff8
0xfffffff0088ef17c: 80030054  b.eq	#0xfffffff0088ef1ec
0xfffffff0088ef180: 3f6d7cf2  tst	x9, #0xfffffff0
0xfffffff0088ef184: 40030054  b.eq	#0xfffffff0088ef1ec
0xfffffff0088ef188: 092100b1  adds	x9, x8, #8
0xfffffff0088ef18c: eb379f1a  cset	w11, hs
0xfffffff0088ef190: 6a014093  sbfx	x10, x11, #0, #1
0xfffffff0088ef194: 4b010bca  eor	x11, x10, x11
0xfffffff0088ef198: 6b0300b5  cbnz	x11, #0xfffffff0088ef204
0xfffffff0088ef19c: 4a03f8b7  tbnz	x10, #0x3f, #0xfffffff0088ef204
0xfffffff0088ef1a0: 010140f9  ldr	x1, [x8]
0xfffffff0088ef1a4: 220140f9  ldr	x2, [x9]
0xfffffff0088ef1a8: 100040f9  ldr	x16, [x0]
0xfffffff0088ef1ac: f10300aa  mov	x17, x0
0xfffffff0088ef1b0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088ef1b4: 301ac1da  autda	x16, x17
0xfffffff0088ef1b8: 11c380d2  mov	x17, #0x618
0xfffffff0088ef1bc: 1002118b  add	x16, x16, x17
0xfffffff0088ef1c0: 080240f9  ldr	x8, [x16]
0xfffffff0088ef1c4: e30310aa  mov	x3, x16
0xfffffff0088ef1c8: f00308aa  mov	x16, x8
0xfffffff0088ef1cc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0088ef1d0: ff2303d5  autibsp	
0xfffffff0088ef1d4: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff0088ef1d8: 5100f0b6  tbz	x17, #0x3e, #0xfffffff0088ef1e0
0xfffffff0088ef1dc: 208e38d4  brk	#0xc471
0xfffffff0088ef1e0: f10303aa  mov	x17, x3
0xfffffff0088ef1e4: b199eaf2  movk	x17, #0x54cd, lsl #48
0xfffffff0088ef1e8: 110a1fd7  braa	x16, x17
0xfffffff0088ef1ec: e04bfff0  adrp	x0, #0xfffffff00726e000
0xfffffff0088ef1f0: 00603691  add	x0, x0, #0xd98
0xfffffff0088ef1f4: 77010094  bl	#0xfffffff0088ef7d0
0xfffffff0088ef1f8: e04bfff0  adrp	x0, #0xfffffff00726e000
0xfffffff0088ef1fc: 00a02f91  add	x0, x0, #0xbe8
0xfffffff0088ef200: 74010094  bl	#0xfffffff0088ef7d0
0xfffffff0088ef204: e04bfff0  adrp	x0, #0xfffffff00726e000
0xfffffff0088ef208: 00d43291  add	x0, x0, #0xcb5
0xfffffff0088ef20c: 71010094  bl	#0xfffffff0088ef7d0
0xfffffff0088ef210: 5f2403d5  bti	c
0xfffffff0088ef214: 411840f9  ldr	x1, [x2, #0x30]
0xfffffff0088ef218: 483840b9  ldr	w8, [x2, #0x38]
0xfffffff0088ef21c: 432440f9  ldr	x3, [x2, #0x48]
0xfffffff0088ef220: 100040f9  ldr	x16, [x0]
0xfffffff0088ef224: f10300aa  mov	x17, x0
0xfffffff0088ef228: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088ef22c: 301ac1da  autda	x16, x17
0xfffffff0088ef230: 11c480d2  mov	x17, #0x620
0xfffffff0088ef234: 1002118b  add	x16, x16, x17
0xfffffff0088ef238: 090240f9  ldr	x9, [x16]
0xfffffff0088ef23c: e40310aa  mov	x4, x16
0xfffffff0088ef240: f00309aa  mov	x16, x9
0xfffffff0088ef244: e20308aa  mov	x2, x8
0xfffffff0088ef248: f10304aa  mov	x17, x4
0xfffffff0088ef24c: d1cde4f2  movk	x17, #0x266e, lsl #48
0xfffffff0088ef250: 110a1fd7  braa	x16, x17
0xfffffff0088ef254: 5f2403d5  bti	c
0xfffffff0088ef258: 483840b9  ldr	w8, [x2, #0x38]
0xfffffff0088ef25c: 1fc10071  cmp	w8, #0x30
0xfffffff0088ef260: c1010054  b.ne	#0xfffffff0088ef298
0xfffffff0088ef264: 411840f9  ldr	x1, [x2, #0x30]
0xfffffff0088ef268: 100040f9  ldr	x16, [x0]
