; Candidate 1335
; ADRP+ADD at VM 0xfffffff008354f14 (fileoff 0x1350f14): page=0x1fed4f000 add_imm=0xd29

0xfffffff008354e94: 002dc33d  ldr	q0, [x8, #0xcb0]
0xfffffff008354e98: c042823c  stur	q0, [x22, #0x24]
0xfffffff008354e9c: 88078052  mov	w8, #0x3c
0xfffffff008354ea0: c80600b9  str	w8, [x22, #4]
0xfffffff008354ea4: c865fff0  adrp	x8, #0xfffffff00700f000
0xfffffff008354ea8: 008941fd  ldr	d0, [x8, #0x310]
0xfffffff008354eac: c0c201fc  stur	d0, [x22, #0x1c]
0xfffffff008354eb0: df4203f8  stur	xzr, [x22, #0x34]
0xfffffff008354eb4: e5ffff17  b	#0xfffffff008354e48
0xfffffff008354eb8: e1c246f8  ldur	x1, [x23, #0x6c]
0xfffffff008354ebc: e34247f8  ldur	x3, [x23, #0x74]
0xfffffff008354ec0: c5f20091  add	x5, x22, #0x3c
0xfffffff008354ec4: c7520191  add	x7, x22, #0x54
0xfffffff008354ec8: e4c247f8  ldur	x4, [x23, #0x7c]
0xfffffff008354ecc: e6330091  add	x6, sp, #0xc
0xfffffff008354ed0: e00314aa  mov	x0, x20
0xfffffff008354ed4: e20315aa  mov	x2, x21
0xfffffff008354ed8: 0b390394  bl	#0xfffffff008423304
0xfffffff008354edc: f30300aa  mov	x19, x0
0xfffffff008354ee0: 40fbff35  cbnz	w0, #0xfffffff008354e48
0xfffffff008354ee4: e865ff90  adrp	x8, #0xfffffff007010000
0xfffffff008354ee8: 0039c33d  ldr	q0, [x8, #0xce0]
0xfffffff008354eec: c042823c  stur	q0, [x22, #0x24]
0xfffffff008354ef0: 884a8052  mov	w8, #0x254
0xfffffff008354ef4: c80600b9  str	w8, [x22, #4]
0xfffffff008354ef8: c865fff0  adrp	x8, #0xfffffff00700f000
0xfffffff008354efc: 008941fd  ldr	d0, [x8, #0x310]
0xfffffff008354f00: c0c201fc  stur	d0, [x22, #0x1c]
0xfffffff008354f04: df4203f8  stur	xzr, [x22, #0x34]
0xfffffff008354f08: e80f40b9  ldr	w8, [sp, #0xc]
0xfffffff008354f0c: c84600b9  str	w8, [x22, #0x44]
0xfffffff008354f10: ceffff17  b	#0xfffffff008354e48
0xfffffff008354f14: 606afff0  adrp	x0, #0xfffffff0070a3000
0xfffffff008354f18: 00a43491  add	x0, x0, #0xd29
0xfffffff008354f1c: 7d39fe97  bl	#0xfffffff0082e3510
0xfffffff008354f20: 200020d4  brk	#1
0xfffffff008354f24: 7f2303d5  pacibsp	
0xfffffff008354f28: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff008354f2c: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008354f30: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008354f34: fd830091  add	x29, sp, #0x20
0xfffffff008354f38: 280040f9  ldr	x8, [x1]
0xfffffff008354f3c: 091d40b9  ldr	w9, [x8, #0x1c]
0xfffffff008354f40: 8ad19652  mov	w10, #0xb68c
0xfffffff008354f44: 4ab4a972  movk	w10, #0x4da2, lsl #16
0xfffffff008354f48: 3f010a6b  cmp	w9, w10
0xfffffff008354f4c: a10a0054  b.ne	#0xfffffff0083550a0
0xfffffff008354f50: 092140b9  ldr	w9, [x8, #0x20]
0xfffffff008354f54: 08910091  add	x8, x8, #0x24
0xfffffff008354f58: 89000034  cbz	w9, #0xfffffff008354f68
0xfffffff008354f5c: 08410091  add	x8, x8, #0x10
0xfffffff008354f60: 29050071  subs	w9, w9, #1
0xfffffff008354f64: c1ffff54  b.ne	#0xfffffff008354f5c
0xfffffff008354f68: f3578052  mov	w19, #0x2bf
0xfffffff008354f6c: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008354f70: 080140f9  ldr	x8, [x8]
0xfffffff008354f74: c9e595d2  mov	x9, #0xaf2e
0xfffffff008354f78: a986b6f2  movk	x9, #0xb435, lsl #16
0xfffffff008354f7c: 6925d5f2  movk	x9, #0xa92b, lsl #32
0xfffffff008354f80: c952fef2  movk	x9, #0xf296, lsl #48
0xfffffff008354f84: 1f0109eb  cmp	x8, x9
0xfffffff008354f88: c1040054  b.ne	#0xfffffff008355020
0xfffffff008354f8c: 360040f9  ldr	x22, [x1]
0xfffffff008354f90: c82240b9  ldr	w8, [x22, #0x20]
