; Candidate 16360
; ADRP+ADD at VM 0xfffffff009e6d960 (fileoff 0x2e69960): page=0x1fd9d2000 add_imm=0xce5

0xfffffff009e6d8e0: ecd340f9  ldr	x12, [sp, #0x1a0]
0xfffffff009e6d8e4: 8b1940f9  ldr	x11, [x12, #0x30]
0xfffffff009e6d8e8: 8c3140f9  ldr	x12, [x12, #0x60]
0xfffffff009e6d8ec: ed2741f9  ldr	x13, [sp, #0x248]
0xfffffff009e6d8f0: ee2b41f9  ldr	x14, [sp, #0x250]
0xfffffff009e6d8f4: edbb03a9  stp	x13, x14, [sp, #0x38]
0xfffffff009e6d8f8: ebb302a9  stp	x11, x12, [sp, #0x28]
0xfffffff009e6d8fc: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff009e6d900: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009e6d904: 98cefed0  adrp	x24, #0xfffffff00783f000
0xfffffff009e6d908: 183f3091  add	x24, x24, #0xc0f
0xfffffff009e6d90c: e85f8352  mov	w8, #0x1aff
0xfffffff009e6d910: 80cefed0  adrp	x0, #0xfffffff00783f000
0xfffffff009e6d914: 00803291  add	x0, x0, #0xca0
0xfffffff009e6d918: f82300a9  stp	x24, x8, [sp]
0xfffffff009e6d91c: c9470094  bl	#0xfffffff009e7f840
0xfffffff009e6d920: 886640f9  ldr	x8, [x20, #0xc8]
0xfffffff009e6d924: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009e6d928: e92f41f9  ldr	x9, [sp, #0x258]
0xfffffff009e6d92c: fa030991  add	x26, sp, #0x240
0xfffffff009e6d930: 4aaf57a9  ldp	x10, x11, [x26, #0x178]
0xfffffff009e6d934: 6a010a8b  add	x10, x11, x10
0xfffffff009e6d938: 4bab40f9  ldr	x11, [x26, #0x150]
0xfffffff009e6d93c: 4a010b8b  add	x10, x10, x11
0xfffffff009e6d940: 4b9f40f9  ldr	x11, [x26, #0x138]
0xfffffff009e6d944: 4a010b8b  add	x10, x10, x11
0xfffffff009e6d948: ea1700f9  str	x10, [sp, #0x28]
0xfffffff009e6d94c: eacf40f9  ldr	x10, [sp, #0x198]
0xfffffff009e6d950: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff009e6d954: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009e6d958: 28608352  mov	w8, #0x1b01
0xfffffff009e6d95c: f82300a9  stp	x24, x8, [sp]
0xfffffff009e6d960: 80cefed0  adrp	x0, #0xfffffff00783f000
0xfffffff009e6d964: 00943391  add	x0, x0, #0xce5
0xfffffff009e6d968: b6470094  bl	#0xfffffff009e7f840
0xfffffff009e6d96c: e8030991  add	x8, sp, #0x240
0xfffffff009e6d970: 0bc10191  add	x11, x8, #0x70
0xfffffff009e6d974: 09c10091  add	x9, x8, #0x30
0xfffffff009e6d978: e9ab00f9  str	x9, [sp, #0x150]
0xfffffff009e6d97c: 09e10091  add	x9, x8, #0x38
0xfffffff009e6d980: e99b00f9  str	x9, [sp, #0x130]
0xfffffff009e6d984: 09010191  add	x9, x8, #0x40
0xfffffff009e6d988: e9b300f9  str	x9, [sp, #0x160]
0xfffffff009e6d98c: 09210191  add	x9, x8, #0x48
0xfffffff009e6d990: e9a300f9  str	x9, [sp, #0x140]
0xfffffff009e6d994: 09e10191  add	x9, x8, #0x78
0xfffffff009e6d998: eba711a9  stp	x11, x9, [sp, #0x118]
0xfffffff009e6d99c: 09410191  add	x9, x8, #0x50
0xfffffff009e6d9a0: e9db00f9  str	x9, [sp, #0x1b0]
0xfffffff009e6d9a4: 18810291  add	x24, x8, #0xa0
0xfffffff009e6d9a8: bc0303d1  sub	x28, x29, #0xc0
0xfffffff009e6d9ac: f89700f9  str	x24, [sp, #0x128]
0xfffffff009e6d9b0: e8fb42b9  ldr	w8, [sp, #0x2f8]
0xfffffff009e6d9b4: e9ff42b9  ldr	w9, [sp, #0x2fc]
0xfffffff009e6d9b8: 0801092a  orr	w8, w8, w9
0xfffffff009e6d9bc: 480f0034  cbz	w8, #0xfffffff009e6dba4
0xfffffff009e6d9c0: e8134c39  ldrb	w8, [sp, #0x304]
0xfffffff009e6d9c4: 7fff0da9  stp	xzr, xzr, [x27, #0xd8]
0xfffffff009e6d9c8: e80b01b9  str	w8, [sp, #0x108]
0xfffffff009e6d9cc: 1f050071  cmp	w8, #1
0xfffffff009e6d9d0: 41010054  b.ne	#0xfffffff009e6d9f8
0xfffffff009e6d9d4: 886240f9  ldr	x8, [x20, #0xc0]
0xfffffff009e6d9d8: 082540b9  ldr	w8, [x8, #0x24]
0xfffffff009e6d9dc: 0801c0da  rbit	x8, x8
