; Candidate 7865
; ADRP+ADD at VM 0xfffffff008884dac (fileoff 0x1880dac): page=0x1fe965000 add_imm=0xe80

0xfffffff008884d2c: a9128052  mov	w9, #0x95
0xfffffff008884d30: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008884d34: 484dffb0  adrp	x8, #0xfffffff00722d000
0xfffffff008884d38: 08bd0f91  add	x8, x8, #0x3ef
0xfffffff008884d3c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008884d40: c80a8052  mov	w8, #0x56
0xfffffff008884d44: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008884d48: f40300f9  str	x20, [sp]
0xfffffff008884d4c: 204bffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008884d50: 00003a91  add	x0, x0, #0xe80
0xfffffff008884d54: 218cff90  adrp	x1, #0xfffffff007a08000
0xfffffff008884d58: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008884d5c: c34eff90  adrp	x3, #0xfffffff00725c000
0xfffffff008884d60: 63580b91  add	x3, x3, #0x2d6
0xfffffff008884d64: 02008052  mov	w2, #0
0xfffffff008884d68: f2b8ea97  bl	#0xfffffff008333130
0xfffffff008884d6c: 347d8012  mov	w20, #-0x3ea
0xfffffff008884d70: 31000014  b	#0xfffffff008884e34
0xfffffff008884d74: 0ebd0094  bl	#0xfffffff0088b41ac
0xfffffff008884d78: f40300aa  mov	x20, x0
0xfffffff008884d7c: 80008052  mov	w0, #4
0xfffffff008884d80: b4daff97  bl	#0xfffffff00887b850
0xfffffff008884d84: f35703a9  stp	x19, x21, [sp, #0x30]
0xfffffff008884d88: 684cff90  adrp	x8, #0xfffffff007210000
0xfffffff008884d8c: 08553791  add	x8, x8, #0xdd5
0xfffffff008884d90: e9138052  mov	w9, #0x9f
0xfffffff008884d94: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008884d98: 484dffb0  adrp	x8, #0xfffffff00722d000
0xfffffff008884d9c: 08bd0f91  add	x8, x8, #0x3ef
0xfffffff008884da0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008884da4: c80a8052  mov	w8, #0x56
0xfffffff008884da8: f42300a9  stp	x20, x8, [sp]
0xfffffff008884dac: 204bffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008884db0: 00003a91  add	x0, x0, #0xe80
0xfffffff008884db4: 218cff90  adrp	x1, #0xfffffff007a08000
0xfffffff008884db8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008884dbc: c34eff90  adrp	x3, #0xfffffff00725c000
0xfffffff008884dc0: 63740d91  add	x3, x3, #0x35d
0xfffffff008884dc4: 02008052  mov	w2, #0
0xfffffff008884dc8: dab8ea97  bl	#0xfffffff008333130
0xfffffff008884dcc: f47c8012  mov	w20, #-0x3e8
0xfffffff008884dd0: 19000014  b	#0xfffffff008884e34
0xfffffff008884dd4: f6bc0094  bl	#0xfffffff0088b41ac
0xfffffff008884dd8: f40300aa  mov	x20, x0
0xfffffff008884ddc: 80008052  mov	w0, #4
0xfffffff008884de0: 9cdaff97  bl	#0xfffffff00887b850
0xfffffff008884de4: c80240f9  ldr	x8, [x22]
0xfffffff008884de8: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff008884dec: 484dffb0  adrp	x8, #0xfffffff00722d000
0xfffffff008884df0: 08411291  add	x8, x8, #0x490
0xfffffff008884df4: 49138052  mov	w9, #0x9a
0xfffffff008884df8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008884dfc: 484dffb0  adrp	x8, #0xfffffff00722d000
0xfffffff008884e00: 08bd0f91  add	x8, x8, #0x3ef
0xfffffff008884e04: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008884e08: c80a8052  mov	w8, #0x56
0xfffffff008884e0c: f42300a9  stp	x20, x8, [sp]
0xfffffff008884e10: 204bffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008884e14: 00003a91  add	x0, x0, #0xe80
0xfffffff008884e18: 218cff90  adrp	x1, #0xfffffff007a08000
0xfffffff008884e1c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008884e20: c34eff90  adrp	x3, #0xfffffff00725c000
0xfffffff008884e24: 636c0c91  add	x3, x3, #0x31b
0xfffffff008884e28: 02008052  mov	w2, #0
