; Candidate 11164
; ADRP+ADD at VM 0xfffffff008e83078 (fileoff 0x1e7f078): page=0x1fec8a000 add_imm=0xe00

0xfffffff008e82ff8: 02000014  b	#0xfffffff008e83000
0xfffffff008e82ffc: 00008052  mov	w0, #0
0xfffffff008e83000: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008e83004: ff830091  add	sp, sp, #0x20
0xfffffff008e83008: ff0f5fd6  retab	
0xfffffff008e8300c: 7f2303d5  pacibsp	
0xfffffff008e83010: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008e83014: fd030091  mov	x29, sp
0xfffffff008e83018: a8128252  mov	w8, #0x1095
0xfffffff008e8301c: 0800088b  add	x8, x0, x8
0xfffffff008e83020: 09094039  ldrb	w9, [x8, #2]
0xfffffff008e83024: c9000034  cbz	w9, #0xfffffff008e8303c
0xfffffff008e83028: 29004139  ldrb	w9, [x1, #0x40]
0xfffffff008e8302c: 09010039  strb	w9, [x8]
0xfffffff008e83030: 1affff97  bl	#0xfffffff008e82c98
0xfffffff008e83034: 00008052  mov	w0, #0
0xfffffff008e83038: 06000014  b	#0xfffffff008e83050
0xfffffff008e8303c: c02aff90  adrp	x0, #0xfffffff0073db000
0xfffffff008e83040: 00fc0091  add	x0, x0, #0x3f
0xfffffff008e83044: f74fd397  bl	#0xfffffff008357020
0xfffffff008e83048: 80578052  mov	w0, #0x2bc
0xfffffff008e8304c: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff008e83050: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008e83054: ff0f5fd6  retab	
0xfffffff008e83058: 5f2403d5  bti	c
0xfffffff008e8305c: ce720014  b	#0xfffffff008e9fb94
0xfffffff008e83060: 7f2303d5  pacibsp	
0xfffffff008e83064: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008e83068: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008e8306c: fd430091  add	x29, sp, #0x10
0xfffffff008e83070: f30300aa  mov	x19, x0
0xfffffff008e83074: c8720094  bl	#0xfffffff008e9fb94
0xfffffff008e83078: 4064ffd0  adrp	x0, #0xfffffff007b0d000
0xfffffff008e8307c: 00003891  add	x0, x0, #0xe00
0xfffffff008e83080: e10313aa  mov	x1, x19
0xfffffff008e83084: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008e83088: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008e8308c: ff2303d5  autibsp	
0xfffffff008e83090: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008e83094: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008e8309c
0xfffffff008e83098: 208e38d4  brk	#0xc471
0xfffffff008e8309c: 9c4dd317  b	#0xfffffff00835670c
0xfffffff008e830a0: 5f2403d5  bti	c
0xfffffff008e830a4: 40008052  mov	w0, #2
0xfffffff008e830a8: c0035fd6  ret	
0xfffffff008e830ac: 5f2403d5  bti	c
0xfffffff008e830b0: e30301aa  mov	x3, x1
0xfffffff008e830b4: 081440f9  ldr	x8, [x0, #0x28]
0xfffffff008e830b8: 080940f9  ldr	x8, [x8, #0x10]
0xfffffff008e830bc: 01604039  ldrb	w1, [x0, #0x18]
0xfffffff008e830c0: 024040b9  ldr	w2, [x0, #0x40]
0xfffffff008e830c4: 100140f9  ldr	x16, [x8]
0xfffffff008e830c8: f10308aa  mov	x17, x8
0xfffffff008e830cc: 5115e6f2  movk	x17, #0x30aa, lsl #48
0xfffffff008e830d0: 301ac1da  autda	x16, x17
0xfffffff008e830d4: 098e41f8  ldr	x9, [x16, #0x18]!
0xfffffff008e830d8: e40310aa  mov	x4, x16
0xfffffff008e830dc: f00309aa  mov	x16, x9
0xfffffff008e830e0: e00308aa  mov	x0, x8
0xfffffff008e830e4: f10304aa  mov	x17, x4
0xfffffff008e830e8: 1193eaf2  movk	x17, #0x5498, lsl #48
0xfffffff008e830ec: 110a1fd7  braa	x16, x17
0xfffffff008e830f0: 7f2303d5  pacibsp	
0xfffffff008e830f4: ff8300d1  sub	sp, sp, #0x20
