; Candidate 4646
; ADRP+ADD at VM 0xfffffff0087bf360 (fileoff 0x17bb360): page=0x1fe972000 add_imm=0xd90

0xfffffff0087bf2e0: 5f050071  cmp	w10, #1
0xfffffff0087bf2e4: 81c7ff54  b.ne	#0xfffffff0087bebd4
0xfffffff0087bf2e8: 088149b9  ldr	w8, [x8, #0x980]
0xfffffff0087bf2ec: 48000035  cbnz	w8, #0xfffffff0087bf2f4
0xfffffff0087bf2f0: 09c1ff35  cbnz	w9, #0xfffffff0087beb10
0xfffffff0087bf2f4: 08c7ff34  cbz	w8, #0xfffffff0087bebd4
0xfffffff0087bf2f8: c9c0ff34  cbz	w9, #0xfffffff0087beb10
0xfffffff0087bf2fc: 36feff17  b	#0xfffffff0087bebd4
0xfffffff0087bf300: 014dff90  adrp	x1, #0xfffffff00715f000
0xfffffff0087bf304: 21ac0191  add	x1, x1, #0x6b
0xfffffff0087bf308: e00313aa  mov	x0, x19
0xfffffff0087bf30c: 02018052  mov	w2, #8
0xfffffff0087bf310: ecefff97  bl	#0xfffffff0087bb2c0
0xfffffff0087bf314: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087bf318: 00710bb9  str	w0, [x8, #0xb70]
0xfffffff0087bf31c: 1f000471  cmp	w0, #0x100
0xfffffff0087bf320: a3040054  b.lo	#0xfffffff0087bf3b4
0xfffffff0087bf324: e84cfff0  adrp	x8, #0xfffffff00715e000
0xfffffff0087bf328: 08793b91  add	x8, x8, #0xede
0xfffffff0087bf32c: e80300a9  stp	x8, x0, [sp]
0xfffffff0087bf330: 804bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087bf334: 00403691  add	x0, x0, #0xd90
0xfffffff0087bf338: e191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bf33c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bf340: 634cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bf344: 639c3891  add	x3, x3, #0xe27
0xfffffff0087bf348: 02008052  mov	w2, #0
0xfffffff0087bf34c: 79cfed97  bl	#0xfffffff008333130
0xfffffff0087bf350: f0fdff17  b	#0xfffffff0087beb10
0xfffffff0087bf354: e84cfff0  adrp	x8, #0xfffffff00715e000
0xfffffff0087bf358: 08793b91  add	x8, x8, #0xede
0xfffffff0087bf35c: e80300a9  stp	x8, x0, [sp]
0xfffffff0087bf360: 804bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087bf364: 00403691  add	x0, x0, #0xd90
0xfffffff0087bf368: e191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bf36c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bf370: 634cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bf374: 63ac3291  add	x3, x3, #0xcab
0xfffffff0087bf378: 02008052  mov	w2, #0
0xfffffff0087bf37c: 6dcfed97  bl	#0xfffffff008333130
0xfffffff0087bf380: e4fdff17  b	#0xfffffff0087beb10
0xfffffff0087bf384: e84cfff0  adrp	x8, #0xfffffff00715e000
0xfffffff0087bf388: 08793b91  add	x8, x8, #0xede
0xfffffff0087bf38c: e80300a9  stp	x8, x0, [sp]
0xfffffff0087bf390: 804bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087bf394: 00403691  add	x0, x0, #0xd90
0xfffffff0087bf398: e191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bf39c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bf3a0: 634cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bf3a4: 63443391  add	x3, x3, #0xcd1
0xfffffff0087bf3a8: 02008052  mov	w2, #0
0xfffffff0087bf3ac: 61cfed97  bl	#0xfffffff008333130
0xfffffff0087bf3b0: d8fdff17  b	#0xfffffff0087beb10
0xfffffff0087bf3b4: 014dff90  adrp	x1, #0xfffffff00715f000
0xfffffff0087bf3b8: 21e00191  add	x1, x1, #0x78
0xfffffff0087bf3bc: e00313aa  mov	x0, x19
0xfffffff0087bf3c0: 22018052  mov	w2, #9
0xfffffff0087bf3c4: bfefff97  bl	#0xfffffff0087bb2c0
0xfffffff0087bf3c8: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087bf3cc: 00750bb9  str	w0, [x8, #0xb74]
0xfffffff0087bf3d0: 1f000871  cmp	w0, #0x200
0xfffffff0087bf3d4: a3010054  b.lo	#0xfffffff0087bf408
0xfffffff0087bf3d8: e84cfff0  adrp	x8, #0xfffffff00715e000
0xfffffff0087bf3dc: 08793b91  add	x8, x8, #0xede
