; Candidate 6059
; ADRP+ADD at VM 0xfffffff008811ad0 (fileoff 0x180dad0): page=0x1fe9d8000 add_imm=0xe80

0xfffffff008811a50: e1008052  mov	w1, #7
0xfffffff008811a54: 5fa70194  bl	#0xfffffff00887b7d0
0xfffffff008811a58: c0040034  cbz	w0, #0xfffffff008811af0
0xfffffff008811a5c: 800e8052  mov	w0, #0x74
0xfffffff008811a60: 6ea70194  bl	#0xfffffff00887b818
0xfffffff008811a64: f60300aa  mov	x22, x0
0xfffffff008811a68: d1890294  bl	#0xfffffff0088b41ac
0xfffffff008811a6c: f50300aa  mov	x21, x0
0xfffffff008811a70: e0008052  mov	w0, #7
0xfffffff008811a74: 77a70194  bl	#0xfffffff00887b850
0xfffffff008811a78: 76010034  cbz	w22, #0xfffffff008811aa4
0xfffffff008811a7c: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff008811a80: 6850ff90  adrp	x8, #0xfffffff00721d000
0xfffffff008811a84: 08c11291  add	x8, x8, #0x4b0
0xfffffff008811a88: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008811a8c: 880e8052  mov	w8, #0x74
0xfffffff008811a90: f52300a9  stp	x21, x8, [sp]
0xfffffff008811a94: 2050ff90  adrp	x0, #0xfffffff007215000
0xfffffff008811a98: 00a81591  add	x0, x0, #0x56a
0xfffffff008811a9c: 7196d697  bl	#0xfffffff007db7460
0xfffffff008811aa0: 14000014  b	#0xfffffff008811af0
0xfffffff008811aa4: c2890294  bl	#0xfffffff0088b41ac
0xfffffff008811aa8: f50300aa  mov	x21, x0
0xfffffff008811aac: e0008052  mov	w0, #7
0xfffffff008811ab0: 68a70194  bl	#0xfffffff00887b850
0xfffffff008811ab4: e80314aa  mov	x8, x20
0xfffffff008811ab8: f32302a9  stp	x19, x8, [sp, #0x20]
0xfffffff008811abc: 6850ff90  adrp	x8, #0xfffffff00721d000
0xfffffff008811ac0: 08c11291  add	x8, x8, #0x4b0
0xfffffff008811ac4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008811ac8: 880e8052  mov	w8, #0x74
0xfffffff008811acc: f52300a9  stp	x21, x8, [sp]
0xfffffff008811ad0: c04eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008811ad4: 00003a91  add	x0, x0, #0xe80
0xfffffff008811ad8: a18ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff008811adc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008811ae0: a351ffd0  adrp	x3, #0xfffffff007247000
0xfffffff008811ae4: 63802891  add	x3, x3, #0xa20
0xfffffff008811ae8: 02008052  mov	w2, #0
0xfffffff008811aec: 9185ec97  bl	#0xfffffff008333130
0xfffffff008811af0: e00314aa  mov	x0, x20
0xfffffff008811af4: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008811af8: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008811afc: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008811b00: ff830191  add	sp, sp, #0x60
0xfffffff008811b04: ff0f5fd6  retab	
0xfffffff008811b08: 7f2303d5  pacibsp	
0xfffffff008811b0c: ff0302d1  sub	sp, sp, #0x80
0xfffffff008811b10: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff008811b14: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff008811b18: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff008811b1c: fdc30191  add	x29, sp, #0x70
0xfffffff008811b20: f40301aa  mov	x20, x1
0xfffffff008811b24: 600700b4  cbz	x0, #0xfffffff008811c10
0xfffffff008811b28: f30300aa  mov	x19, x0
0xfffffff008811b2c: 08c84391  add	x8, x0, #0xf2, lsl #12
0xfffffff008811b30: 16a10491  add	x22, x8, #0x128
0xfffffff008811b34: c80640f9  ldr	x8, [x22, #8]
0xfffffff008811b38: 480300b4  cbz	x8, #0xfffffff008811ba0
0xfffffff008811b3c: c00240f9  ldr	x0, [x22]
0xfffffff008811b40: 000300b4  cbz	x0, #0xfffffff008811ba0
0xfffffff008811b44: e10314aa  mov	x1, x20
0xfffffff008811b48: e40fff97  bl	#0xfffffff0087d5ad8
0xfffffff008811b4c: f50300aa  mov	x21, x0
