; Candidate 9264
; ADRP+ADD at VM 0xfffffff008a1d440 (fileoff 0x1a19440): page=0x1fe87c000 add_imm=0xe40

0xfffffff008a1d3c0: 912df0f2  movk	x17, #0x816c, lsl #48
0xfffffff008a1d3c4: 11093fd7  blraa	x8, x17
0xfffffff008a1d3c8: 20fa0737  tbnz	w0, #0, #0xfffffff008a1d30c
0xfffffff008a1d3cc: f70316aa  mov	x23, x22
0xfffffff008a1d3d0: 37b4f9f2  movk	x23, #0xcda1, lsl #48
0xfffffff008a1d3d4: d00240f9  ldr	x16, [x22]
0xfffffff008a1d3d8: f01ac1da  autda	x16, x23
0xfffffff008a1d3dc: 113d80d2  mov	x17, #0x1e8
0xfffffff008a1d3e0: 1002118b  add	x16, x16, x17
0xfffffff008a1d3e4: 080240f9  ldr	x8, [x16]
0xfffffff008a1d3e8: e90310aa  mov	x9, x16
0xfffffff008a1d3ec: e00316aa  mov	x0, x22
0xfffffff008a1d3f0: 010080d2  mov	x1, #0
0xfffffff008a1d3f4: f10309aa  mov	x17, x9
0xfffffff008a1d3f8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a1d3fc: 11093fd7  blraa	x8, x17
0xfffffff008a1d400: d00240f9  ldr	x16, [x22]
0xfffffff008a1d404: f01ac1da  autda	x16, x23
0xfffffff008a1d408: 113d80d2  mov	x17, #0x1e8
0xfffffff008a1d40c: 1002118b  add	x16, x16, x17
0xfffffff008a1d410: 080240f9  ldr	x8, [x16]
0xfffffff008a1d414: e90310aa  mov	x9, x16
0xfffffff008a1d418: e00316aa  mov	x0, x22
0xfffffff008a1d41c: 010080d2  mov	x1, #0
0xfffffff008a1d420: f10309aa  mov	x17, x9
0xfffffff008a1d424: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a1d428: 11093fd7  blraa	x8, x17
0xfffffff008a1d42c: f3d301a9  stp	x19, x20, [sp, #0x18]
0xfffffff008a1d430: f843fff0  adrp	x24, #0xfffffff00729c000
0xfffffff008a1d434: 180b0d91  add	x24, x24, #0x342
0xfffffff008a1d438: f8d700a9  stp	x24, x21, [sp, #8]
0xfffffff008a1d43c: e00300f9  str	x0, [sp]
0xfffffff008a1d440: e043ff90  adrp	x0, #0xfffffff007299000
0xfffffff008a1d444: 00003991  add	x0, x0, #0xe40
0xfffffff008a1d448: 6181ffd0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a1d44c: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a1d450: 0344ffd0  adrp	x3, #0xfffffff00729f000
0xfffffff008a1d454: 63cc2c91  add	x3, x3, #0xb33
0xfffffff008a1d458: 02028052  mov	w2, #0x10
0xfffffff008a1d45c: 3557e497  bl	#0xfffffff008333130
0xfffffff008a1d460: d00240f9  ldr	x16, [x22]
0xfffffff008a1d464: f01ac1da  autda	x16, x23
0xfffffff008a1d468: f10310aa  mov	x17, x16
0xfffffff008a1d46c: f147c1da  xpacd	x17
0xfffffff008a1d470: 1f0211eb  cmp	x16, x17
0xfffffff008a1d474: 40000054  b.eq	#0xfffffff008a1d47c
0xfffffff008a1d478: 408e38d4  brk	#0xc472
0xfffffff008a1d47c: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a1d480: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a1d484: e00316aa  mov	x0, x22
0xfffffff008a1d488: 010080d2  mov	x1, #0
0xfffffff008a1d48c: f10308aa  mov	x17, x8
0xfffffff008a1d490: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a1d494: 31093fd7  blraa	x9, x17
0xfffffff008a1d498: f3d301a9  stp	x19, x20, [sp, #0x18]
0xfffffff008a1d49c: f8d700a9  stp	x24, x21, [sp, #8]
0xfffffff008a1d4a0: e00300f9  str	x0, [sp]
0xfffffff008a1d4a4: e043fff0  adrp	x0, #0xfffffff00729c000
0xfffffff008a1d4a8: 00500d91  add	x0, x0, #0x354
0xfffffff008a1d4ac: dde6e497  bl	#0xfffffff008357020
0xfffffff008a1d4b0: 00008052  mov	w0, #0
0xfffffff008a1d4b4: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff008a1d4b8: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff008a1d4bc: f65744a9  ldp	x22, x21, [sp, #0x40]
