; Candidate 7914
; ADRP+ADD at VM 0xfffffff008887144 (fileoff 0x1883144): page=0x1fe962000 add_imm=0xe80

0xfffffff0088870c4: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088870c8: e80314aa  mov	x8, x20
0xfffffff0088870cc: 204dffd0  adrp	x0, #0xfffffff00722d000
0xfffffff0088870d0: 00703791  add	x0, x0, #0xddc
0xfffffff0088870d4: f72300a9  stp	x23, x8, [sp]
0xfffffff0088870d8: 0c000014  b	#0xfffffff008887108
0xfffffff0088870dc: 60040034  cbz	w0, #0xfffffff008887168
0xfffffff0088870e0: e803164b  neg	w8, w22
0xfffffff0088870e4: 28042837  tbnz	w8, #5, #0xfffffff008887168
0xfffffff0088870e8: 68a64b29  ldp	w8, w9, [x19, #0x5c]
0xfffffff0088870ec: 6aae4c29  ldp	w10, w11, [x19, #0x64]
0xfffffff0088870f0: ea2f02a9  stp	x10, x11, [sp, #0x20]
0xfffffff0088870f4: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff0088870f8: e8430191  add	x8, sp, #0x50
0xfffffff0088870fc: e84f00a9  stp	x8, x19, [sp]
0xfffffff008887100: 204dffd0  adrp	x0, #0xfffffff00722d000
0xfffffff008887104: 007c3591  add	x0, x0, #0xd5f
0xfffffff008887108: d6c0d497  bl	#0xfffffff007db7460
0xfffffff00888710c: 25000014  b	#0xfffffff0088871a0
0xfffffff008887110: 27b40094  bl	#0xfffffff0088b41ac
0xfffffff008887114: f70300aa  mov	x23, x0
0xfffffff008887118: e00315aa  mov	x0, x21
0xfffffff00888711c: cdd1ff97  bl	#0xfffffff00887b850
0xfffffff008887120: 68a64b29  ldp	w8, w9, [x19, #0x5c]
0xfffffff008887124: 6aae4c29  ldp	w10, w11, [x19, #0x64]
0xfffffff008887128: eaaf03a9  stp	x10, x11, [sp, #0x38]
0xfffffff00888712c: e8a702a9  stp	x8, x9, [sp, #0x28]
0xfffffff008887130: e8430191  add	x8, sp, #0x50
0xfffffff008887134: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008887138: e80314aa  mov	x8, x20
0xfffffff00888713c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008887140: f70300f9  str	x23, [sp]
0xfffffff008887144: 004bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008887148: 00003a91  add	x0, x0, #0xe80
0xfffffff00888714c: 018cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008887150: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008887154: a34effb0  adrp	x3, #0xfffffff00725c000
0xfffffff008887158: 63f03691  add	x3, x3, #0xdbc
0xfffffff00888715c: 02008052  mov	w2, #0
0xfffffff008887160: f4afea97  bl	#0xfffffff008333130
0xfffffff008887164: 0f000014  b	#0xfffffff0088871a0
0xfffffff008887168: 68a64b29  ldp	w8, w9, [x19, #0x5c]
0xfffffff00888716c: 6aae4c29  ldp	w10, w11, [x19, #0x64]
0xfffffff008887170: ea2f02a9  stp	x10, x11, [sp, #0x20]
0xfffffff008887174: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008887178: e8430191  add	x8, sp, #0x50
0xfffffff00888717c: e84f00a9  stp	x8, x19, [sp]
0xfffffff008887180: 004bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008887184: 00003a91  add	x0, x0, #0xe80
0xfffffff008887188: 018cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00888718c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008887190: a34effb0  adrp	x3, #0xfffffff00725c000
0xfffffff008887194: 63003591  add	x3, x3, #0xd40
0xfffffff008887198: 02008052  mov	w2, #0
0xfffffff00888719c: e5afea97  bl	#0xfffffff008333130
0xfffffff0088871a0: e00314aa  mov	x0, x20
0xfffffff0088871a4: e10315aa  mov	x1, x21
0xfffffff0088871a8: 8ad1ff97  bl	#0xfffffff00887b7d0
0xfffffff0088871ac: e0070034  cbz	w0, #0xfffffff0088872a8
0xfffffff0088871b0: e00314aa  mov	x0, x20
0xfffffff0088871b4: 99d1ff97  bl	#0xfffffff00887b818
0xfffffff0088871b8: 5602f837  tbnz	w22, #0x1f, #0xfffffff008887200
0xfffffff0088871bc: d8021b12  and	w24, w22, #0x20
0xfffffff0088871c0: 19000052  eor	w25, w0, #1
