; Candidate 5683
; ADRP+ADD at VM 0xfffffff008800134 (fileoff 0x17fc134): page=0x1fe9e9000 add_imm=0xe80

0xfffffff0088000b4: 5f950071  cmp	w10, #0x25
0xfffffff0088000b8: bc035af8  ldur	x28, [x29, #-0x60]
0xfffffff0088000bc: 010b0054  b.ne	#0xfffffff00880021c
0xfffffff0088000c0: 2aeb4d39  ldrb	w10, [x25, #0x37a]
0xfffffff0088000c4: ab50fff0  adrp	x11, #0xfffffff007217000
0xfffffff0088000c8: 6bf52691  add	x11, x11, #0x9bd
0xfffffff0088000cc: ac50fff0  adrp	x12, #0xfffffff007217000
0xfffffff0088000d0: 8c1d2791  add	x12, x12, #0x9c7
0xfffffff0088000d4: 5f010071  cmp	w10, #0
0xfffffff0088000d8: 57000014  b	#0xfffffff008800234
0xfffffff0088000dc: ac50fff0  adrp	x12, #0xfffffff007217000
0xfffffff0088000e0: 8cb92491  add	x12, x12, #0x92e
0xfffffff0088000e4: ad50fff0  adrp	x13, #0xfffffff007217000
0xfffffff0088000e8: ad852491  add	x13, x13, #0x921
0xfffffff0088000ec: 7f1d0071  cmp	w11, #7
0xfffffff0088000f0: ab018c9a  csel	x11, x13, x12, eq
0xfffffff0088000f4: 2c4f40b9  ldr	w12, [x25, #0x4c]
0xfffffff0088000f8: ad835af8  ldur	x13, [x29, #-0x58]
0xfffffff0088000fc: ad2540b9  ldr	w13, [x13, #0x24]
0xfffffff008800100: 8eab4fb9  ldr	w14, [x28, #0xfa8]
0xfffffff008800104: 2fcf40b9  ldr	w15, [x25, #0xcc]
0xfffffff008800108: 51434029  ldp	w17, w16, [x26]
0xfffffff00880010c: efc704a9  stp	x15, x17, [sp, #0x48]
0xfffffff008800110: eabb03a9  stp	x10, x14, [sp, #0x38]
0xfffffff008800114: ecb702a9  stp	x12, x13, [sp, #0x28]
0xfffffff008800118: 8a50fff0  adrp	x10, #0xfffffff007213000
0xfffffff00880011c: 4af12891  add	x10, x10, #0xa3c
0xfffffff008800120: eac301a9  stp	x10, x16, [sp, #0x18]
0xfffffff008800124: e9af00a9  stp	x9, x11, [sp, #8]
0xfffffff008800128: 0352fff0  adrp	x3, #0xfffffff007243000
0xfffffff00880012c: 63440e91  add	x3, x3, #0x391
0xfffffff008800130: e80300f9  str	x8, [sp]
0xfffffff008800134: 404fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008800138: 00003a91  add	x0, x0, #0xe80
0xfffffff00880013c: 4190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff008800140: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008800144: 02008052  mov	w2, #0
0xfffffff008800148: facbec97  bl	#0xfffffff008333130
0xfffffff00880014c: b8000014  b	#0xfffffff00880042c
0xfffffff008800150: 9f990071  cmp	w12, #0x26
0xfffffff008800154: a00b0054  b.eq	#0xfffffff0088002c8
0xfffffff008800158: 9f950071  cmp	w12, #0x25
0xfffffff00880015c: 010a0054  b.ne	#0xfffffff00880029c
0xfffffff008800160: 2ceb4d39  ldrb	w12, [x25, #0x37a]
0xfffffff008800164: ad50fff0  adrp	x13, #0xfffffff007217000
0xfffffff008800168: adf52691  add	x13, x13, #0x9bd
0xfffffff00880016c: ae50fff0  adrp	x14, #0xfffffff007217000
0xfffffff008800170: ce1d2791  add	x14, x14, #0x9c7
0xfffffff008800174: 9f010071  cmp	w12, #0
0xfffffff008800178: 4f000014  b	#0xfffffff0088002b4
0xfffffff00880017c: aa50fff0  adrp	x10, #0xfffffff007217000
0xfffffff008800180: 4ad52691  add	x10, x10, #0x9b5
0xfffffff008800184: 0e000014  b	#0xfffffff0088001bc
0xfffffff008800188: aa50fff0  adrp	x10, #0xfffffff007217000
0xfffffff00880018c: 4ad52691  add	x10, x10, #0x9b5
0xfffffff008800190: 21000014  b	#0xfffffff008800214
0xfffffff008800194: aa50fff0  adrp	x10, #0xfffffff007217000
0xfffffff008800198: 4a512791  add	x10, x10, #0x9d4
0xfffffff00880019c: 08000014  b	#0xfffffff0088001bc
0xfffffff0088001a0: ab50fff0  adrp	x11, #0xfffffff007217000
0xfffffff0088001a4: 6bb12791  add	x11, x11, #0x9ec
0xfffffff0088001a8: ac50fff0  adrp	x12, #0xfffffff007217000
0xfffffff0088001ac: 8c712791  add	x12, x12, #0x9dc
0xfffffff0088001b0: 0de28452  mov	w13, #0x2710
