; Candidate 14420
; ADRP+ADD at VM 0xfffffff00977760c (fileoff 0x277360c): page=0x1fde22000 add_imm=0xe86

0xfffffff00977758c: 116e80d2  mov	x17, #0x370
0xfffffff009777590: 1002118b  add	x16, x16, x17
0xfffffff009777594: 080240f9  ldr	x8, [x16]
0xfffffff009777598: e90310aa  mov	x9, x16
0xfffffff00977759c: e00313aa  mov	x0, x19
0xfffffff0097775a0: f10309aa  mov	x17, x9
0xfffffff0097775a4: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0097775a8: 11093fd7  blraa	x8, x17
0xfffffff0097775ac: 100040f9  ldr	x16, [x0]
0xfffffff0097775b0: f10300aa  mov	x17, x0
0xfffffff0097775b4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097775b8: 301ac1da  autda	x16, x17
0xfffffff0097775bc: 113d80d2  mov	x17, #0x1e8
0xfffffff0097775c0: 1002118b  add	x16, x16, x17
0xfffffff0097775c4: 080240f9  ldr	x8, [x16]
0xfffffff0097775c8: e90310aa  mov	x9, x16
0xfffffff0097775cc: 010080d2  mov	x1, #0
0xfffffff0097775d0: f10309aa  mov	x17, x9
0xfffffff0097775d4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0097775d8: 11093fd7  blraa	x8, x17
0xfffffff0097775dc: 08000014  b	#0xfffffff0097775fc
0xfffffff0097775e0: 00008052  mov	w0, #0
0xfffffff0097775e4: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0097775e8: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0097775ec: ff030191  add	sp, sp, #0x40
0xfffffff0097775f0: ff0f5fd6  retab	
0xfffffff0097775f4: a0f0fed0  adrp	x0, #0xfffffff00758d000
0xfffffff0097775f8: 007c1f91  add	x0, x0, #0x7df
0xfffffff0097775fc: 08f1fed0  adrp	x8, #0xfffffff007599000
0xfffffff009777600: 08bd3a91  add	x8, x8, #0xeaf
0xfffffff009777604: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff009777608: f40300f9  str	x20, [sp]
0xfffffff00977760c: 00f1fed0  adrp	x0, #0xfffffff007599000
0xfffffff009777610: 00183a91  add	x0, x0, #0xe86
0xfffffff009777614: 837eaf97  bl	#0xfffffff008357020
0xfffffff009777618: 20008052  mov	w0, #1
0xfffffff00977761c: f2ffff17  b	#0xfffffff0097775e4
0xfffffff009777620: 7f2303d5  pacibsp	
0xfffffff009777624: ff0301d1  sub	sp, sp, #0x40
0xfffffff009777628: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff00977762c: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff009777630: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff009777634: fdc30091  add	x29, sp, #0x30
0xfffffff009777638: 08d840f9  ldr	x8, [x0, #0x1b0]
0xfffffff00977763c: a82400b4  cbz	x8, #0xfffffff009777ad0
0xfffffff009777640: f40301aa  mov	x20, x1
0xfffffff009777644: f30300aa  mov	x19, x0
0xfffffff009777648: e1040034  cbz	w1, #0xfffffff0097776e4
0xfffffff00977764c: 687e47f9  ldr	x8, [x19, #0xef8]
0xfffffff009777650: 480200b5  cbnz	x8, #0xfffffff009777698
0xfffffff009777654: 60e23b91  add	x0, x19, #0xef8
0xfffffff009777658: 6e5c9897  bl	#0xfffffff007d8e810
0xfffffff00977765c: 60da40f9  ldr	x0, [x19, #0x1b0]
0xfffffff009777660: 100040f9  ldr	x16, [x0]
0xfffffff009777664: f10300aa  mov	x17, x0
0xfffffff009777668: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00977766c: 301ac1da  autda	x16, x17
0xfffffff009777670: 112080d2  mov	x17, #0x100
0xfffffff009777674: 1002118b  add	x16, x16, x17
0xfffffff009777678: 080240f9  ldr	x8, [x16]
0xfffffff00977767c: e90310aa  mov	x9, x16
0xfffffff009777680: 41018052  mov	w1, #0xa
0xfffffff009777684: 02409952  mov	w2, #0xca00
0xfffffff009777688: 4273a772  movk	w2, #0x3b9a, lsl #16
