; Candidate 14171
; ADRP+ADD at VM 0xfffffff0097491c0 (fileoff 0x27451c0): page=0xc42000 add_imm=0xd30

0xfffffff009749140: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff009749144: e90310aa  mov	x9, x16
0xfffffff009749148: e00313aa  mov	x0, x19
0xfffffff00974914c: f10309aa  mov	x17, x9
0xfffffff009749150: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff009749154: 11093fd7  blraa	x8, x17
0xfffffff009749158: 006eae97  bl	#0xfffffff0082e4958
0xfffffff00974915c: fa0303a9  stp	x26, x0, [sp, #0x30]
0xfffffff009749160: f86f02a9  stp	x24, x27, [sp, #0x20]
0xfffffff009749164: f65f01a9  stp	x22, x23, [sp, #0x10]
0xfffffff009749168: 18f2fef0  adrp	x24, #0xfffffff00758c000
0xfffffff00974916c: 181f0291  add	x24, x24, #0x87
0xfffffff009749170: f56300a9  stp	x21, x24, [sp]
0xfffffff009749174: 00f2fed0  adrp	x0, #0xfffffff00758b000
0xfffffff009749178: 00802191  add	x0, x0, #0x860
0xfffffff00974917c: 6126ffb0  adrp	x1, #0xfffffff007c16000
0xfffffff009749180: 21b842f9  ldr	x1, [x1, #0x570]
0xfffffff009749184: e3f2feb0  adrp	x3, #0xfffffff0075a6000
0xfffffff009749188: 638c1f91  add	x3, x3, #0x7e3
0xfffffff00974918c: 22008052  mov	w2, #1
0xfffffff009749190: e8a7af97  bl	#0xfffffff008333130
0xfffffff009749194: b41c00b4  cbz	x20, #0xfffffff009749528
0xfffffff009749198: 2827fff0  adrp	x8, #0xfffffff007c30000
0xfffffff00974919c: 08a12f91  add	x8, x8, #0xbe8
0xfffffff0097491a0: 09010b91  add	x9, x8, #0x2c0
0xfffffff0097491a4: 086141f9  ldr	x8, [x8, #0x2c0]
0xfffffff0097491a8: e00313aa  mov	x0, x19
0xfffffff0097491ac: e10314aa  mov	x1, x20
0xfffffff0097491b0: f10309aa  mov	x17, x9
0xfffffff0097491b4: 118de7f2  movk	x17, #0x3c68, lsl #48
0xfffffff0097491b8: 11093fd7  blraa	x8, x17
0xfffffff0097491bc: c0190034  cbz	w0, #0xfffffff0097494f4
0xfffffff0097491c0: 006200d0  adrp	x0, #0xfffffff00a38b000
0xfffffff0097491c4: 00c03491  add	x0, x0, #0xd30
0xfffffff0097491c8: e46dae97  bl	#0xfffffff0082e4958
0xfffffff0097491cc: 604e40f9  ldr	x0, [x19, #0x98]
0xfffffff0097491d0: 600300b4  cbz	x0, #0xfffffff00974923c
0xfffffff0097491d4: 100040f9  ldr	x16, [x0]
0xfffffff0097491d8: f10300aa  mov	x17, x0
0xfffffff0097491dc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097491e0: 301ac1da  autda	x16, x17
0xfffffff0097491e4: 113d80d2  mov	x17, #0x1e8
0xfffffff0097491e8: 1002118b  add	x16, x16, x17
0xfffffff0097491ec: 080240f9  ldr	x8, [x16]
0xfffffff0097491f0: e90310aa  mov	x9, x16
0xfffffff0097491f4: 010080d2  mov	x1, #0
0xfffffff0097491f8: f10309aa  mov	x17, x9
0xfffffff0097491fc: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009749200: 11093fd7  blraa	x8, x17
0xfffffff009749204: 604e40f9  ldr	x0, [x19, #0x98]
0xfffffff009749208: a00100b4  cbz	x0, #0xfffffff00974923c
0xfffffff00974920c: 100040f9  ldr	x16, [x0]
0xfffffff009749210: f10300aa  mov	x17, x0
0xfffffff009749214: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009749218: 301ac1da  autda	x16, x17
0xfffffff00974921c: 114380d2  mov	x17, #0x218
0xfffffff009749220: 1002118b  add	x16, x16, x17
0xfffffff009749224: 080240f9  ldr	x8, [x16]
0xfffffff009749228: e90310aa  mov	x9, x16
0xfffffff00974922c: 010080d2  mov	x1, #0
0xfffffff009749230: f10309aa  mov	x17, x9
0xfffffff009749234: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009749238: 11093fd7  blraa	x8, x17
0xfffffff00974923c: 700240f9  ldr	x16, [x19]
