; Candidate 9809
; ADRP+ADD at VM 0xfffffff008b44e50 (fileoff 0x1b40e50): page=0x179d000 add_imm=0xd20

0xfffffff008b44dd0: 03078052  mov	w3, #0x38
0xfffffff008b44dd4: 597bde97  bl	#0xfffffff0082e3b38
0xfffffff008b44dd8: f079ff90  adrp	x16, #0xfffffff007a80000
0xfffffff008b44ddc: 10a23291  add	x16, x16, #0xca8
0xfffffff008b44de0: 10420091  add	x16, x16, #0x10
0xfffffff008b44de4: f10300aa  mov	x17, x0
0xfffffff008b44de8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b44dec: 300ac1da  pacda	x16, x17
0xfffffff008b44df0: 100000f9  str	x16, [x0]
0xfffffff008b44df4: e0bc00b0  adrp	x0, #0xfffffff00a2e1000
0xfffffff008b44df8: 00602f91  add	x0, x0, #0xbd8
0xfffffff008b44dfc: 613dff90  adrp	x1, #0xfffffff0072f0000
0xfffffff008b44e00: 21803b91  add	x1, x1, #0xee0
0xfffffff008b44e04: c279ffd0  adrp	x2, #0xfffffff007a7e000
0xfffffff008b44e08: 42dc45f9  ldr	x2, [x2, #0xbb8]
0xfffffff008b44e0c: 03168052  mov	w3, #0xb0
0xfffffff008b44e10: 4a7bde97  bl	#0xfffffff0082e3b38
0xfffffff008b44e14: f079ff90  adrp	x16, #0xfffffff007a80000
0xfffffff008b44e18: 10223891  add	x16, x16, #0xe08
0xfffffff008b44e1c: 10420091  add	x16, x16, #0x10
0xfffffff008b44e20: f10300aa  mov	x17, x0
0xfffffff008b44e24: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b44e28: 300ac1da  pacda	x16, x17
0xfffffff008b44e2c: 100000f9  str	x16, [x0]
0xfffffff008b44e30: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008b44e34: ff0f5fd6  retab	
0xfffffff008b44e38: 7f2303d5  pacibsp	
0xfffffff008b44e3c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008b44e40: fd030091  mov	x29, sp
0xfffffff008b44e44: e0bc00b0  adrp	x0, #0xfffffff00a2e1000
0xfffffff008b44e48: 00203591  add	x0, x0, #0xd48
0xfffffff008b44e4c: 2a7ede97  bl	#0xfffffff0082e46f4
0xfffffff008b44e50: e0bc00b0  adrp	x0, #0xfffffff00a2e1000
0xfffffff008b44e54: 00803491  add	x0, x0, #0xd20
0xfffffff008b44e58: 277ede97  bl	#0xfffffff0082e46f4
0xfffffff008b44e5c: e0bc00b0  adrp	x0, #0xfffffff00a2e1000
0xfffffff008b44e60: 00e03391  add	x0, x0, #0xcf8
0xfffffff008b44e64: 247ede97  bl	#0xfffffff0082e46f4
0xfffffff008b44e68: e0bc00b0  adrp	x0, #0xfffffff00a2e1000
0xfffffff008b44e6c: 00602f91  add	x0, x0, #0xbd8
0xfffffff008b44e70: 217ede97  bl	#0xfffffff0082e46f4
0xfffffff008b44e74: e0bc00b0  adrp	x0, #0xfffffff00a2e1000
0xfffffff008b44e78: 00c02e91  add	x0, x0, #0xbb0
0xfffffff008b44e7c: 1e7ede97  bl	#0xfffffff0082e46f4
0xfffffff008b44e80: e0bc00b0  adrp	x0, #0xfffffff00a2e1000
0xfffffff008b44e84: 00202e91  add	x0, x0, #0xb88
0xfffffff008b44e88: 1b7ede97  bl	#0xfffffff0082e46f4
0xfffffff008b44e8c: e0bc00b0  adrp	x0, #0xfffffff00a2e1000
0xfffffff008b44e90: 00802d91  add	x0, x0, #0xb60
0xfffffff008b44e94: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008b44e98: ff2303d5  autibsp	
0xfffffff008b44e9c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008b44ea0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008b44ea8
0xfffffff008b44ea4: 208e38d4  brk	#0xc471
0xfffffff008b44ea8: 137ede17  b	#0xfffffff0082e46f4
0xfffffff008b44eac: 7f2303d5  pacibsp	
0xfffffff008b44eb0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008b44eb4: fd030091  mov	x29, sp
0xfffffff008b44eb8: 613dffb0  adrp	x1, #0xfffffff0072f1000
0xfffffff008b44ebc: 21d00b91  add	x1, x1, #0x2f4
0xfffffff008b44ec0: c279ffd0  adrp	x2, #0xfffffff007a7e000
0xfffffff008b44ec4: 428045f9  ldr	x2, [x2, #0xb00]
0xfffffff008b44ec8: 03328052  mov	w3, #0x190
0xfffffff008b44ecc: 1b7bde97  bl	#0xfffffff0082e3b38
