; Candidate 3251
; ADRP+ADD at VM 0xfffffff008725238 (fileoff 0x1721238): page=0x1fea0c000 add_imm=0xd90

0xfffffff0087251b8: 0801090b  add	w8, w8, w9
0xfffffff0087251bc: 080d0a0b  add	w8, w8, w10, lsl #3
0xfffffff0087251c0: 08810011  add	w8, w8, #0x20
0xfffffff0087251c4: 1f250071  cmp	w8, #9
0xfffffff0087251c8: cbf4ff54  b.lt	#0xfffffff008725060
0xfffffff0087251cc: 883640f9  ldr	x8, [x20, #0x68]
0xfffffff0087251d0: 89a640b9  ldr	w9, [x20, #0xa4]
0xfffffff0087251d4: 29050011  add	w9, w9, #1
0xfffffff0087251d8: 89a600b9  str	w9, [x20, #0xa4]
0xfffffff0087251dc: 15fd7fd3  lsr	x21, x8, #0x3f
0xfffffff0087251e0: e00314aa  mov	x0, x20
0xfffffff0087251e4: 21008052  mov	w1, #1
0xfffffff0087251e8: 02008052  mov	w2, #0
0xfffffff0087251ec: 25d8ff97  bl	#0xfffffff00871b280
0xfffffff0087251f0: 75020039  strb	w21, [x19]
0xfffffff0087251f4: e6ffff17  b	#0xfffffff00872518c
0xfffffff0087251f8: e00314aa  mov	x0, x20
0xfffffff0087251fc: eafbff97  bl	#0xfffffff0087241a4
0xfffffff008725200: 600300b9  str	w0, [x27]
0xfffffff008725204: 081c0051  sub	w8, w0, #7
0xfffffff008725208: 1f390031  cmn	w8, #0xe
0xfffffff00872520c: e8e1ff54  b.hi	#0xfffffff008724e48
0xfffffff008725210: c8008052  mov	w8, #6
0xfffffff008725214: a9008012  mov	w9, #-6
0xfffffff008725218: 8a51ffb0  adrp	x10, #0xfffffff007156000
0xfffffff00872521c: 4ac10991  add	x10, x10, #0x270
0xfffffff008725220: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008725224: ea0301a9  stp	x10, x0, [sp, #0x10]
0xfffffff008725228: 289a8152  mov	w8, #0xcd1
0xfffffff00872522c: 8951ffb0  adrp	x9, #0xfffffff007156000
0xfffffff008725230: 29550791  add	x9, x9, #0x1d5
0xfffffff008725234: e92300a9  stp	x9, x8, [sp]
0xfffffff008725238: 6050ff90  adrp	x0, #0xfffffff007131000
0xfffffff00872523c: 00403691  add	x0, x0, #0xd90
0xfffffff008725240: c196ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008725244: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008725248: a350ff90  adrp	x3, #0xfffffff007139000
0xfffffff00872524c: 63882f91  add	x3, x3, #0xbe2
0xfffffff008725250: 02008052  mov	w2, #0
0xfffffff008725254: b737f097  bl	#0xfffffff008333130
0xfffffff008725258: 12000014  b	#0xfffffff0087252a0
0xfffffff00872525c: 6050ff90  adrp	x0, #0xfffffff007131000
0xfffffff008725260: 00403691  add	x0, x0, #0xd90
0xfffffff008725264: c196ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008725268: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00872526c: a350ff90  adrp	x3, #0xfffffff007139000
0xfffffff008725270: 63d83191  add	x3, x3, #0xc76
0xfffffff008725274: 02008052  mov	w2, #0
0xfffffff008725278: ae37f097  bl	#0xfffffff008333130
0xfffffff00872527c: 09000014  b	#0xfffffff0087252a0
0xfffffff008725280: 6050ff90  adrp	x0, #0xfffffff007131000
0xfffffff008725284: 00403691  add	x0, x0, #0xd90
0xfffffff008725288: c196ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00872528c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008725290: a350ff90  adrp	x3, #0xfffffff007139000
0xfffffff008725294: 63743291  add	x3, x3, #0xc9d
0xfffffff008725298: 02008052  mov	w2, #0
0xfffffff00872529c: a537f097  bl	#0xfffffff008333130
0xfffffff0087252a0: e00313aa  mov	x0, x19
0xfffffff0087252a4: 0c000094  bl	#0xfffffff0087252d4
0xfffffff0087252a8: 16008012  mov	w22, #-1
0xfffffff0087252ac: 760200b9  str	w22, [x19]
0xfffffff0087252b0: e00316aa  mov	x0, x22
0xfffffff0087252b4: fd7b49a9  ldp	x29, x30, [sp, #0x90]
