; Candidate 593
; ADRP+ADD at VM 0xfffffff007fa206c (fileoff 0xf9e06c): page=0x1ff0c3000 add_imm=0xe7c

0xfffffff007fa1fec: fc1340f9  ldr	x28, [sp, #0x20]
0xfffffff007fa1ff0: c00c0034  cbz	w0, #0xfffffff007fa2188
0xfffffff007fa1ff4: e2a30091  add	x2, sp, #0x28
0xfffffff007fa1ff8: a1c303d1  sub	x1, x29, #0xf0
0xfffffff007fa1ffc: e00318aa  mov	x0, x24
0xfffffff007fa2000: b3f4ff97  bl	#0xfffffff007f9f2cc
0xfffffff007fa2004: 390100b4  cbz	x25, #0xfffffff007fa2028
0xfffffff007fa2008: e32b40b9  ldr	w3, [sp, #0x28]
0xfffffff007fa200c: e2430291  add	x2, sp, #0x90
0xfffffff007fa2010: e00314aa  mov	x0, x20
0xfffffff007fa2014: e10319aa  mov	x1, x25
0xfffffff007fa2018: d5010094  bl	#0xfffffff007fa276c
0xfffffff007fa201c: b8c303d1  sub	x24, x29, #0xf0
0xfffffff007fa2020: f9430291  add	x25, sp, #0x90
0xfffffff007fa2024: cafdff17  b	#0xfffffff007fa174c
0xfffffff007fa2028: b8c303d1  sub	x24, x29, #0xf0
0xfffffff007fa202c: c8fdff17  b	#0xfffffff007fa174c
0xfffffff007fa2030: e00317aa  mov	x0, x23
0xfffffff007fa2034: e10319aa  mov	x1, x25
0xfffffff007fa2038: 02008052  mov	w2, #0
0xfffffff007fa203c: af26f897  bl	#0xfffffff007dabaf8
0xfffffff007fa2040: 6efcff17  b	#0xfffffff007fa11f8
0xfffffff007fa2044: e00317aa  mov	x0, x23
0xfffffff007fa2048: e10319aa  mov	x1, x25
0xfffffff007fa204c: c629f897  bl	#0xfffffff007dac764
0xfffffff007fa2050: d5d6ffb5  cbnz	x21, #0xfffffff007fa1b28
0xfffffff007fa2054: b8feff17  b	#0xfffffff007fa1b34
0xfffffff007fa2058: e00315aa  mov	x0, x21
0xfffffff007fa205c: e10313aa  mov	x1, x19
0xfffffff007fa2060: 02008052  mov	w2, #0
0xfffffff007fa2064: a526f897  bl	#0xfffffff007dabaf8
0xfffffff007fa2068: 24feff17  b	#0xfffffff007fa18f8
0xfffffff007fa206c: 0086fff0  adrp	x0, #0xfffffff007065000
0xfffffff007fa2070: 00f03991  add	x0, x0, #0xe7c
0xfffffff007fa2074: 0186fff0  adrp	x1, #0xfffffff007065000
0xfffffff007fa2078: 21582391  add	x1, x1, #0x8d6
0xfffffff007fa207c: 62d28152  mov	w2, #0xe93
0xfffffff007fa2080: e5f51394  bl	#0xfffffff00849f814
0xfffffff007fa2084: 0086fff0  adrp	x0, #0xfffffff007065000
0xfffffff007fa2088: 00b42a91  add	x0, x0, #0xaad
0xfffffff007fa208c: 0186fff0  adrp	x1, #0xfffffff007065000
0xfffffff007fa2090: 21582391  add	x1, x1, #0x8d6
0xfffffff007fa2094: e2358252  mov	w2, #0x11af
0xfffffff007fa2098: dff51394  bl	#0xfffffff00849f814
0xfffffff007fa209c: e00318aa  mov	x0, x24
0xfffffff007fa20a0: e10319aa  mov	x1, x25
0xfffffff007fa20a4: 22008052  mov	w2, #1
0xfffffff007fa20a8: 9426f897  bl	#0xfffffff007dabaf8
0xfffffff007fa20ac: 30fdff17  b	#0xfffffff007fa156c
0xfffffff007fa20b0: e00318aa  mov	x0, x24
0xfffffff007fa20b4: e10319aa  mov	x1, x25
0xfffffff007fa20b8: ab29f897  bl	#0xfffffff007dac764
0xfffffff007fa20bc: 7aa6ffb5  cbnz	x26, #0xfffffff007fa1588
0xfffffff007fa20c0: 37fdff17  b	#0xfffffff007fa159c
0xfffffff007fa20c4: e00315aa  mov	x0, x21
0xfffffff007fa20c8: e10313aa  mov	x1, x19
0xfffffff007fa20cc: a629f897  bl	#0xfffffff007dac764
0xfffffff007fa20d0: 5cfeff17  b	#0xfffffff007fa1a40
0xfffffff007fa20d4: 0086fff0  adrp	x0, #0xfffffff007065000
0xfffffff007fa20d8: 00dc3491  add	x0, x0, #0xd37
0xfffffff007fa20dc: 0186fff0  adrp	x1, #0xfffffff007065000
0xfffffff007fa20e0: 21582391  add	x1, x1, #0x8d6
0xfffffff007fa20e4: a2f98052  mov	w2, #0x7cd
0xfffffff007fa20e8: cbf51394  bl	#0xfffffff00849f814
