; Candidate 15001
; ADRP+ADD at VM 0xfffffff009a29254 (fileoff 0x2a25254): page=0x1fe27d000 add_imm=0xd00

0xfffffff009a291d4: 10e22c91  add	x16, x16, #0xb38
0xfffffff009a291d8: 10420091  add	x16, x16, #0x10
0xfffffff009a291dc: f10300aa  mov	x17, x0
0xfffffff009a291e0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a291e4: 300ac1da  pacda	x16, x17
0xfffffff009a291e8: 100000f9  str	x16, [x0]
0xfffffff009a291ec: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009a291f0: ff0f5fd6  retab	
0xfffffff009a291f4: 5f2403d5  bti	c
0xfffffff009a291f8: dc3aa617  b	#0xfffffff0083b7d68
0xfffffff009a291fc: 5f2403d5  bti	c
0xfffffff009a29200: da3aa617  b	#0xfffffff0083b7d68
0xfffffff009a29204: 7f2303d5  pacibsp	
0xfffffff009a29208: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009a2920c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009a29210: fd430091  add	x29, sp, #0x10
0xfffffff009a29214: f30300aa  mov	x19, x0
0xfffffff009a29218: d43aa697  bl	#0xfffffff0083b7d68
0xfffffff009a2921c: e013ffb0  adrp	x0, #0xfffffff007ca6000
0xfffffff009a29220: 00003491  add	x0, x0, #0xd00
0xfffffff009a29224: e10313aa  mov	x1, x19
0xfffffff009a29228: 020a8052  mov	w2, #0x50
0xfffffff009a2922c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009a29230: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009a29234: ff2303d5  autibsp	
0xfffffff009a29238: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009a2923c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009a29244
0xfffffff009a29240: 208e38d4  brk	#0xc471
0xfffffff009a29244: 16f9a217  b	#0xfffffff0082e769c
0xfffffff009a29248: 5f2403d5  bti	c
0xfffffff009a2924c: e20301aa  mov	x2, x1
0xfffffff009a29250: e10300aa  mov	x1, x0
0xfffffff009a29254: e013ffb0  adrp	x0, #0xfffffff007ca6000
0xfffffff009a29258: 00003491  add	x0, x0, #0xd00
0xfffffff009a2925c: 10f9a217  b	#0xfffffff0082e769c
0xfffffff009a29260: 5f2403d5  bti	c
0xfffffff009a29264: 604c00d0  adrp	x0, #0xfffffff00a3b7000
0xfffffff009a29268: 00600f91  add	x0, x0, #0x3d8
0xfffffff009a2926c: c0035fd6  ret	
0xfffffff009a29270: 7f2303d5  pacibsp	
0xfffffff009a29274: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009a29278: fd030091  mov	x29, sp
0xfffffff009a2927c: 01dffeb0  adrp	x1, #0xfffffff00760a000
0xfffffff009a29280: 21f00791  add	x1, x1, #0x1fc
0xfffffff009a29284: c213ffb0  adrp	x2, #0xfffffff007ca2000
0xfffffff009a29288: 42d044f9  ldr	x2, [x2, #0x9a0]
0xfffffff009a2928c: 030a8052  mov	w3, #0x50
0xfffffff009a29290: 2aeaa297  bl	#0xfffffff0082e3b38
0xfffffff009a29294: d013ffb0  adrp	x16, #0xfffffff007ca2000
0xfffffff009a29298: 10a23191  add	x16, x16, #0xc68
0xfffffff009a2929c: 10420091  add	x16, x16, #0x10
0xfffffff009a292a0: f10300aa  mov	x17, x0
0xfffffff009a292a4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a292a8: 300ac1da  pacda	x16, x17
0xfffffff009a292ac: 100000f9  str	x16, [x0]
0xfffffff009a292b0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009a292b4: ff0f5fd6  retab	
0xfffffff009a292b8: 7f2303d5  pacibsp	
0xfffffff009a292bc: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009a292c0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009a292c4: fd430091  add	x29, sp, #0x10
0xfffffff009a292c8: e013ffb0  adrp	x0, #0xfffffff007ca6000
0xfffffff009a292cc: 00003491  add	x0, x0, #0xd00
0xfffffff009a292d0: 010a8052  mov	w1, #0x50
