; Candidate 16397
; ADRP+ADD at VM 0xfffffff009e8458c (fileoff 0x2e8058c): page=0x1fd9b1000 add_imm=0xdc5

0xfffffff009e8450c: 08192d91  add	x8, x8, #0xb46
0xfffffff009e84510: 29849252  mov	w9, #0x9421
0xfffffff009e84514: e82700a9  stp	x8, x9, [sp]
0xfffffff009e84518: c0cdfeb0  adrp	x0, #0xfffffff00783d000
0xfffffff009e8451c: 00903091  add	x0, x0, #0xc24
0xfffffff009e84520: e1ffff17  b	#0xfffffff009e844a4
0xfffffff009e84524: 7f2303d5  pacibsp	
0xfffffff009e84528: ff4301d1  sub	sp, sp, #0x50
0xfffffff009e8452c: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff009e84530: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff009e84534: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff009e84538: fd030191  add	x29, sp, #0x40
0xfffffff009e8453c: f40300aa  mov	x20, x0
0xfffffff009e84540: 08c68352  mov	w8, #0x1e30
0xfffffff009e84544: 1300088b  add	x19, x0, x8
0xfffffff009e84548: e00313aa  mov	x0, x19
0xfffffff009e8454c: 6fa57c97  bl	#0xfffffff007dadb08
0xfffffff009e84550: 08c88352  mov	w8, #0x1e40
0xfffffff009e84554: 9502088b  add	x21, x20, x8
0xfffffff009e84558: e00315aa  mov	x0, x21
0xfffffff009e8455c: 5c9d7c97  bl	#0xfffffff007dabacc
0xfffffff009e84560: 94525eb9  ldr	w20, [x20, #0x1e50]
0xfffffff009e84564: e00315aa  mov	x0, x21
0xfffffff009e84568: 75a07c97  bl	#0xfffffff007dac73c
0xfffffff009e8456c: b4010034  cbz	w20, #0xfffffff009e845a0
0xfffffff009e84570: e00313aa  mov	x0, x19
0xfffffff009e84574: 8da87c97  bl	#0xfffffff007dae7a8
0xfffffff009e84578: 88cdfeb0  adrp	x8, #0xfffffff007835000
0xfffffff009e8457c: 08e53791  add	x8, x8, #0xdf9
0xfffffff009e84580: c94c8d52  mov	w9, #0x6a66
0xfffffff009e84584: e9d300a9  stp	x9, x20, [sp, #8]
0xfffffff009e84588: e80300f9  str	x8, [sp]
0xfffffff009e8458c: 80cdfeb0  adrp	x0, #0xfffffff007835000
0xfffffff009e84590: 00143791  add	x0, x0, #0xdc5
0xfffffff009e84594: b3cb7c97  bl	#0xfffffff007db7460
0xfffffff009e84598: 80048052  mov	w0, #0x24
0xfffffff009e8459c: 02000014  b	#0xfffffff009e845a4
0xfffffff009e845a0: 00008052  mov	w0, #0
0xfffffff009e845a4: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff009e845a8: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff009e845ac: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff009e845b0: ff430191  add	sp, sp, #0x50
0xfffffff009e845b4: ff0f5fd6  retab	
0xfffffff009e845b8: 7f2303d5  pacibsp	
0xfffffff009e845bc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009e845c0: fd030091  mov	x29, sp
0xfffffff009e845c4: 089c40f9  ldr	x8, [x0, #0x138]
0xfffffff009e845c8: 1f0100f1  cmp	x8, #0
0xfffffff009e845cc: 0800889a  csel	x8, x0, x8, eq
0xfffffff009e845d0: 086140f9  ldr	x8, [x8, #0xc0]
0xfffffff009e845d4: 08214439  ldrb	w8, [x8, #0x108]
0xfffffff009e845d8: 29018052  mov	w9, #9
0xfffffff009e845dc: 1f01096a  tst	w8, w9
0xfffffff009e845e0: 40010054  b.eq	#0xfffffff009e84608
0xfffffff009e845e4: 28008052  mov	w8, #1
0xfffffff009e845e8: 3f1c0071  cmp	w1, #7
0xfffffff009e845ec: 29078052  mov	w9, #0x39
0xfffffff009e845f0: 2925c11a  lsr	w9, w9, w1
0xfffffff009e845f4: 29010012  and	w9, w9, #1
0xfffffff009e845f8: 2931881a  csel	w9, w9, w8, lo
0xfffffff009e845fc: 9f1c0071  cmp	w4, #7
0xfffffff009e84600: 0011891a  csel	w0, w8, w9, ne
0xfffffff009e84604: 0b000014  b	#0xfffffff009e84630
0xfffffff009e84608: 0840a252  mov	w8, #0x12000000
