; Candidate 2168
; ADRP+ADD at VM 0xfffffff008594ab8 (fileoff 0x1590ab8): page=0x1d42000 add_imm=0xe18

0xfffffff008594a38: 06000014  b	#0xfffffff008594a50
0xfffffff008594a3c: 09058052  mov	w9, #0x28
0xfffffff008594a40: 2900090a  and	w9, w1, w9
0xfffffff008594a44: 3f210071  cmp	w9, #8
0xfffffff008594a48: 81000054  b.ne	#0xfffffff008594a58
0xfffffff008594a4c: 60008052  mov	w0, #3
0xfffffff008594a50: 68000039  strb	w8, [x3]
0xfffffff008594a54: c0035fd6  ret	
0xfffffff008594a58: 3f001d72  tst	w1, #8
0xfffffff008594a5c: 29041d12  and	w9, w1, #0x18
0xfffffff008594a60: 2419487a  ccmp	w9, #8, #4, ne
0xfffffff008594a64: 68000039  strb	w8, [x3]
0xfffffff008594a68: 48008052  mov	w8, #2
0xfffffff008594a6c: 89008052  mov	w9, #4
0xfffffff008594a70: 2001881a  csel	w0, w9, w8, eq
0xfffffff008594a74: c0035fd6  ret	
0xfffffff008594a78: 5f2403d5  bti	c
0xfffffff008594a7c: 08044139  ldrb	w8, [x0, #0x41]
0xfffffff008594a80: 28000039  strb	w8, [x1]
0xfffffff008594a84: 00008052  mov	w0, #0
0xfffffff008594a88: c0035fd6  ret	
0xfffffff008594a8c: 5f2403d5  bti	c
0xfffffff008594a90: 1f040139  strb	wzr, [x0, #0x41]
0xfffffff008594a94: c0035fd6  ret	
0xfffffff008594a98: 5f2403d5  bti	c
0xfffffff008594a9c: 00008052  mov	w0, #0
0xfffffff008594aa0: c0035fd6  ret	
0xfffffff008594aa4: 5f2403d5  bti	c
0xfffffff008594aa8: 133ff517  b	#0xfffffff0082e46f4
0xfffffff008594aac: 7f2303d5  pacibsp	
0xfffffff008594ab0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008594ab4: fd030091  mov	x29, sp
0xfffffff008594ab8: 00ea00d0  adrp	x0, #0xfffffff00a2d6000
0xfffffff008594abc: 00603891  add	x0, x0, #0xe18
0xfffffff008594ac0: c15aff90  adrp	x1, #0xfffffff0070ec000
0xfffffff008594ac4: 21d00791  add	x1, x1, #0x1f4
0xfffffff008594ac8: a2a0ff90  adrp	x2, #0xfffffff0079a8000
0xfffffff008594acc: 42d445f9  ldr	x2, [x2, #0xba8]
0xfffffff008594ad0: 030e8052  mov	w3, #0x70
0xfffffff008594ad4: 193cf597  bl	#0xfffffff0082e3b38
0xfffffff008594ad8: b0a0ffb0  adrp	x16, #0xfffffff0079a9000
0xfffffff008594adc: 10622d91  add	x16, x16, #0xb58
0xfffffff008594ae0: 10420091  add	x16, x16, #0x10
0xfffffff008594ae4: f10300aa  mov	x17, x0
0xfffffff008594ae8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008594aec: 300ac1da  pacda	x16, x17
0xfffffff008594af0: 100000f9  str	x16, [x0]
0xfffffff008594af4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008594af8: ff0f5fd6  retab	
0xfffffff008594afc: 5f2403d5  bti	c
0xfffffff008594b00: 00ea00d0  adrp	x0, #0xfffffff00a2d6000
0xfffffff008594b04: 00603891  add	x0, x0, #0xe18
0xfffffff008594b08: fb3ef517  b	#0xfffffff0082e46f4
0xfffffff008594b0c: 5f2403d5  bti	c
0xfffffff008594b10: 08ea00d0  adrp	x8, #0xfffffff00a2d6000
0xfffffff008594b14: 08413691  add	x8, x8, #0xd90
0xfffffff008594b18: 100140f9  ldr	x16, [x8]
0xfffffff008594b1c: 700000b4  cbz	x16, #0xfffffff008594b28
0xfffffff008594b20: d19f9cd2  mov	x17, #0xe4fe
0xfffffff008594b24: 110a1fd7  braa	x16, x17
0xfffffff008594b28: 00008052  mov	w0, #0
0xfffffff008594b2c: c0035fd6  ret	
0xfffffff008594b30: 5f2403d5  bti	c
0xfffffff008594b34: 08ea00d0  adrp	x8, #0xfffffff00a2d6000
