; Candidate 587
; ADRP+ADD at VM 0xfffffff007f9358c (fileoff 0xf8f58c): page=0x1ff9e9000 add_imm=0xd70

0xfffffff007f9350c: 00040035  cbnz	w0, #0xfffffff007f9358c
0xfffffff007f93510: c883fff0  adrp	x8, #0xfffffff00700e000
0xfffffff007f93514: 001543fd  ldr	d0, [x8, #0x628]
0xfffffff007f93518: e0cb00fd  str	d0, [sp, #0x190]
0xfffffff007f9351c: e8c30091  add	x8, sp, #0x30
0xfffffff007f93520: e8ff19a9  stp	x8, xzr, [sp, #0x198]
0xfffffff007f93524: 100000d0  adrp	x16, #0xfffffff007f95000
0xfffffff007f93528: 10521e91  add	x16, x16, #0x794
0xfffffff007f9352c: d19f9cd2  mov	x17, #0xe4fe
0xfffffff007f93530: 3002c1da  pacia	x16, x17
0xfffffff007f93534: 68a653a9  ldp	x8, x9, [x19, #0x138]
0xfffffff007f93538: e8ff1ba9  stp	x8, xzr, [sp, #0x1b8]
0xfffffff007f9353c: f0a71aa9  stp	x16, x9, [sp, #0x1a8]
0xfffffff007f93540: 001101d0  adrp	x0, #0xfffffff00a1b5000
0xfffffff007f93544: 00000e91  add	x0, x0, #0x380
0xfffffff007f93548: e5430691  add	x5, sp, #0x190
0xfffffff007f9354c: e6a30091  add	x6, sp, #0x28
0xfffffff007f93550: e10315aa  mov	x1, x21
0xfffffff007f93554: e20313aa  mov	x2, x19
0xfffffff007f93558: 030080d2  mov	x3, #0
0xfffffff007f9355c: e40316aa  mov	x4, x22
0xfffffff007f93560: c40a0c94  bl	#0xfffffff008296070
0xfffffff007f93564: 60080034  cbz	w0, #0xfffffff007f93670
0xfffffff007f93568: f70300aa  mov	x23, x0
0xfffffff007f9356c: 001101d0  adrp	x0, #0xfffffff00a1b5000
0xfffffff007f93570: 00000e91  add	x0, x0, #0x380
0xfffffff007f93574: e10315aa  mov	x1, x21
0xfffffff007f93578: 2c0a0c94  bl	#0xfffffff008295e28
0xfffffff007f9357c: e00315aa  mov	x0, x21
0xfffffff007f93580: 01008052  mov	w1, #0
0xfffffff007f93584: 02028052  mov	w2, #0x10
0xfffffff007f93588: 8ee5f697  bl	#0xfffffff007d4cbc0
0xfffffff007f9358c: 40cfffb0  adrp	x0, #0xfffffff00797c000
0xfffffff007f93590: 00c03591  add	x0, x0, #0xd70
0xfffffff007f93594: e10314aa  mov	x1, x20
0xfffffff007f93598: 9dd9f997  bl	#0xfffffff007e09c0c
0xfffffff007f9359c: d7020035  cbnz	w23, #0xfffffff007f935f4
0xfffffff007f935a0: 68720091  add	x8, x19, #0x1c
0xfffffff007f935a4: 29008052  mov	w9, #1
0xfffffff007f935a8: 080129b8  ldadd	w9, w8, [x8]
0xfffffff007f935ac: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff007f935b0: 680a00f9  str	x8, [x19, #0x10]
0xfffffff007f935b4: a8018052  mov	w8, #0xd
0xfffffff007f935b8: 683200b9  str	w8, [x19, #0x30]
0xfffffff007f935bc: 60d20091  add	x0, x19, #0x34
0xfffffff007f935c0: c11001d0  adrp	x1, #0xfffffff00a1ad000
0xfffffff007f935c4: 21c02991  add	x1, x1, #0xa70
0xfffffff007f935c8: 82068052  mov	w2, #0x34
0xfffffff007f935cc: f1e4f697  bl	#0xfffffff007d4c990
0xfffffff007f935d0: 68324079  ldrh	w8, [x19, #0x18]
0xfffffff007f935d4: e01740f9  ldr	x0, [sp, #0x28]
0xfffffff007f935d8: 68010836  tbz	w8, #1, #0xfffffff007f93604
0xfffffff007f935dc: 010080d2  mov	x1, #0
0xfffffff007f935e0: a0c8ff97  bl	#0xfffffff007f85860
0xfffffff007f935e4: f70300aa  mov	x23, x0
0xfffffff007f935e8: e01740f9  ldr	x0, [sp, #0x28]
0xfffffff007f935ec: b7000034  cbz	w23, #0xfffffff007f93600
0xfffffff007f935f0: 3cc5ff97  bl	#0xfffffff007f84ae0
0xfffffff007f935f4: e00313aa  mov	x0, x19
0xfffffff007f935f8: a5fbff97  bl	#0xfffffff007f9248c
0xfffffff007f935fc: 0e000014  b	#0xfffffff007f93634
0xfffffff007f93600: 600a00f9  str	x0, [x19, #0x10]
0xfffffff007f93604: e1830091  add	x1, sp, #0x20
0xfffffff007f93608: c2008052  mov	w2, #6
