; Candidate 9506
; ADRP+ADD at VM 0xfffffff008a65058 (fileoff 0x1a61058): page=0x1fe849000 add_imm=0xd17

0xfffffff008a64fd8: 68c64939  ldrb	w8, [x19, #0x271]
0xfffffff008a64fdc: 1f210071  cmp	w8, #8
0xfffffff008a64fe0: 43120054  b.lo	#0xfffffff008a65228
0xfffffff008a64fe4: 68e240b9  ldr	w8, [x19, #0xe0]
0xfffffff008a64fe8: 1f1d0071  cmp	w8, #7
0xfffffff008a64fec: c3130054  b.lo	#0xfffffff008a65264
0xfffffff008a64ff0: 68824a39  ldrb	w8, [x19, #0x2a0]
0xfffffff008a64ff4: e80300f9  str	x8, [sp]
0xfffffff008a64ff8: 4042ffd0  adrp	x0, #0xfffffff0072ae000
0xfffffff008a64ffc: 00d43191  add	x0, x0, #0xc75
0xfffffff008a65000: 08c8e397  bl	#0xfffffff008357020
0xfffffff008a65004: 68e240b9  ldr	w8, [x19, #0xe0]
0xfffffff008a65008: 1f1d0071  cmp	w8, #7
0xfffffff008a6500c: c3120054  b.lo	#0xfffffff008a65264
0xfffffff008a65010: 68864a39  ldrb	w8, [x19, #0x2a1]
0xfffffff008a65014: e80300f9  str	x8, [sp]
0xfffffff008a65018: 4042ffb0  adrp	x0, #0xfffffff0072ae000
0xfffffff008a6501c: 00983291  add	x0, x0, #0xca6
0xfffffff008a65020: 00c8e397  bl	#0xfffffff008357020
0xfffffff008a65024: 68e240b9  ldr	w8, [x19, #0xe0]
0xfffffff008a65028: 1f1d0071  cmp	w8, #7
0xfffffff008a6502c: c3110054  b.lo	#0xfffffff008a65264
0xfffffff008a65030: 688a4a39  ldrb	w8, [x19, #0x2a2]
0xfffffff008a65034: e80300f9  str	x8, [sp]
0xfffffff008a65038: 4042ffb0  adrp	x0, #0xfffffff0072ae000
0xfffffff008a6503c: 005c3391  add	x0, x0, #0xcd7
0xfffffff008a65040: f8c7e397  bl	#0xfffffff008357020
0xfffffff008a65044: 68e240b9  ldr	w8, [x19, #0xe0]
0xfffffff008a65048: 1f1d0071  cmp	w8, #7
0xfffffff008a6504c: c3100054  b.lo	#0xfffffff008a65264
0xfffffff008a65050: 688e4a39  ldrb	w8, [x19, #0x2a3]
0xfffffff008a65054: e80300f9  str	x8, [sp]
0xfffffff008a65058: 4042ffb0  adrp	x0, #0xfffffff0072ae000
0xfffffff008a6505c: 005c3491  add	x0, x0, #0xd17
0xfffffff008a65060: f0c7e397  bl	#0xfffffff008357020
0xfffffff008a65064: 68e240b9  ldr	w8, [x19, #0xe0]
0xfffffff008a65068: 1f1d0071  cmp	w8, #7
0xfffffff008a6506c: c30f0054  b.lo	#0xfffffff008a65264
0xfffffff008a65070: 68924a39  ldrb	w8, [x19, #0x2a4]
0xfffffff008a65074: e80300f9  str	x8, [sp]
0xfffffff008a65078: 4042ffb0  adrp	x0, #0xfffffff0072ae000
0xfffffff008a6507c: 005c3591  add	x0, x0, #0xd57
0xfffffff008a65080: e8c7e397  bl	#0xfffffff008357020
0xfffffff008a65084: 68e240b9  ldr	w8, [x19, #0xe0]
0xfffffff008a65088: 1f1d0071  cmp	w8, #7
0xfffffff008a6508c: c30e0054  b.lo	#0xfffffff008a65264
0xfffffff008a65090: 68964a39  ldrb	w8, [x19, #0x2a5]
0xfffffff008a65094: e80300f9  str	x8, [sp]
0xfffffff008a65098: 4042ffb0  adrp	x0, #0xfffffff0072ae000
0xfffffff008a6509c: 005c3691  add	x0, x0, #0xd97
0xfffffff008a650a0: e0c7e397  bl	#0xfffffff008357020
0xfffffff008a650a4: 68e240b9  ldr	w8, [x19, #0xe0]
0xfffffff008a650a8: 1f1d0071  cmp	w8, #7
0xfffffff008a650ac: c30d0054  b.lo	#0xfffffff008a65264
0xfffffff008a650b0: 689a4a39  ldrb	w8, [x19, #0x2a6]
0xfffffff008a650b4: e80300f9  str	x8, [sp]
0xfffffff008a650b8: 4042ffb0  adrp	x0, #0xfffffff0072ae000
0xfffffff008a650bc: 005c3791  add	x0, x0, #0xdd7
0xfffffff008a650c0: d8c7e397  bl	#0xfffffff008357020
0xfffffff008a650c4: 68e240b9  ldr	w8, [x19, #0xe0]
0xfffffff008a650c8: 1f1d0071  cmp	w8, #7
0xfffffff008a650cc: c30c0054  b.lo	#0xfffffff008a65264
0xfffffff008a650d0: 689e4a39  ldrb	w8, [x19, #0x2a7]
0xfffffff008a650d4: e80300f9  str	x8, [sp]
