; Candidate 1620
; ADRP+ADD at VM 0xfffffff0084c1aec (fileoff 0x14bdaec): page=0x1feb99000 add_imm=0xdfa

0xfffffff0084c1a6c: fc6f4fa9  ldp	x28, x27, [sp, #0xf0]
0xfffffff0084c1a70: ff430591  add	sp, sp, #0x150
0xfffffff0084c1a74: ff0f5fd6  retab	
0xfffffff0084c1a78: 94008052  mov	w20, #4
0xfffffff0084c1a7c: f6ffff17  b	#0xfffffff0084c1a54
0xfffffff0084c1a80: 680640f9  ldr	x8, [x19, #8]
0xfffffff0084c1a84: 49998052  mov	w9, #0x4ca
0xfffffff0084c1a88: ca5cffb0  adrp	x10, #0xfffffff00705a000
0xfffffff0084c1a8c: 4ad90991  add	x10, x10, #0x276
0xfffffff0084c1a90: ea2702a9  stp	x10, x9, [sp, #0x20]
0xfffffff0084c1a94: f66301a9  stp	x22, x24, [sp, #0x10]
0xfffffff0084c1a98: f32300a9  stp	x19, x8, [sp]
0xfffffff0084c1a9c: c05cffb0  adrp	x0, #0xfffffff00705a000
0xfffffff0084c1aa0: 00083691  add	x0, x0, #0xd82
0xfffffff0084c1aa4: 9a4aff97  bl	#0xfffffff00849450c
0xfffffff0084c1aa8: 680640f9  ldr	x8, [x19, #8]
0xfffffff0084c1aac: a9998052  mov	w9, #0x4cd
0xfffffff0084c1ab0: ca5cffb0  adrp	x10, #0xfffffff00705a000
0xfffffff0084c1ab4: 4ad90991  add	x10, x10, #0x276
0xfffffff0084c1ab8: ea2702a9  stp	x10, x9, [sp, #0x20]
0xfffffff0084c1abc: f66301a9  stp	x22, x24, [sp, #0x10]
0xfffffff0084c1ac0: f32300a9  stp	x19, x8, [sp]
0xfffffff0084c1ac4: c05cffb0  adrp	x0, #0xfffffff00705a000
0xfffffff0084c1ac8: 00f83691  add	x0, x0, #0xdbe
0xfffffff0084c1acc: 904aff97  bl	#0xfffffff00849450c
0xfffffff0084c1ad0: 680640f9  ldr	x8, [x19, #8]
0xfffffff0084c1ad4: e99b8052  mov	w9, #0x4df
0xfffffff0084c1ad8: ca5cffb0  adrp	x10, #0xfffffff00705a000
0xfffffff0084c1adc: 4ad90991  add	x10, x10, #0x276
0xfffffff0084c1ae0: ea2702a9  stp	x10, x9, [sp, #0x20]
0xfffffff0084c1ae4: f56301a9  stp	x21, x24, [sp, #0x10]
0xfffffff0084c1ae8: f32300a9  stp	x19, x8, [sp]
0xfffffff0084c1aec: c05cffb0  adrp	x0, #0xfffffff00705a000
0xfffffff0084c1af0: 00e83791  add	x0, x0, #0xdfa
0xfffffff0084c1af4: 864aff97  bl	#0xfffffff00849450c
0xfffffff0084c1af8: 680640f9  ldr	x8, [x19, #8]
0xfffffff0084c1afc: 499c8052  mov	w9, #0x4e2
0xfffffff0084c1b00: ca5cffb0  adrp	x10, #0xfffffff00705a000
0xfffffff0084c1b04: 4ad90991  add	x10, x10, #0x276
0xfffffff0084c1b08: ea2702a9  stp	x10, x9, [sp, #0x20]
0xfffffff0084c1b0c: f56301a9  stp	x21, x24, [sp, #0x10]
0xfffffff0084c1b10: f32300a9  stp	x19, x8, [sp]
0xfffffff0084c1b14: c05cffb0  adrp	x0, #0xfffffff00705a000
0xfffffff0084c1b18: 00e03891  add	x0, x0, #0xe38
0xfffffff0084c1b1c: 7c4aff97  bl	#0xfffffff00849450c
0xfffffff0084c1b20: 680640f9  ldr	x8, [x19, #8]
0xfffffff0084c1b24: c9958052  mov	w9, #0x4ae
0xfffffff0084c1b28: ca5cffb0  adrp	x10, #0xfffffff00705a000
0xfffffff0084c1b2c: 4ad90991  add	x10, x10, #0x276
0xfffffff0084c1b30: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff0084c1b34: f32300a9  stp	x19, x8, [sp]
0xfffffff0084c1b38: c05cffb0  adrp	x0, #0xfffffff00705a000
0xfffffff0084c1b3c: 00183491  add	x0, x0, #0xd06
0xfffffff0084c1b40: 734aff97  bl	#0xfffffff00849450c
0xfffffff0084c1b44: 680640f9  ldr	x8, [x19, #8]
0xfffffff0084c1b48: 49968052  mov	w9, #0x4b2
0xfffffff0084c1b4c: ca5cffb0  adrp	x10, #0xfffffff00705a000
0xfffffff0084c1b50: 4ad90991  add	x10, x10, #0x276
0xfffffff0084c1b54: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff0084c1b58: f32300a9  stp	x19, x8, [sp]
0xfffffff0084c1b5c: c05cffb0  adrp	x0, #0xfffffff00705a000
0xfffffff0084c1b60: 00503591  add	x0, x0, #0xd54
0xfffffff0084c1b64: 6a4aff97  bl	#0xfffffff00849450c
0xfffffff0084c1b68: e00318aa  mov	x0, x24
