; Candidate 13653
; ADRP+ADD at VM 0xfffffff0093bdd28 (fileoff 0x23b9d28): page=0xfc3000 add_imm=0xda0

0xfffffff0093bdca8: 040080d2  mov	x4, #0
0xfffffff0093bdcac: e208b797  bl	#0xfffffff008180034
0xfffffff0093bdcb0: e00313aa  mov	x0, x19
0xfffffff0093bdcb4: e10314aa  mov	x1, x20
0xfffffff0093bdcb8: 5cfdff97  bl	#0xfffffff0093bd228
0xfffffff0093bdcbc: 700240f9  ldr	x16, [x19]
0xfffffff0093bdcc0: f10313aa  mov	x17, x19
0xfffffff0093bdcc4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093bdcc8: 301ac1da  autda	x16, x17
0xfffffff0093bdccc: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0093bdcd0: e90310aa  mov	x9, x16
0xfffffff0093bdcd4: e00313aa  mov	x0, x19
0xfffffff0093bdcd8: f10309aa  mov	x17, x9
0xfffffff0093bdcdc: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0093bdce0: 11093fd7  blraa	x8, x17
0xfffffff0093bdce4: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff0093bdce8: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff0093bdcec: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff0093bdcf0: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff0093bdcf4: ff430291  add	sp, sp, #0x90
0xfffffff0093bdcf8: ff0f5fd6  retab	
0xfffffff0093bdcfc: 7f2303d5  pacibsp	
0xfffffff0093bdd00: ff4301d1  sub	sp, sp, #0x50
0xfffffff0093bdd04: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff0093bdd08: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0093bdd0c: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0093bdd10: fd030191  add	x29, sp, #0x40
0xfffffff0093bdd14: b5578052  mov	w21, #0x2bd
0xfffffff0093bdd18: 1500bc72  movk	w21, #0xe000, lsl #16
0xfffffff0093bdd1c: 08307539  ldrb	w8, [x0, #0xd4c]
0xfffffff0093bdd20: e80a0035  cbnz	w8, #0xfffffff0093bde7c
0xfffffff0093bdd24: f30300aa  mov	x19, x0
0xfffffff0093bdd28: 007e00f0  adrp	x0, #0xfffffff00a380000
0xfffffff0093bdd2c: 00803691  add	x0, x0, #0xda0
0xfffffff0093bdd30: 010080d2  mov	x1, #0
0xfffffff0093bdd34: 42008052  mov	w2, #2
0xfffffff0093bdd38: e454c097  bl	#0xfffffff0083d30c8
0xfffffff0093bdd3c: 400900b4  cbz	x0, #0xfffffff0093bde64
0xfffffff0093bdd40: f40300aa  mov	x20, x0
0xfffffff0093bdd44: f30700f9  str	x19, [sp, #8]
0xfffffff0093bdd48: e00f00f9  str	x0, [sp, #0x18]
0xfffffff0093bdd4c: 700240f9  ldr	x16, [x19]
0xfffffff0093bdd50: f10313aa  mov	x17, x19
0xfffffff0093bdd54: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093bdd58: 301ac1da  autda	x16, x17
0xfffffff0093bdd5c: 11fc80d2  mov	x17, #0x7e0
0xfffffff0093bdd60: 1002118b  add	x16, x16, x17
0xfffffff0093bdd64: 080240f9  ldr	x8, [x16]
0xfffffff0093bdd68: e90310aa  mov	x9, x16
0xfffffff0093bdd6c: f00308aa  mov	x16, x8
0xfffffff0093bdd70: f10309aa  mov	x17, x9
0xfffffff0093bdd74: d196fbf2  movk	x17, #0xdcb6, lsl #48
0xfffffff0093bdd78: 3012c1da  autia	x16, x17
0xfffffff0093bdd7c: f10310aa  mov	x17, x16
0xfffffff0093bdd80: f143c1da  xpaci	x17
0xfffffff0093bdd84: 1f0211eb  cmp	x16, x17
0xfffffff0093bdd88: 40000054  b.eq	#0xfffffff0093bdd90
0xfffffff0093bdd8c: 008e38d4  brk	#0xc470
0xfffffff0093bdd90: 91219dd2  mov	x17, #0xe90c
0xfffffff0093bdd94: 3002c1da  pacia	x16, x17
0xfffffff0093bdd98: d00200b5  cbnz	x16, #0xfffffff0093bddf0
0xfffffff0093bdd9c: 10000090  adrp	x16, #0xfffffff0093bd000
0xfffffff0093bdda0: 10323a91  add	x16, x16, #0xe8c
0xfffffff0093bdda4: b10795d2  mov	x17, #0xa83d
