; Candidate 3608
; ADRP+ADD at VM 0xfffffff008747f38 (fileoff 0x1743f38): page=0x1fe9ea000 add_imm=0xd90

0xfffffff008747eb8: e84b40f9  ldr	x8, [sp, #0x90]
0xfffffff008747ebc: f82300a9  stp	x24, x8, [sp]
0xfffffff008747ec0: 404fffd0  adrp	x0, #0xfffffff007131000
0xfffffff008747ec4: 00403691  add	x0, x0, #0xd90
0xfffffff008747ec8: a195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008747ecc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008747ed0: c34fff90  adrp	x3, #0xfffffff00713f000
0xfffffff008747ed4: 63741691  add	x3, x3, #0x59d
0xfffffff008747ed8: 02008052  mov	w2, #0
0xfffffff008747edc: 95acef97  bl	#0xfffffff008333130
0xfffffff008747ee0: 18008052  mov	w24, #0
0xfffffff008747ee4: 19008052  mov	w25, #0
0xfffffff008747ee8: 17008052  mov	w23, #0
0xfffffff008747eec: 15008052  mov	w21, #0
0xfffffff008747ef0: c4000014  b	#0xfffffff008748200
0xfffffff008747ef4: e82700a9  stp	x8, x9, [sp]
0xfffffff008747ef8: 404fffd0  adrp	x0, #0xfffffff007131000
0xfffffff008747efc: 00403691  add	x0, x0, #0xd90
0xfffffff008747f00: a195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008747f04: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008747f08: c34fff90  adrp	x3, #0xfffffff00713f000
0xfffffff008747f0c: 63601491  add	x3, x3, #0x518
0xfffffff008747f10: 02008052  mov	w2, #0
0xfffffff008747f14: 87acef97  bl	#0xfffffff008333130
0xfffffff008747f18: 18008052  mov	w24, #0
0xfffffff008747f1c: 19008052  mov	w25, #0
0xfffffff008747f20: 17008052  mov	w23, #0
0xfffffff008747f24: 15008052  mov	w21, #0
0xfffffff008747f28: 96578052  mov	w22, #0x2bc
0xfffffff008747f2c: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff008747f30: 96180034  cbz	w22, #0xfffffff008748240
0xfffffff008747f34: c9000014  b	#0xfffffff008748258
0xfffffff008747f38: 404fffd0  adrp	x0, #0xfffffff007131000
0xfffffff008747f3c: 00403691  add	x0, x0, #0xd90
0xfffffff008747f40: a195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008747f44: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008747f48: c34fff90  adrp	x3, #0xfffffff00713f000
0xfffffff008747f4c: 63d41591  add	x3, x3, #0x575
0xfffffff008747f50: 02008052  mov	w2, #0
0xfffffff008747f54: 77acef97  bl	#0xfffffff008333130
0xfffffff008747f58: 18008052  mov	w24, #0
0xfffffff008747f5c: 19008052  mov	w25, #0
0xfffffff008747f60: 17008052  mov	w23, #0
0xfffffff008747f64: 15008052  mov	w21, #0
0xfffffff008747f68: f0ffff17  b	#0xfffffff008747f28
0xfffffff008747f6c: f84300f9  str	x24, [sp, #0x80]
0xfffffff008747f70: e83e0011  add	w8, w23, #0xf
0xfffffff008747f74: 086d1c12  and	w8, w8, #0xfffffff0
0xfffffff008747f78: 18410011  add	w24, w8, #0x10
0xfffffff008747f7c: e00314aa  mov	x0, x20
0xfffffff008747f80: 01008052  mov	w1, #0
0xfffffff008747f84: 0de74d94  bl	#0xfffffff009ac1bb8
0xfffffff008747f88: f50300aa  mov	x21, x0
0xfffffff008747f8c: e00314aa  mov	x0, x20
0xfffffff008747f90: 01008052  mov	w1, #0
0xfffffff008747f94: e1e84d94  bl	#0xfffffff009ac2318
0xfffffff008747f98: 0800150b  add	w8, w0, w21
0xfffffff008747f9c: 1f03086b  cmp	w24, w8
0xfffffff008747fa0: 09090054  b.ls	#0xfffffff0087480c0
0xfffffff008747fa4: e00314aa  mov	x0, x20
0xfffffff008747fa8: 01008052  mov	w1, #0
0xfffffff008747fac: 03e74d94  bl	#0xfffffff009ac1bb8
0xfffffff008747fb0: e00314aa  mov	x0, x20
0xfffffff008747fb4: 01008052  mov	w1, #0
