; Candidate 16325
; ADRP+ADD at VM 0xfffffff009e5a5c8 (fileoff 0x2e565c8): page=0x1fdedb000 add_imm=0xdd8

0xfffffff009e5a548: 087d099b  mul	x8, x8, x9
0xfffffff009e5a54c: 28cf00f9  str	x8, [x25, #0x198]
0xfffffff009e5a550: 292340a9  ldp	x9, x8, [x25]
0xfffffff009e5a554: 290155b2  orr	x9, x9, #0x80000000000
0xfffffff009e5a558: 290300f9  str	x9, [x25]
0xfffffff009e5a55c: c812d036  tbz	w8, #0x1a, #0xfffffff009e5a7b4
0xfffffff009e5a560: ff1700f9  str	xzr, [sp, #0x28]
0xfffffff009e5a564: c10640f9  ldr	x1, [x22, #8]
0xfffffff009e5a568: e2a30091  add	x2, sp, #0x28
0xfffffff009e5a56c: e00315aa  mov	x0, x21
0xfffffff009e5a570: a2a2ff97  bl	#0xfffffff009e42ff8
0xfffffff009e5a574: c0010034  cbz	w0, #0xfffffff009e5a5ac
0xfffffff009e5a578: 083e8452  mov	w8, #0x21f0
0xfffffff009e5a57c: a802088b  add	x8, x21, x8
0xfffffff009e5a580: c90640f9  ldr	x9, [x22, #8]
0xfffffff009e5a584: e98301a9  stp	x9, x0, [sp, #0x18]
0xfffffff009e5a588: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009e5a58c: 88cefef0  adrp	x8, #0xfffffff00782d000
0xfffffff009e5a590: 08312591  add	x8, x8, #0x94c
0xfffffff009e5a594: 69768052  mov	w9, #0x3b3
0xfffffff009e5a598: e82700a9  stp	x8, x9, [sp]
0xfffffff009e5a59c: 80cefef0  adrp	x0, #0xfffffff00782d000
0xfffffff009e5a5a0: 006c2791  add	x0, x0, #0x9db
0xfffffff009e5a5a4: c8940094  bl	#0xfffffff009e7f8c4
0xfffffff009e5a5a8: 83000014  b	#0xfffffff009e5a7b4
0xfffffff009e5a5ac: e11740f9  ldr	x1, [sp, #0x28]
0xfffffff009e5a5b0: 2004c03d  ldr	q0, [x1, #0x10]
0xfffffff009e5a5b4: 203f803d  str	q0, [x25, #0xf0]
0xfffffff009e5a5b8: 280340f9  ldr	x8, [x25]
0xfffffff009e5a5bc: 080166b2  orr	x8, x8, #0x4000000
0xfffffff009e5a5c0: 280300f9  str	x8, [x25]
0xfffffff009e5a5c4: 810f00b4  cbz	x1, #0xfffffff009e5a7b4
0xfffffff009e5a5c8: c0f6fef0  adrp	x0, #0xfffffff007d35000
0xfffffff009e5a5cc: 00603791  add	x0, x0, #0xdd8
0xfffffff009e5a5d0: 4ff09397  bl	#0xfffffff00835670c
0xfffffff009e5a5d4: c82b00d0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009e5a5d8: 08212a91  add	x8, x8, #0xa88
0xfffffff009e5a5dc: e9048092  mov	x9, #-0x28
0xfffffff009e5a5e0: 080129f8  ldadd	x9, x8, [x8]
0xfffffff009e5a5e4: 74000014  b	#0xfffffff009e5a7b4
0xfffffff009e5a5e8: aa6a40f9  ldr	x10, [x21, #0xd0]
0xfffffff009e5a5ec: 4b8d4cf8  ldr	x11, [x10, #0xc8]!
0xfffffff009e5a5f0: 6bed44b9  ldr	w11, [x11, #0x4ec]
0xfffffff009e5a5f4: 6b050051  sub	w11, w11, #1
0xfffffff009e5a5f8: 2b010b8b  add	x11, x9, x11
0xfffffff009e5a5fc: 4a0140f9  ldr	x10, [x10]
0xfffffff009e5a600: 4aed44b9  ldr	w10, [x10, #0x4ec]
0xfffffff009e5a604: ea030a4b  neg	w10, w10
0xfffffff009e5a608: 6a010a8a  and	x10, x11, x10
0xfffffff009e5a60c: 2a1700f9  str	x10, [x25, #0x28]
0xfffffff009e5a610: 2a0340f9  ldr	x10, [x25]
0xfffffff009e5a614: 4a017db2  orr	x10, x10, #8
0xfffffff009e5a618: 2a0300f9  str	x10, [x25]
0xfffffff009e5a61c: e8d42736  tbz	w8, #4, #0xfffffff009e5a0b8
0xfffffff009e5a620: 291b00f9  str	x9, [x25, #0x30]
0xfffffff009e5a624: 2a0340f9  ldr	x10, [x25]
0xfffffff009e5a628: 4a017cb2  orr	x10, x10, #0x10
0xfffffff009e5a62c: 2a0300f9  str	x10, [x25]
0xfffffff009e5a630: 68d42f36  tbz	w8, #5, #0xfffffff009e5a0bc
0xfffffff009e5a634: aac241f9  ldr	x10, [x21, #0x380]
0xfffffff009e5a638: 6a0000b4  cbz	x10, #0xfffffff009e5a644
0xfffffff009e5a63c: 4b0140f9  ldr	x11, [x10]
0xfffffff009e5a640: 03000014  b	#0xfffffff009e5a64c
0xfffffff009e5a644: aa6a40f9  ldr	x10, [x21, #0xd0]
