; Candidate 3571
; ADRP+ADD at VM 0xfffffff008746220 (fileoff 0x1742220): page=0x1fe9eb000 add_imm=0xd90

0xfffffff0087461a0: f10310aa  mov	x17, x16
0xfffffff0087461a4: f147c1da  xpacd	x17
0xfffffff0087461a8: 1f0211eb  cmp	x16, x17
0xfffffff0087461ac: 40000054  b.eq	#0xfffffff0087461b4
0xfffffff0087461b0: 408e38d4  brk	#0xc472
0xfffffff0087461b4: 08220591  add	x8, x16, #0x148
0xfffffff0087461b8: 09a640f9  ldr	x9, [x16, #0x148]
0xfffffff0087461bc: e00315aa  mov	x0, x21
0xfffffff0087461c0: f10308aa  mov	x17, x8
0xfffffff0087461c4: 919efef2  movk	x17, #0xf4f4, lsl #48
0xfffffff0087461c8: 31093fd7  blraa	x9, x17
0xfffffff0087461cc: 600600f9  str	x0, [x19, #8]
0xfffffff0087461d0: d0000014  b	#0xfffffff008746510
0xfffffff0087461d4: e0031baa  mov	x0, x27
0xfffffff0087461d8: 01008052  mov	w1, #0
0xfffffff0087461dc: 5df94d94  bl	#0xfffffff009ac4750
0xfffffff0087461e0: 700340f9  ldr	x16, [x27]
0xfffffff0087461e4: f1031baa  mov	x17, x27
0xfffffff0087461e8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0087461ec: 301ac1da  autda	x16, x17
0xfffffff0087461f0: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0087461f4: e90310aa  mov	x9, x16
0xfffffff0087461f8: e0031baa  mov	x0, x27
0xfffffff0087461fc: f10309aa  mov	x17, x9
0xfffffff008746200: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008746204: 11093fd7  blraa	x8, x17
0xfffffff008746208: 88578052  mov	w8, #0x2bc
0xfffffff00874620c: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff008746210: 18010032  orr	w24, w8, #1
0xfffffff008746214: 8850ffb0  adrp	x8, #0xfffffff007157000
0xfffffff008746218: 08893791  add	x8, x8, #0xde2
0xfffffff00874621c: e86300a9  stp	x8, x24, [sp]
0xfffffff008746220: 404ffff0  adrp	x0, #0xfffffff007131000
0xfffffff008746224: 00403691  add	x0, x0, #0xd90
0xfffffff008746228: a195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00874622c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008746230: c34fff90  adrp	x3, #0xfffffff00713e000
0xfffffff008746234: 63801a91  add	x3, x3, #0x6a0
0xfffffff008746238: 02008052  mov	w2, #0
0xfffffff00874623c: bdb3ef97  bl	#0xfffffff008333130
0xfffffff008746240: 00020014  b	#0xfffffff008746a40
0xfffffff008746244: f80313aa  mov	x24, x19
0xfffffff008746248: f33340f9  ldr	x19, [sp, #0x60]
0xfffffff00874624c: 681240f9  ldr	x8, [x19, #0x20]
0xfffffff008746250: 1f0500f9  str	xzr, [x8, #8]
0xfffffff008746254: b00240f9  ldr	x16, [x21]
0xfffffff008746258: f10315aa  mov	x17, x21
0xfffffff00874625c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008746260: 301ac1da  autda	x16, x17
0xfffffff008746264: 112980d2  mov	x17, #0x148
0xfffffff008746268: 1002118b  add	x16, x16, x17
0xfffffff00874626c: 080240f9  ldr	x8, [x16]
0xfffffff008746270: e90310aa  mov	x9, x16
0xfffffff008746274: e00315aa  mov	x0, x21
0xfffffff008746278: f10309aa  mov	x17, x9
0xfffffff00874627c: 919efef2  movk	x17, #0xf4f4, lsl #48
0xfffffff008746280: 11093fd7  blraa	x8, x17
0xfffffff008746284: 7f0200a9  stp	xzr, x0, [x19]
0xfffffff008746288: d9000014  b	#0xfffffff0087465ec
0xfffffff00874628c: f80313aa  mov	x24, x19
0xfffffff008746290: 80048052  mov	w0, #0x24
0xfffffff008746294: 006da572  movk	w0, #0x2b68, lsl #16
0xfffffff008746298: e10314aa  mov	x1, x20
0xfffffff00874629c: 020080d2  mov	x2, #0
