; Candidate 755
; ADRP+ADD at VM 0xfffffff00806afcc (fileoff 0x1066fcc): page=0x1ff005000 add_imm=0xe9f

0xfffffff00806af4c: bf0209eb  cmp	x21, x9
0xfffffff00806af50: a03248fa  ccmp	x21, x8, #0, lo
0xfffffff00806af54: 55219f9a  csel	x21, x10, xzr, hs
0xfffffff00806af58: 10000014  b	#0xfffffff00806af98
0xfffffff00806af5c: 280a0190  adrp	x8, #0xfffffff00a1ae000
0xfffffff00806af60: 08211491  add	x8, x8, #0x508
0xfffffff00806af64: 29008052  mov	w9, #1
0xfffffff00806af68: 080129f8  ldadd	x9, x8, [x8]
0xfffffff00806af6c: a80e01d0  adrp	x8, #0xfffffff00a240000
0xfffffff00806af70: 08a10b91  add	x8, x8, #0x2e8
0xfffffff00806af74: 080129b8  ldadd	w9, w8, [x8]
0xfffffff00806af78: 27ffff17  b	#0xfffffff00806ac14
0xfffffff00806af7c: 8804c0d2  mov	x8, #0x2400000000
0xfffffff00806af80: a802088b  add	x8, x21, x8
0xfffffff00806af84: 08fd65d3  lsr	x8, x8, #0x25
0xfffffff00806af88: 880000b5  cbnz	x8, #0xfffffff00806af98
0xfffffff00806af8c: 28c8ff90  adrp	x8, #0xfffffff00796e000
0xfffffff00806af90: 084540f9  ldr	x8, [x8, #0x88]
0xfffffff00806af94: 1501158b  add	x21, x8, x21
0xfffffff00806af98: f5cf00a9  stp	x21, x19, [sp, #8]
0xfffffff00806af9c: 2880ffb0  adrp	x8, #0xfffffff00706f000
0xfffffff00806afa0: 08493a91  add	x8, x8, #0xe92
0xfffffff00806afa4: e80300f9  str	x8, [sp]
0xfffffff00806afa8: 007dffd0  adrp	x0, #0xfffffff00700c000
0xfffffff00806afac: 00000091  add	x0, x0, #0
0xfffffff00806afb0: 810d0190  adrp	x1, #0xfffffff00a21a000
0xfffffff00806afb4: 21502f91  add	x1, x1, #0xbd4
0xfffffff00806afb8: 6382ffd0  adrp	x3, #0xfffffff0070b8000
0xfffffff00806afbc: 63b03b91  add	x3, x3, #0xeec
0xfffffff00806afc0: 02028052  mov	w2, #0x10
0xfffffff00806afc4: 5b200b94  bl	#0xfffffff008333130
0xfffffff00806afc8: 13ffff17  b	#0xfffffff00806ac14
0xfffffff00806afcc: 2080ffb0  adrp	x0, #0xfffffff00706f000
0xfffffff00806afd0: 007c3a91  add	x0, x0, #0xe9f
0xfffffff00806afd4: 2180ffb0  adrp	x1, #0xfffffff00706f000
0xfffffff00806afd8: 21682c91  add	x1, x1, #0xb1a
0xfffffff00806afdc: 22048252  mov	w2, #0x1021
0xfffffff00806afe0: 0dd21094  bl	#0xfffffff00849f814
0xfffffff00806afe4: 0081ff90  adrp	x0, #0xfffffff00708a000
0xfffffff00806afe8: 00cc1d91  add	x0, x0, #0x773
0xfffffff00806afec: 0181ff90  adrp	x1, #0xfffffff00708a000
0xfffffff00806aff0: 21b81b91  add	x1, x1, #0x6ee
0xfffffff00806aff4: 42838052  mov	w2, #0x41a
0xfffffff00806aff8: 07d21094  bl	#0xfffffff00849f814
0xfffffff00806affc: e00318aa  mov	x0, x24
0xfffffff00806b000: e10f00f9  str	x1, [sp, #0x18]
0xfffffff00806b004: 02008052  mov	w2, #0
0xfffffff00806b008: bc02f597  bl	#0xfffffff007dabaf8
0xfffffff00806b00c: e10f40f9  ldr	x1, [sp, #0x18]
0xfffffff00806b010: 8cffff17  b	#0xfffffff00806ae40
0xfffffff00806b014: e00318aa  mov	x0, x24
0xfffffff00806b018: d305f597  bl	#0xfffffff007dac764
0xfffffff00806b01c: 90ffff17  b	#0xfffffff00806ae5c
0xfffffff00806b020: 8bcbf397  bl	#0xfffffff007d5de4c
0xfffffff00806b024: 7f2303d5  pacibsp	
0xfffffff00806b028: ff0301d1  sub	sp, sp, #0x40
0xfffffff00806b02c: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff00806b030: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff00806b034: fdc30091  add	x29, sp, #0x30
0xfffffff00806b038: f40301aa  mov	x20, x1
0xfffffff00806b03c: f30300aa  mov	x19, x0
0xfffffff00806b040: 081440f9  ldr	x8, [x0, #0x28]
0xfffffff00806b044: 081140f9  ldr	x8, [x8, #0x20]
0xfffffff00806b048: f4a300a9  stp	x20, x8, [sp, #8]
