; Candidate 13220
; ADRP+ADD at VM 0xfffffff0092331ec (fileoff 0x222f1ec): page=0x1fe281000 add_imm=0xe9d

0xfffffff00923316c: 7f8e04b9  str	wzr, [x19, #0x48c]
0xfffffff009233170: 7f261239  strb	wzr, [x19, #0x489]
0xfffffff009233174: 68464539  ldrb	w8, [x19, #0x151]
0xfffffff009233178: e8020035  cbnz	w8, #0xfffffff0092331d4
0xfffffff00923317c: 68424539  ldrb	w8, [x19, #0x150]
0xfffffff009233180: 1f010071  cmp	w8, #0
0xfffffff009233184: e41a407a  ccmp	w23, #0, #4, ne
0xfffffff009233188: 80000054  b.eq	#0xfffffff009233198
0xfffffff00923318c: e00313aa  mov	x0, x19
0xfffffff009233190: 21008052  mov	w1, #1
0xfffffff009233194: 91090094  bl	#0xfffffff0092357d8
0xfffffff009233198: e00313aa  mov	x0, x19
0xfffffff00923319c: cd090094  bl	#0xfffffff0092358d0
0xfffffff0092331a0: 82024079  ldrh	w2, [x20]
0xfffffff0092331a4: e00313aa  mov	x0, x19
0xfffffff0092331a8: 01028052  mov	w1, #0x10
0xfffffff0092331ac: 6ffaff97  bl	#0xfffffff009231b68
0xfffffff0092331b0: e00316aa  mov	x0, x22
0xfffffff0092331b4: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0092331b8: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0092331bc: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0092331c0: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff0092331c4: ff830191  add	sp, sp, #0x60
0xfffffff0092331c8: ff0f5fd6  retab	
0xfffffff0092331cc: 23140094  bl	#0xfffffff009238258
0xfffffff0092331d0: 05140094  bl	#0xfffffff0092381e4
0xfffffff0092331d4: a8024039  ldrb	w8, [x21]
0xfffffff0092331d8: 09c98052  mov	w9, #0x648
0xfffffff0092331dc: 0a14ff90  adrp	x10, #0xfffffff0074b3000
0xfffffff0092331e0: 4ae93791  add	x10, x10, #0xdfa
0xfffffff0092331e4: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff0092331e8: f72300a9  stp	x23, x8, [sp]
0xfffffff0092331ec: 0014ffb0  adrp	x0, #0xfffffff0074b4000
0xfffffff0092331f0: 00743a91  add	x0, x0, #0xe9d
0xfffffff0092331f4: c684c997  bl	#0xfffffff00849450c
0xfffffff0092331f8: 61220591  add	x1, x19, #0x148
0xfffffff0092331fc: e00315aa  mov	x0, x21
0xfffffff009233200: 07140094  bl	#0xfffffff00923821c
0xfffffff009233204: 7f2303d5  pacibsp	
0xfffffff009233208: ff8301d1  sub	sp, sp, #0x60
0xfffffff00923320c: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff009233210: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff009233214: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff009233218: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff00923321c: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff009233220: fd430191  add	x29, sp, #0x50
0xfffffff009233224: f50303aa  mov	x21, x3
0xfffffff009233228: f40302aa  mov	x20, x2
0xfffffff00923322c: f70301aa  mov	x23, x1
0xfffffff009233230: f30300aa  mov	x19, x0
0xfffffff009233234: 100040f9  ldr	x16, [x0]
0xfffffff009233238: f10300aa  mov	x17, x0
0xfffffff00923323c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009233240: 301ac1da  autda	x16, x17
0xfffffff009233244: 116f80d2  mov	x17, #0x378
0xfffffff009233248: 1002118b  add	x16, x16, x17
0xfffffff00923324c: 080240f9  ldr	x8, [x16]
0xfffffff009233250: e90310aa  mov	x9, x16
0xfffffff009233254: f10309aa  mov	x17, x9
0xfffffff009233258: d171ecf2  movk	x17, #0x638e, lsl #48
0xfffffff00923325c: 11093fd7  blraa	x8, x17
0xfffffff009233260: 100040f9  ldr	x16, [x0]
0xfffffff009233264: f10300aa  mov	x17, x0
0xfffffff009233268: 31b4f9f2  movk	x17, #0xcda1, lsl #48
