; Candidate 11334
; ADRP+ADD at VM 0xfffffff008ef3cc0 (fileoff 0x1eefcc0): page=0x1fe517000 add_imm=0xd07

0xfffffff008ef3c40: 88068052  mov	w8, #0x34
0xfffffff008ef3c44: 680a00f9  str	x8, [x19, #0x10]
0xfffffff008ef3c48: 05000014  b	#0xfffffff008ef3c5c
0xfffffff008ef3c4c: 08008052  mov	w8, #0
0xfffffff008ef3c50: 7f7e00a9  stp	xzr, xzr, [x19]
0xfffffff008ef3c54: 7f0a00f9  str	xzr, [x19, #0x10]
0xfffffff008ef3c58: 68620039  strb	w8, [x19, #0x18]
0xfffffff008ef3c5c: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008ef3c60: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008ef3c64: ff430191  add	sp, sp, #0x50
0xfffffff008ef3c68: ff0f5fd6  retab	
0xfffffff008ef3c6c: 7f2303d5  pacibsp	
0xfffffff008ef3c70: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008ef3c74: fd030091  mov	x29, sp
0xfffffff008ef3c78: 1061ffb0  adrp	x16, #0xfffffff007b14000
0xfffffff008ef3c7c: 10021f91  add	x16, x16, #0x7c0
0xfffffff008ef3c80: 10420091  add	x16, x16, #0x10
0xfffffff008ef3c84: f10300aa  mov	x17, x0
0xfffffff008ef3c88: 31f3f1f2  movk	x17, #0x8f99, lsl #48
0xfffffff008ef3c8c: 300ac1da  pacda	x16, x17
0xfffffff008ef3c90: 100000f9  str	x16, [x0]
0xfffffff008ef3c94: 080440f9  ldr	x8, [x0, #8]
0xfffffff008ef3c98: 480100b5  cbnz	x8, #0xfffffff008ef3cc0
0xfffffff008ef3c9c: e10300aa  mov	x1, x0
0xfffffff008ef3ca0: 0061ffd0  adrp	x0, #0xfffffff007b15000
0xfffffff008ef3ca4: 00002491  add	x0, x0, #0x900
0xfffffff008ef3ca8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008ef3cac: ff2303d5  autibsp	
0xfffffff008ef3cb0: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008ef3cb4: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008ef3cbc
0xfffffff008ef3cb8: 208e38d4  brk	#0xc471
0xfffffff008ef3cbc: 948ad117  b	#0xfffffff00835670c
0xfffffff008ef3cc0: a028fff0  adrp	x0, #0xfffffff00740a000
0xfffffff008ef3cc4: 001c3491  add	x0, x0, #0xd07
0xfffffff008ef3cc8: 93f6ff97  bl	#0xfffffff008ef1714
0xfffffff008ef3ccc: 7f2303d5  pacibsp	
0xfffffff008ef3cd0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008ef3cd4: fd030091  mov	x29, sp
0xfffffff008ef3cd8: 1061ffb0  adrp	x16, #0xfffffff007b14000
0xfffffff008ef3cdc: 10021f91  add	x16, x16, #0x7c0
0xfffffff008ef3ce0: 10420091  add	x16, x16, #0x10
0xfffffff008ef3ce4: f10300aa  mov	x17, x0
0xfffffff008ef3ce8: 31f3f1f2  movk	x17, #0x8f99, lsl #48
0xfffffff008ef3cec: 300ac1da  pacda	x16, x17
0xfffffff008ef3cf0: 100000f9  str	x16, [x0]
0xfffffff008ef3cf4: 080440f9  ldr	x8, [x0, #8]
0xfffffff008ef3cf8: 480100b5  cbnz	x8, #0xfffffff008ef3d20
0xfffffff008ef3cfc: e10300aa  mov	x1, x0
0xfffffff008ef3d00: 0061ffd0  adrp	x0, #0xfffffff007b15000
0xfffffff008ef3d04: 00001591  add	x0, x0, #0x540
0xfffffff008ef3d08: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008ef3d0c: ff2303d5  autibsp	
0xfffffff008ef3d10: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008ef3d14: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008ef3d1c
0xfffffff008ef3d18: 208e38d4  brk	#0xc471
0xfffffff008ef3d1c: 7c8ad117  b	#0xfffffff00835670c
0xfffffff008ef3d20: a028fff0  adrp	x0, #0xfffffff00740a000
0xfffffff008ef3d24: 001c3491  add	x0, x0, #0xd07
0xfffffff008ef3d28: 7bf6ff97  bl	#0xfffffff008ef1714
0xfffffff008ef3d2c: 7f2303d5  pacibsp	
0xfffffff008ef3d30: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008ef3d34: fd030091  mov	x29, sp
0xfffffff008ef3d38: 1061ffb0  adrp	x16, #0xfffffff007b14000
0xfffffff008ef3d3c: 10021f91  add	x16, x16, #0x7c0
