; Candidate 14088
; ADRP+ADD at VM 0xfffffff0096f3318 (fileoff 0x26ef318): page=0x1fde9a000 add_imm=0xd31

0xfffffff0096f3298: 00601091  add	x0, x0, #0x418
0xfffffff0096f329c: afc5af97  bl	#0xfffffff0082e4958
0xfffffff0096f32a0: f40300aa  mov	x20, x0
0xfffffff0096f32a4: e00313aa  mov	x0, x19
0xfffffff0096f32a8: edd5fe97  bl	#0xfffffff0096a8a5c
0xfffffff0096f32ac: f50300aa  mov	x21, x0
0xfffffff0096f32b0: e00100b5  cbnz	x0, #0xfffffff0096f32ec
0xfffffff0096f32b4: 700240f9  ldr	x16, [x19]
0xfffffff0096f32b8: f10313aa  mov	x17, x19
0xfffffff0096f32bc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096f32c0: 301ac1da  autda	x16, x17
0xfffffff0096f32c4: 113d80d2  mov	x17, #0x1e8
0xfffffff0096f32c8: 1002118b  add	x16, x16, x17
0xfffffff0096f32cc: 080240f9  ldr	x8, [x16]
0xfffffff0096f32d0: e90310aa  mov	x9, x16
0xfffffff0096f32d4: e00313aa  mov	x0, x19
0xfffffff0096f32d8: 010080d2  mov	x1, #0
0xfffffff0096f32dc: f10309aa  mov	x17, x9
0xfffffff0096f32e0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0096f32e4: 11093fd7  blraa	x8, x17
0xfffffff0096f32e8: f50300aa  mov	x21, x0
0xfffffff0096f32ec: e00313aa  mov	x0, x19
0xfffffff0096f32f0: dbd5fe97  bl	#0xfffffff0096a8a5c
0xfffffff0096f32f4: c8f4fed0  adrp	x8, #0xfffffff00758d000
0xfffffff0096f32f8: 08c53491  add	x8, x8, #0xd31
0xfffffff0096f32fc: c9f4fed0  adrp	x9, #0xfffffff00758d000
0xfffffff0096f3300: 29c93491  add	x9, x9, #0xd32
0xfffffff0096f3304: 1f0000f1  cmp	x0, #0
0xfffffff0096f3308: 3601889a  csel	x22, x9, x8, eq
0xfffffff0096f330c: e00313aa  mov	x0, x19
0xfffffff0096f3310: d3d5fe97  bl	#0xfffffff0096a8a5c
0xfffffff0096f3314: 800000b4  cbz	x0, #0xfffffff0096f3324
0xfffffff0096f3318: c0f4fed0  adrp	x0, #0xfffffff00758d000
0xfffffff0096f331c: 00c43491  add	x0, x0, #0xd31
0xfffffff0096f3320: 0e000014  b	#0xfffffff0096f3358
0xfffffff0096f3324: 700240f9  ldr	x16, [x19]
0xfffffff0096f3328: f10313aa  mov	x17, x19
0xfffffff0096f332c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096f3330: 301ac1da  autda	x16, x17
0xfffffff0096f3334: 114380d2  mov	x17, #0x218
0xfffffff0096f3338: 1002118b  add	x16, x16, x17
0xfffffff0096f333c: 080240f9  ldr	x8, [x16]
0xfffffff0096f3340: e90310aa  mov	x9, x16
0xfffffff0096f3344: e00313aa  mov	x0, x19
0xfffffff0096f3348: 010080d2  mov	x1, #0
0xfffffff0096f334c: f10309aa  mov	x17, x9
0xfffffff0096f3350: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff0096f3354: 11093fd7  blraa	x8, x17
0xfffffff0096f3358: f68301a9  stp	x22, x0, [sp, #0x18]
0xfffffff0096f335c: c8f4fed0  adrp	x8, #0xfffffff00758d000
0xfffffff0096f3360: 08953a91  add	x8, x8, #0xea5
0xfffffff0096f3364: e8d700a9  stp	x8, x21, [sp, #8]
0xfffffff0096f3368: f40300f9  str	x20, [sp]
0xfffffff0096f336c: c0f4fe90  adrp	x0, #0xfffffff00758b000
0xfffffff0096f3370: 00802191  add	x0, x0, #0x860
0xfffffff0096f3374: 0129fff0  adrp	x1, #0xfffffff007c16000
0xfffffff0096f3378: 21b842f9  ldr	x1, [x1, #0x570]
0xfffffff0096f337c: 63f5fed0  adrp	x3, #0xfffffff0075a1000
0xfffffff0096f3380: 636c2391  add	x3, x3, #0x8db
0xfffffff0096f3384: 42008052  mov	w2, #2
0xfffffff0096f3388: 6affb097  bl	#0xfffffff008333130
0xfffffff0096f338c: 62de40b9  ldr	w2, [x19, #0xdc]
0xfffffff0096f3390: 700240f9  ldr	x16, [x19]
0xfffffff0096f3394: f10313aa  mov	x17, x19
