; Candidate 7991
; ADRP+ADD at VM 0xfffffff00888c9fc (fileoff 0x18889fc): page=0x1fe95d000 add_imm=0xe80

0xfffffff00888c97c: 881200f9  str	x8, [x20, #0x20]
0xfffffff00888c980: 602e40f9  ldr	x0, [x19, #0x58]
0xfffffff00888c984: 21008052  mov	w1, #1
0xfffffff00888c988: 55d44894  bl	#0xfffffff009ac1adc
0xfffffff00888c98c: 802a00b9  str	w0, [x20, #0x28]
0xfffffff00888c990: 602e40f9  ldr	x0, [x19, #0x58]
0xfffffff00888c994: 21008052  mov	w1, #1
0xfffffff00888c998: 62d54894  bl	#0xfffffff009ac1f20
0xfffffff00888c99c: e80300aa  mov	x8, x0
0xfffffff00888c9a0: 00008052  mov	w0, #0
0xfffffff00888c9a4: 882e00b9  str	w8, [x20, #0x2c]
0xfffffff00888c9a8: 1e000014  b	#0xfffffff00888ca20
0xfffffff00888c9ac: 207d8012  mov	w0, #-0x3ea
0xfffffff00888c9b0: 1c000014  b	#0xfffffff00888ca20
0xfffffff00888c9b4: fe9d0094  bl	#0xfffffff0088b41ac
0xfffffff00888c9b8: f40300aa  mov	x20, x0
0xfffffff00888c9bc: 80008052  mov	w0, #4
0xfffffff00888c9c0: a4bbff97  bl	#0xfffffff00887b850
0xfffffff00888c9c4: 688e40f9  ldr	x8, [x19, #0x118]
0xfffffff00888c9c8: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00888c9cc: 084dffd0  adrp	x8, #0xfffffff00722e000
0xfffffff00888c9d0: 0af53a91  add	x10, x8, #0xebd
0xfffffff00888c9d4: c8be8052  mov	w8, #0x5f6
0xfffffff00888c9d8: 094dffd0  adrp	x9, #0xfffffff00722e000
0xfffffff00888c9dc: 29d93f91  add	x9, x9, #0xff6
0xfffffff00888c9e0: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00888c9e4: 084dfff0  adrp	x8, #0xfffffff00722f000
0xfffffff00888c9e8: 087d0391  add	x8, x8, #0xdf
0xfffffff00888c9ec: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00888c9f0: 88098052  mov	w8, #0x4c
0xfffffff00888c9f4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00888c9f8: f40300f9  str	x20, [sp]
0xfffffff00888c9fc: e04affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00888ca00: 00003a91  add	x0, x0, #0xe80
0xfffffff00888ca04: e18bff90  adrp	x1, #0xfffffff007a08000
0xfffffff00888ca08: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00888ca0c: 834effd0  adrp	x3, #0xfffffff00725e000
0xfffffff00888ca10: 63a80091  add	x3, x3, #0x2a
0xfffffff00888ca14: 02008052  mov	w2, #0
0xfffffff00888ca18: c699ea97  bl	#0xfffffff008333130
0xfffffff00888ca1c: 407e8012  mov	w0, #-0x3f3
0xfffffff00888ca20: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff00888ca24: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff00888ca28: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff00888ca2c: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff00888ca30: ff430291  add	sp, sp, #0x90
0xfffffff00888ca34: ff0f5fd6  retab	
0xfffffff00888ca38: 7f2303d5  pacibsp	
0xfffffff00888ca3c: ff4302d1  sub	sp, sp, #0x90
0xfffffff00888ca40: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff00888ca44: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff00888ca48: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff00888ca4c: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff00888ca50: fd030291  add	x29, sp, #0x80
0xfffffff00888ca54: f40302aa  mov	x20, x2
0xfffffff00888ca58: f50301aa  mov	x21, x1
0xfffffff00888ca5c: f30300aa  mov	x19, x0
0xfffffff00888ca60: 3f1c0071  cmp	w1, #7
0xfffffff00888ca64: e8010054  b.hi	#0xfffffff00888caa0
0xfffffff00888ca68: d40100b4  cbz	x20, #0xfffffff00888caa0
0xfffffff00888ca6c: 688e40f9  ldr	x8, [x19, #0x118]
0xfffffff00888ca70: 0825d59a  lsr	x8, x8, x21
0xfffffff00888ca74: 08058036  tbz	w8, #0x10, #0xfffffff00888cb14
0xfffffff00888ca78: f503152a  mov	w21, w21
