; Candidate 9656
; ADRP+ADD at VM 0xfffffff008a9fda8 (fileoff 0x1a9bda8): page=0x1fe818000 add_imm=0xecd

0xfffffff008a9fd28: fd030191  add	x29, sp, #0x40
0xfffffff008a9fd2c: a0831ff8  stur	x0, [x29, #-8]
0xfffffff008a9fd30: a1031ff8  stur	x1, [x29, #-0x10]
0xfffffff008a9fd34: a8835ff8  ldur	x8, [x29, #-8]
0xfffffff008a9fd38: e81300f9  str	x8, [sp, #0x20]
0xfffffff008a9fd3c: bff31e38  sturb	wzr, [x29, #-0x11]
0xfffffff008a9fd40: c1a7cc97  bl	#0xfffffff007dc9c44
0xfffffff008a9fd44: 08000071  subs	w8, w0, #0
0xfffffff008a9fd48: e8079f1a  cset	w8, ne
0xfffffff008a9fd4c: 29008052  mov	w9, #1
0xfffffff008a9fd50: 0801090a  and	w8, w8, w9
0xfffffff008a9fd54: a8f31e38  sturb	w8, [x29, #-0x11]
0xfffffff008a9fd58: a8035ff8  ldur	x8, [x29, #-0x10]
0xfffffff008a9fd5c: 080140b9  ldr	w8, [x8]
0xfffffff008a9fd60: e9008012  mov	w9, #-8
0xfffffff008a9fd64: 0801096a  ands	w8, w8, w9
0xfffffff008a9fd68: e8179f1a  cset	w8, eq
0xfffffff008a9fd6c: 48020037  tbnz	w8, #0, #0xfffffff008a9fdb4
0xfffffff008a9fd70: 01000014  b	#0xfffffff008a9fd74
0xfffffff008a9fd74: a8035ff8  ldur	x8, [x29, #-0x10]
0xfffffff008a9fd78: 090140b9  ldr	w9, [x8]
0xfffffff008a9fd7c: e80309aa  mov	x8, x9
0xfffffff008a9fd80: e9030091  mov	x9, sp
0xfffffff008a9fd84: ca40ff90  adrp	x10, #0xfffffff0072b7000
0xfffffff008a9fd88: 4ad13b91  add	x10, x10, #0xef4
0xfffffff008a9fd8c: 2a0100f9  str	x10, [x9]
0xfffffff008a9fd90: 280500f9  str	x8, [x9, #8]
0xfffffff008a9fd94: a840fff0  adrp	x8, #0xfffffff0072b6000
0xfffffff008a9fd98: 08011991  add	x8, x8, #0x640
0xfffffff008a9fd9c: 280900f9  str	x8, [x9, #0x10]
0xfffffff008a9fda0: 08c780d2  mov	x8, #0x638
0xfffffff008a9fda4: 280d00f9  str	x8, [x9, #0x18]
0xfffffff008a9fda8: c040ff90  adrp	x0, #0xfffffff0072b7000
0xfffffff008a9fdac: 00343b91  add	x0, x0, #0xecd
0xfffffff008a9fdb0: d7d1e797  bl	#0xfffffff00849450c
0xfffffff008a9fdb4: a8f35e38  ldurb	w8, [x29, #-0x11]
0xfffffff008a9fdb8: 88020036  tbz	w8, #0, #0xfffffff008a9fe08
0xfffffff008a9fdbc: 01000014  b	#0xfffffff008a9fdc0
0xfffffff008a9fdc0: e81340f9  ldr	x8, [sp, #0x20]
0xfffffff008a9fdc4: 007540f9  ldr	x0, [x8, #0xe8]
0xfffffff008a9fdc8: 017d40f9  ldr	x1, [x8, #0xf8]
0xfffffff008a9fdcc: a2035ff8  ldur	x2, [x29, #-0x10]
0xfffffff008a9fdd0: 100040f9  ldr	x16, [x0]
0xfffffff008a9fdd4: e80300aa  mov	x8, x0
0xfffffff008a9fdd8: f10308aa  mov	x17, x8
0xfffffff008a9fddc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a9fde0: 301ac1da  autda	x16, x17
0xfffffff008a9fde4: 088e4ef8  ldr	x8, [x16, #0xe8]!
0xfffffff008a9fde8: e90310aa  mov	x9, x16
0xfffffff008a9fdec: 050080d2  mov	x5, #0
0xfffffff008a9fdf0: e30305aa  mov	x3, x5
0xfffffff008a9fdf4: e40305aa  mov	x4, x5
0xfffffff008a9fdf8: f10309aa  mov	x17, x9
0xfffffff008a9fdfc: f13ffff2  movk	x17, #0xf9ff, lsl #48
0xfffffff008a9fe00: 11093fd7  blraa	x8, x17
0xfffffff008a9fe04: 05000014  b	#0xfffffff008a9fe18
0xfffffff008a9fe08: e01340f9  ldr	x0, [sp, #0x20]
0xfffffff008a9fe0c: a1035ff8  ldur	x1, [x29, #-0x10]
0xfffffff008a9fe10: 6deaff97  bl	#0xfffffff008a9a7c4
0xfffffff008a9fe14: 01000014  b	#0xfffffff008a9fe18
0xfffffff008a9fe18: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008a9fe1c: ff430191  add	sp, sp, #0x50
0xfffffff008a9fe20: ff0f5fd6  retab	
0xfffffff008a9fe24: 7f2303d5  pacibsp	
